base_mae,channel,config_id,corr_mae,curvature_coef,curvature_lambda,curvature_mode,curvature_tau,delta_pct,primary_coef,raw_primary,scale,shrink,shrink_curvature,signed_curvature_coef,source_dot,source_full_l2,source_l2,source_retention,step_curvature_coef,step_curvature_shrunk,step_curvature_signed_coef,step_curvature_tau,step_primary_coef,step_primary_retention,step_primary_shrink,target_retention,test_curve,test_label,train_curve,win
0.004701998914275349,smooth,11,0.0016880716653619192,0.0,4.0,signed_d2_lr,0.01,-64.09885037963525,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,0,1,0.0015692876699761771,0.5898288261410543,0.004792178674279005,0.008124693914388277,,,,,,,,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,11,0.0017262912135956674,0.0,4.0,signed_d2_lr,0.01,-55.20264825444758,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,0,1,0.0015692876699761771,0.5898288261410543,0.004792178674279005,0.008124693914388277,,,,,,,,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,11,0.0028252324671070852,0.04956095256660898,4.0,signed_d2_lr,0.01,-65.43469066269624,0.05899191949939431,,400,,0,1,,,,,0.04956095256660898,0,1,0.01,0.05899191949939431,0.025828334346675936,0.5714285714285714,0.3906086432321906,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,11,0.005439118290389952,0.04956095256660898,4.0,signed_d2_lr,0.01,-18.66503026679952,0.05899191949939431,,400,,0,1,,,,,0.04956095256660898,0,1,0.01,0.05899191949939431,0.025828334346675936,0.5714285714285714,0.694068640447846,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,11,0.0022142485996102385,0.04956095256660898,4.0,signed_d2_lr,0.01,-13.436737662288268,0.05899191949939431,,400,,0,1,,,,,0.04956095256660898,0,1,0.01,0.05899191949939431,0.025828334346675936,0.5714285714285714,0.8198986007746868,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,12,0.002028763507484023,0.0,4.0,signed_d2_lr,0.03,-40.477293275340145,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,1,0,0.0007633819902679157,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,12,0.0020975123081057234,0.0,4.0,signed_d2_lr,0.03,-33.11707850120887,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,1,0,0.0007633819902679157,0.5896991271299976,0.004765125379526772,0.008080604430802071,,,,,,,,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,12,0.0018101245551956713,8.667804530701874e-05,4.0,signed_d2_lr,0.03,-59.660154655445055,0.02823561851877072,,25,,1,0,,,,,8.667804530701874e-05,1,0,0.03,0.02823561851877072,0.025703819938550254,0.5714285714285714,0.3661372910795262,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,12,0.002308907879668232,8.667804530701874e-05,4.0,signed_d2_lr,0.03,-21.102973766365928,0.02823561851877072,,25,,1,0,,,,,8.667804530701874e-05,1,0,0.03,0.02823561851877072,0.025703819938550254,0.5714285714285714,0.6793678830760794,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,12,0.0021994851266075887,8.667804530701874e-05,4.0,signed_d2_lr,0.03,-12.189856426399114,0.02823561851877072,,25,,1,0,,,,,8.667804530701874e-05,1,0,0.03,0.02823561851877072,0.025703819938550254,0.5714285714285714,0.8224880446778353,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
