config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
152,7.0,signed_d2_lr,0.2,-36.18190799192244,8.846213306131811e-06,0.0414501365020096,-40.477293275340145,15,15,1,0,15,-6.29308513782989
153,7.0,signed_d2_lr,0.2,-36.18188002136127,8.624855394777862e-06,0.041450136505108814,-40.477293275340145,15,15,1,1,15,-6.29308513782989
30,4.0,signed_d2_lr,0.5,-36.18179261558916,7.194755071539162e-06,0.0414501361544314,-40.477293275340145,15,15,0,0,15,-6.29242724903799
31,4.0,signed_d2_lr,0.5,-36.18179261558916,7.194755071539162e-06,0.0414501361544314,-40.477293275340145,15,15,0,1,15,-6.29242724903799
879,50.0,abs_diff_drop,0.03,-36.18174665314945,-1.3879135275386894e-05,0.04145013656865892,-40.477293275340145,15,15,0,1,15,-6.289750318057774
401,14.0,signed_d2_lr,0.05,-36.18169258849858,8.21193266254678e-06,0.041450136738272754,-40.477293275340145,15,15,1,1,15,-6.294266200692178
282,10.0,signed_d2_lr,0.2,-36.18166226616808,5.436233502824818e-06,0.041450136643497074,-40.477293275340145,15,15,0,0,15,-6.2917504812761145
1005,80.0,abs_diff_drop,0.03,-36.18165043221622,-4.99331073375932e-06,0.041450136594777934,-40.477293275340145,15,15,1,1,15,-6.290137147118369
283,10.0,signed_d2_lr,0.2,-36.18161827556991,5.08799521401426e-06,0.041450136641606156,-40.477293275340145,15,15,0,1,15,-6.2917504812761145
127,4.0,abs_diff_drop,0.5,-36.18161402309512,-4.5439916894548527e-07,0.04145013659764687,-40.477293275340145,15,15,0,1,15,-6.289569277946693
406,14.0,signed_d2_lr,0.1,-36.181599400176104,4.744511851526147e-06,0.041450136653071366,-40.477293275340145,15,15,0,0,15,-6.291622482596759
28,4.0,signed_d2_lr,0.5,-36.18157065144783,4.111288612308093e-06,0.0414501361544314,-40.477293275340145,15,15,1,0,15,-6.291201067927621
29,4.0,signed_d2_lr,0.5,-36.18157065144783,4.111288612308093e-06,0.0414501361544314,-40.477293275340145,15,15,1,1,15,-6.291201067927621
251,7.0,abs_diff_drop,0.2,-36.18156552032827,-1.886863929675447e-06,0.04145013657354826,-40.477293275340145,15,15,0,1,15,-6.2881356345650286
877,50.0,abs_diff_drop,0.03,-36.18154440783507,-7.930934443078225e-06,0.04145013656865892,-40.477293275340145,15,15,1,1,15,-6.289671439111533
1011,80.0,abs_diff_drop,0.05,-36.181511429115226,-3.1457857629253583e-06,0.04145013660548191,-40.477293275340145,15,15,0,1,15,-6.289925923879014
280,10.0,signed_d2_lr,0.2,-36.1814961884593,3.106419144471324e-06,0.041450136643497074,-40.477293275340145,15,15,1,0,15,-6.290814395056965
281,10.0,signed_d2_lr,0.2,-36.1814710510372,2.907425836579577e-06,0.041450136641606156,-40.477293275340145,15,15,1,1,15,-6.290814395056965
