config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
732,30.0,neg_diff_drop,0.5,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
733,30.0,neg_diff_drop,0.5,-36.181270730848006,-4.217597029008312e-08,0.04145013661111032,-40.477293275340145,15,15,1,1,15,-6.289558451227483
734,30.0,neg_diff_drop,0.5,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
735,30.0,neg_diff_drop,0.5,-36.181267717991894,-7.380794800764546e-08,0.04145013661111032,-40.477293275340145,15,15,0,1,15,-6.289552585608538
736,30.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
737,30.0,abs_diff_drop,0.001,-30.653147082518597,-0.011724965494947488,0.04145003037662586,-33.11707850120887,15,15,1,1,15,-4.135058705765138
738,30.0,abs_diff_drop,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
739,30.0,abs_diff_drop,0.001,-25.712421265195385,-0.020518689616158103,0.04145003037662586,-18.867959378381038,15,15,0,1,15,-2.519187177882387
740,30.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
741,30.0,abs_diff_drop,0.003,-35.903469156878714,-0.0013027762812889557,0.04145012480760649,-40.477293275340145,15,15,1,1,15,-6.050176113346362
742,30.0,abs_diff_drop,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
743,30.0,abs_diff_drop,0.003,-35.586031111752305,-0.0022798584922556725,0.04145012480760649,-40.477293275340145,15,15,0,1,15,-5.870634510602102
744,30.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
745,30.0,abs_diff_drop,0.01,-36.1731629798882,-0.00011724988924524673,0.041450135549152,-40.477293275340145,15,15,1,1,15,-6.268021153417136
746,30.0,abs_diff_drop,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
747,30.0,abs_diff_drop,0.01,-36.16211634853265,-0.0002051873061791818,0.041450135549152,-40.477293275340145,15,15,0,1,15,-6.2518624058750305
748,30.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
749,30.0,abs_diff_drop,0.03,-36.180565356111565,-1.3027765705435192e-05,0.04145013649346391,-40.477293275340145,15,15,1,1,15,-6.2871723699794435
750,30.0,abs_diff_drop,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
751,30.0,abs_diff_drop,0.03,-36.18003331340048,-2.279858998451159e-05,0.04145013649346391,-40.477293275340145,15,15,0,1,15,-6.285376953554767
752,30.0,abs_diff_drop,0.05,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
753,30.0,abs_diff_drop,0.05,-36.181019366916644,-4.6899956606884115e-06,0.04145013656900886,-40.477293275340145,15,15,1,1,15,-6.288704467334949
754,30.0,abs_diff_drop,0.05,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
755,30.0,abs_diff_drop,0.05,-36.18082783154037,-8.207492406204721e-06,0.04145013656900886,-40.477293275340145,15,15,0,1,15,-6.288058117420492
756,30.0,abs_diff_drop,0.1,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
757,30.0,abs_diff_drop,0.1,-36.181210902725454,-1.1724989158820916e-06,0.04145013660087939,-40.477293275340145,15,15,1,1,15,-6.289350820907192
758,30.0,abs_diff_drop,0.1,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
759,30.0,abs_diff_drop,0.1,-36.18116301888128,-2.0518731027936604e-06,0.04145013660087939,-40.477293275340145,15,15,0,1,15,-6.289189233428538
760,30.0,abs_diff_drop,0.2,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
761,30.0,abs_diff_drop,0.2,-36.181258786677596,-2.9312472901489727e-07,0.04145013660884703,-40.477293275340145,15,15,1,1,15,-6.28951240930089
762,30.0,abs_diff_drop,0.2,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
763,30.0,abs_diff_drop,0.2,-36.18124681571657,-5.129682757760701e-07,0.04145013660884703,-40.477293275340145,15,15,0,1,15,-6.289472012430853
764,30.0,abs_diff_drop,0.5,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
765,30.0,abs_diff_drop,0.5,-36.181272194184174,-4.689995664437153e-08,0.04145013661107796,-40.477293275340145,15,15,1,1,15,-6.2895576540514035
766,30.0,abs_diff_drop,0.5,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
767,30.0,abs_diff_drop,0.5,-36.18127027883039,-8.207492412765018e-08,0.04145013661107796,-40.477293275340145,15,15,0,1,15,-6.289551190551379
768,50.0,signed_d2_lr,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
769,50.0,signed_d2_lr,0.001,-35.56929216025923,-0.0064259043744641,0.04145010093364952,-40.477293275340145,15,15,1,1,15,-5.099400493800433
770,50.0,signed_d2_lr,0.001,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
771,50.0,signed_d2_lr,0.001,-35.11030558132988,-0.011245332655312175,0.04145010093364952,-40.477293275340145,15,15,0,1,15,-4.206779232305802
772,50.0,signed_d2_lr,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
773,50.0,signed_d2_lr,0.003,-36.113276641338786,-0.0007139898090643726,0.04145013264729456,-40.477293275340145,15,15,1,1,15,-6.157325549729853
774,50.0,signed_d2_lr,0.003,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
775,50.0,signed_d2_lr,0.003,-36.062278101554824,-0.0012494821658626523,0.04145013264729456,-40.477293275340145,15,15,0,1,15,-6.058145349312937
776,50.0,signed_d2_lr,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
777,50.0,signed_d2_lr,0.01,-36.17515491797256,-6.425908726014015e-05,0.04145013625472413,-40.477293275340145,15,15,1,1,15,-6.277664606262423
778,50.0,signed_d2_lr,0.01,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
779,50.0,signed_d2_lr,0.01,-36.1705650490744,-0.00011245340270524529,0.04145013625472413,-40.477293275340145,15,15,0,1,15,-6.26873838760813
780,50.0,signed_d2_lr,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
781,50.0,signed_d2_lr,0.03,-36.180594766877284,-7.1398986278724425e-06,0.041450136571860814,-40.477293275340145,15,15,1,1,15,-6.288243864775156
782,50.0,signed_d2_lr,0.03,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
783,50.0,signed_d2_lr,0.03,-36.18008478144095,-1.2494822598776775e-05,0.041450136571860814,-40.477293275340145,15,15,0,1,15,-6.287252062696281
784,50.0,signed_d2_lr,0.05,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,1,0,15,-6.289566272098146
785,50.0,signed_d2_lr,0.05,-36.181029954792386,-2.5703635072843564e-06,0.04145013659723175,-40.477293275340145,15,15,1,1,15,-6.289090205461701
786,50.0,signed_d2_lr,0.05,-36.18127474799489,0.0,0.041450136611502895,-40.477293275340145,15,15,0,0,15,-6.289566272098146
787,50.0,signed_d2_lr,0.05,-36.180846360035275,-4.498136137747624e-06,0.04145013659723175,-40.477293275340145,15,15,0,1,15,-6.2887331567134
