group,locality,mean_delta,median_delta,nonharm,nuisance,response_rule,rows,shrinkage,wins,worst_delta
core_wsd,none,-24.85610698947846,-26.356700015737967,15,mpl_ld4,two_point_five_roundfast20,15,ridge_tau_0p05,15,-3.002049509217597
extra_control,none,18.924365674947612,0.0,6,mpl_ld4,two_point_five_roundfast20,9,ridge_tau_0p05,0,84.55122129122034
core_wsd,linear,-15.845322813027243,-15.456062505549873,12,mpl_ld4,two_point_five_roundfast20,15,tau_free_sqrt_retention,12,14.533294586237844
extra_control,linear,0.0,0.0,9,mpl_ld4,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,-17.832682000974113,-17.679831319032747,12,mpl_ld4,two_point_five_roundfast20,15,tau_free_sqrt_retention,12,14.55353897510767
extra_control,none,6.017498262732719,0.0,6,mpl_ld4,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,23.17340763406428
core_wsd,linear,585.2664682038129,256.03920218591315,0,none,two_point_five_roundfast20,15,ridge_tau_0p05,0,2322.741060099936
extra_control,linear,0.0,0.0,9,none,two_point_five_roundfast20,9,ridge_tau_0p05,0,0.0
core_wsd,none,607.6377556648611,314.5492157094498,0,none,two_point_five_roundfast20,15,ridge_tau_0p05,0,2323.097321664028
extra_control,none,111.33564436899894,0.0,6,none,two_point_five_roundfast20,9,ridge_tau_0p05,0,503.7389104804408
core_wsd,linear,648.0362266500705,288.09565102292606,0,none,two_point_five_roundfast20,15,tau_free_sqrt_retention,0,2585.9417718551
extra_control,linear,0.0,0.0,9,none,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,0.0
core_wsd,none,670.7212894088605,320.03473310699366,0,none,two_point_five_roundfast20,15,tau_free_sqrt_retention,0,2586.336073701278
extra_control,none,112.9872400148904,0.0,6,none,two_point_five_roundfast20,9,tau_free_sqrt_retention,0,511.2842070801172
