base_mae,channel,config_id,corr_mae,curvature_coef,curvature_lambda,curvature_mode,curvature_tau,delta_pct,primary_coef,raw_primary,scale,shrink,shrink_curvature,signed_curvature_coef,smooth_config_id,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,source_dot,source_full_l2,source_l2,source_pair_config_id,source_retention,step_config_id,step_curvature_coef,step_curvature_shrunk,step_curvature_signed_coef,step_curvature_tau,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_primary_coef,step_primary_retention,step_primary_shrink,step_retention_power,step_rho,step_ridge_tau,target_retention,test_curve,test_label,train_curve,win
0.004487187642230267,step,260,0.0018109457613119165,0.0,10.0,signed_d2_lr,0.003,-59.641853523829425,0.028235628434749728,,25,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0,1,0,0.003,3000,20.0,16,0.015,0.028235628434749728,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.3663942360693223,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,260,0.002309546583664427,0.0,10.0,signed_d2_lr,0.003,-21.08114879604681,0.028235628434749728,,25,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0,1,0,0.003,3000,20.0,16,0.015,0.028235628434749728,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.6796844693526148,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,260,0.00219985311323118,0.0,10.0,signed_d2_lr,0.003,-12.175165279884947,0.028235628434749728,,25,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0,1,0,0.003,3000,20.0,16,0.015,0.028235628434749728,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.8227402815643826,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,260,0.0015664111728033144,0.0,10.0,signed_d2_lr,0.003,-58.20753202008486,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,260,0.0016025684965202782,0.0,10.0,signed_d2_lr,0.003,-50.664602484115804,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,260,0.002964275491187362,0.003008423811029025,10.0,signed_d2_lr,0.003,-47.714473661770896,0.03711974999377582,,100,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.003008423811029025,1,0,0.003,3000,20.0,16,0.015,0.03711974999377582,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.39689099159168223,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,260,0.0044690810214321535,0.003008423811029025,10.0,signed_d2_lr,0.003,-9.434202832881233,0.03711974999377582,,100,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.003008423811029025,1,0,0.003,3000,20.0,16,0.015,0.03711974999377582,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.7063090088065079,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,260,0.0012169041425609322,0.003008423811029025,10.0,signed_d2_lr,0.003,-11.923239026855892,0.03711974999377582,,100,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.003008423811029025,1,0,0.003,3000,20.0,16,0.015,0.03711974999377582,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.8378777869088303,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,260,0.0016880716653619192,0.0,10.0,signed_d2_lr,0.003,-64.09885037963525,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9817,0.008124693914388277,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.26545908515575306,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,260,0.0017262912135956674,0.0,10.0,signed_d2_lr,0.003,-55.20264825444758,0.05384132850099233,0.21520148368160166,400,0.8333333333333334,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0015692876699761771,0.5898288261410543,0.004792178674279005,9817,0.008124693914388277,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.31973859000646515,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,260,0.0029173269086418463,0.03840322408596575,10.0,signed_d2_lr,0.003,-64.30796112912451,0.058995457920112404,,400,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.03840322408596575,1,0,0.003,3000,20.0,16,0.015,0.058995457920112404,0.025828334346675936,0.5714285714285714,0.0,0.75,0.05,0.3823123837669691,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,260,0.005510516988794987,0.03840322408596575,10.0,signed_d2_lr,0.003,-17.597355201886188,0.058995457920112404,,400,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.03840322408596575,1,0,0.003,3000,20.0,16,0.015,0.058995457920112404,0.025828334346675936,0.5714285714285714,0.0,0.75,0.05,0.6825017387515845,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,260,0.0022551995392459073,0.03840322408596575,10.0,signed_d2_lr,0.003,-11.835812214584617,0.058995457920112404,,400,,1,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.03840322408596575,1,0,0.003,3000,20.0,16,0.015,0.058995457920112404,0.025828334346675936,0.5714285714285714,0.0,0.75,0.05,0.8088759965513541,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,262,0.002028763507484023,0.0,10.0,signed_d2_lr,0.003,-40.477293275340145,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.2662406679882105,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,262,0.0020975123081057234,0.0,10.0,signed_d2_lr,0.003,-33.11707850120887,0.026252974213881224,0.10507485423708406,25,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0007633819902679157,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.3198517221283153,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.004487187642230267,step,262,0.0018109457613119165,0.0,10.0,signed_d2_lr,0.003,-59.641853523829425,0.028235628434749728,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0,0,0,0.003,3000,20.0,16,0.015,0.028235628434749728,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.3663942360693223,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.002926482771138891,step,262,0.002309546583664427,0.0,10.0,signed_d2_lr,0.003,-21.08114879604681,0.028235628434749728,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0,0,0,0.003,3000,20.0,16,0.015,0.028235628434749728,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.6796844693526148,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.002504818961791151,step,262,0.00219985311323118,0.0,10.0,signed_d2_lr,0.003,-12.175165279884947,0.028235628434749728,,25,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0,0,0,0.003,3000,20.0,16,0.015,0.028235628434749728,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.8227402815643826,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.0037480705220761528,smooth,262,0.0015664111728033144,0.0,10.0,signed_d2_lr,0.003,-58.20753202008486,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.2686449951276333,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.003248313740665229,smooth,262,0.0016025684965202782,0.0,10.0,signed_d2_lr,0.003,-50.664602484115804,0.041227466002667336,0.16500873179177106,100,0.8333333333333334,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,0.0011988091251839222,0.5896991271299976,0.004765125379526772,9817,0.008080604430802071,335,,,,,3000,20.0,16,0.015,,,,0.0,0.75,0.05,0.32237714656014427,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.0056693997340904675,step,262,0.002945622081721878,0.0052647416693007935,10.0,signed_d2_lr,0.003,-48.04349278796375,0.03711974999377582,,100,,0,0,2112,12000,4.0,8,0.05,0.25,0.2,0.05,,,,9817,,335,0.0052647416693007935,0,0,0.003,3000,20.0,16,0.015,0.03711974999377582,0.025703819938550254,0.5714285714285714,0.0,0.75,0.05,0.3928820051425681,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
