config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,pair_index,rows,shrink_curvature,signed_curvature_coef,smooth_fit_start_step,smooth_lambda,smooth_max_mode,smooth_nuisance_lambda,smooth_retention_power,smooth_rho,smooth_ridge_tau,source_decoupled_mean_delta,source_decoupled_worst_delta,source_pair_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
12550,10.0,signed_d2_lr,0.003,-37.46439487973077,0.025189902117497314,0.04072902078503118,-40.47600157834289,15,12,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17925849112835,-6.3157428352411005,8796,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
15622,10.0,signed_d2_lr,0.003,-37.459300650318504,0.025248353948569346,0.04073728894221205,-40.477293275340145,15,15,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.17898289741352,-6.3129230545310495,9995,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
16646,10.0,signed_d2_lr,0.003,-37.45914895758271,0.025248353948569346,0.04073728894221205,-40.47614276278092,15,16,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17883120467772,-6.3129230545310495,9395,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
17670,10.0,signed_d2_lr,0.003,-37.45913755658022,0.025248353948569346,0.04073728894221205,-40.47600157834289,15,17,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17881980367522,-6.3129230545310495,8795,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
15370,4.0,signed_d2_lr,0.01,-37.44290799136114,0.017589837909308976,0.0407357041649585,-40.477293275340145,15,15,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.17898289741352,-6.3129230545310495,9995,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
15371,4.0,signed_d2_lr,0.01,-37.44290799136114,0.017589837909308976,0.0407357041649585,-40.477293275340145,15,15,15,0,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.17898289741352,-6.3129230545310495,9995,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
16394,4.0,signed_d2_lr,0.01,-37.44275629862534,0.017589837909308976,0.0407357041649585,-40.47614276278092,15,16,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17883120467772,-6.3129230545310495,9395,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
16395,4.0,signed_d2_lr,0.01,-37.44275629862534,0.017589837909308976,0.0407357041649585,-40.47614276278092,15,16,15,0,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17883120467772,-6.3129230545310495,9395,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
17418,4.0,signed_d2_lr,0.01,-37.44274489762283,0.017589837909308976,0.0407357041649585,-40.47600157834289,15,17,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17881980367522,-6.3129230545310495,8795,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
17419,4.0,signed_d2_lr,0.01,-37.44274489762283,0.017589837909308976,0.0407357041649585,-40.47600157834289,15,17,15,0,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17881980367522,-6.3129230545310495,8795,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.52771123328573
9226,4.0,signed_d2_lr,0.01,-37.438443192271734,0.01752733969760011,0.040727428937669174,-40.477293275340145,15,9,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179421584866645,-6.3157428352411005,9996,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
9227,4.0,signed_d2_lr,0.01,-37.438443192271734,0.01752733969760011,0.040727428937669174,-40.477293275340145,15,9,15,0,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179421584866645,-6.3157428352411005,9996,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
11274,4.0,signed_d2_lr,0.01,-37.43829149953594,0.01752733969760011,0.040727428937669174,-40.47614276278092,15,11,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17926989213085,-6.3157428352411005,9396,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
11275,4.0,signed_d2_lr,0.01,-37.43829149953594,0.01752733969760011,0.040727428937669174,-40.47614276278092,15,11,15,0,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17926989213085,-6.3157428352411005,9396,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
12298,4.0,signed_d2_lr,0.01,-37.43828009853345,0.01752733969760011,0.040727428937669174,-40.47600157834289,15,12,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17925849112835,-6.3157428352411005,8796,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
12299,4.0,signed_d2_lr,0.01,-37.43828009853345,0.01752733969760011,0.040727428937669174,-40.47600157834289,15,12,15,0,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17925849112835,-6.3157428352411005,8796,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.557365619582349
10250,4.0,signed_d2_lr,0.01,-37.437633314143326,0.017516474797314028,0.04072555615895589,-40.477293275340145,15,10,15,0,0,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179364219807674,-6.3156883827064085,9997,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
10251,4.0,signed_d2_lr,0.01,-37.437633314143326,0.017516474797314028,0.04072555615895589,-40.477293275340145,15,10,15,0,1,12000,4.0,8,0.05,0.25,0.2,0.05,-36.179364219807674,-6.3156883827064085,9997,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
13322,4.0,signed_d2_lr,0.01,-37.43748162140753,0.017516474797314028,0.04072555615895589,-40.47614276278092,15,13,15,0,0,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17921252707188,-6.3156883827064085,9397,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
13323,4.0,signed_d2_lr,0.01,-37.43748162140753,0.017516474797314028,0.04072555615895589,-40.47614276278092,15,13,15,0,1,12000,4.0,12,0.05,0.25,0.2,0.05,-36.17921252707188,-6.3156883827064085,9397,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
14346,4.0,signed_d2_lr,0.01,-37.437470220405025,0.017516474797314028,0.04072555615895589,-40.47600157834289,15,14,15,0,0,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17920112606938,-6.3156883827064085,8797,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
14347,4.0,signed_d2_lr,0.01,-37.437470220405025,0.017516474797314028,0.04072555615895589,-40.47600157834289,15,14,15,0,1,12000,4.0,16,0.05,0.25,0.2,0.05,-36.17920112606938,-6.3156883827064085,8797,3000,20.0,16,0.01,0.0,0.35,0.05,15,-10.560119880225738
