cfg_curvature_lambda,cfg_curvature_mode,cfg_curvature_tau,cfg_fit_start_step,cfg_max_mode,cfg_nuisance_lambda,cfg_response_lambda,cfg_retention_power,cfg_rho,cfg_ridge_tau,cfg_shrink_curvature,cfg_signed_curvature_coef,config,delta_first_vs_pure_pct,delta_refit_mpl_vs_pure_pct,delta_vs_first_error_pct,delta_vs_pure_pct,final_error_mae,final_step_curvature_coef,final_step_primary_coef,final_target_retention,first_error_mae,first_step_curvature_coef,first_step_primary_coef,first_target_retention,forced_channel,pure_mpl_mae,refit_mpl_mae,scale,test_curve,test_label,win_vs_first_error,win_vs_pure
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-11.413349783952654,0.44837825593344593,0.3186556620415004,-11.131063407226327,0.0064665067688099015,0.0,0.05122216755889517,0.21120272933249548,0.006445966332119315,0.0,0.050866798716022225,0.21120272933249545,step,0.007276453411883992,0.007309079446786006,400,wsd_20000_24000.csv,WSD sharp,0,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-10.657213415085721,0.3514340205083677,0.152133447514613,-10.521293153748456,0.005427437348128694,0.0,0.05122216755889517,0.2773539852311722,0.005419192943076922,0.0,0.050866798716022225,0.27735398523117216,step,0.006065618893503333,0.006086935541849487,400,wsdld_20000_24000.csv,WSD linear,0,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-36.35215589774019,3.1162636772440244,4.432293859132863,-33.53109641212527,0.010221874389091655,0.0,0.05122216755889517,0.45161232306614585,0.009788039706261539,0.0,0.050866798716022225,0.4516123230661458,step,0.015378430871178581,0.0158576633265472,400,wsdcon_3.csv,WSD-con 3e-5,0,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-17.504020921648188,2.2201876171606516,2.5389657186926318,-15.409476293548996,0.00764096558735554,0.0,0.05122216755889517,0.7518194660690938,0.007451767758529876,0.0,0.050866798716022225,0.7518194660690939,step,0.009032886016726277,0.00923343303354187,400,wsdcon_9.csv,WSD-con 9e-5,0,1
4.0,signed_d2_lr,0.01,3000,8,0.03,20.0,0.25,0.2,0.05,False,False,forced_step_best_mean,-10.383757861213406,5.450882731656925,6.001522255747038,-5.005419144489965,0.00462514338806121,0.0,0.05122216755889517,0.8676936727892206,0.004363280158281359,0.0,0.050866798716022225,0.8676936727892204,step,0.004868849724276598,0.005134245013127516,400,wsdcon_18.csv,WSD-con 18e-5,0,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-11.097200552477515,-2.3571830234482616,-2.8663675249254617,-13.645481524590908,0.0037161161891332535,0.016734109631442135,0.0323872380113034,0.13486341117582948,0.0038257770191872996,0.015527596927794558,0.03214440228501289,0.13486515571008797,step,0.004303325702859985,0.004201888439948484,25,wsd_20000_24000.csv,WSD sharp,1,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-8.492784791624008,-2.97983540872232,-3.32888963069109,-11.538958990029824,0.0034151290480613434,0.016734109631442135,0.0323872380113034,0.17383604265868838,0.003532729721438657,0.015527596927794558,0.03214440228501289,0.17383249564774414,step,0.003860602372604268,0.003745562776115432,25,wsdld_20000_24000.csv,WSD linear,1,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-40.434579810965374,0.08365420586298189,-0.7074129980951027,-40.855953335752574,0.005081305207920192,0.016734109631442135,0.0323872380113034,0.31391136206022957,0.0051175071184545815,0.015527596927794558,0.03214440228501289,0.31404238997931366,step,0.008591406057766149,0.008598593130276238,25,wsdcon_3.csv,WSD-con 3e-5,1,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-16.75405121704069,-1.1211265592408592,-1.3511342381438918,-17.878815732914976,0.004970148479666004,0.016734109631442135,0.0323872380113034,0.6158692675479553,0.005038221616925856,0.015527596927794558,0.03214440228501289,0.6165381442982063,step,0.006052212378600692,0.005984359418202537,25,wsdcon_9.csv,WSD-con 9e-5,1,1
10.0,signed_d2_lr,0.003,3000,16,0.01,20.0,0.0,0.35,0.05,False,False,forced_step_best_worst,-7.3012186586768895,-0.9528389380557112,-0.9689658899992182,-8.199438230319267,0.003795391329631497,0.016734109631442135,0.0323872380113034,0.7647691102177481,0.0038325272110313288,0.015527596927794558,0.03214440228501289,0.7662772814934746,step,0.004134387912738256,0.004094993854855417,25,wsdcon_18.csv,WSD-con 18e-5,1,1
