estimator,max_kappa,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins
dct_low_frequency_G_m10,0.014724789726841976,-6.241953761580805,0.009750006697106729,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m10,0.014724789726841976,-18.976493834214413,0.009750006697106729,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m10,0.014724789726841976,-7.228782555330841,0.009750006697106729,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m10,0.014724789726841976,-5.887468710475074,0.009750006697106729,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
dct_low_frequency_G_m10,0.01670846904190553,-1.8917180308848256,0.012991393608087898,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m10,0.01670846904190553,-10.222512712951382,0.012991393608087898,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m10,0.01670846904190553,-8.463899912209287,0.012991393608087898,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m10,0.01670846904190553,-25.231507033718227,0.012991393608087898,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m10,0.01670846904190553,-11.27655728445547,0.012991393608087898,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m10,0.01670846904190553,-8.139556399899428,0.012991393608087898,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
dct_low_frequency_G_m11,0.0017390026598459465,-0.10029878956367237,0.000707786582853779,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m11,0.0017390026598459465,-0.4909882726440551,0.000707786582853779,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m11,0.0017390026598459465,-0.4255190380434389,0.000707786582853779,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m11,0.0017390026598459465,-1.2900094228474528,0.000707786582853779,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m11,0.0017390026598459465,-0.41108241050677635,0.000707786582853779,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m11,0.0017390026598459465,-0.48242609339060144,0.000707786582853779,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
dct_low_frequency_G_m11,0.006860145496719832,-0.5429826740128226,0.0037777617220244018,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m11,0.006860145496719832,-2.807153857095564,0.0037777617220244018,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m11,0.006860145496719832,-2.37319996309473,0.0037777617220244018,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m11,0.006860145496719832,-7.546204427453321,0.0037777617220244018,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m11,0.006860145496719832,-2.73280692826476,0.0037777617220244018,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m11,0.006860145496719832,-2.3529895263013487,0.0037777617220244018,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
dct_low_frequency_G_m11,0.004702208049046262,-0.3908276026313236,0.0027024739230632976,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m11,0.004702208049046262,-2.0223478675214457,0.0027024739230632976,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m11,0.004702208049046262,-1.7058252434100567,0.0027024739230632976,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m11,0.004702208049046262,-5.569775030111553,0.0027024739230632976,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m11,0.004702208049046262,-2.101122824300413,0.0027024739230632976,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m11,0.004702208049046262,-1.8360846176251109,0.0027024739230632976,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
dct_low_frequency_G_m11,0.008840239607281196,-0.8861218518646926,0.006080382142751128,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m11,0.008840239607281196,-4.659110288688173,0.006080382142751128,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
dct_low_frequency_G_m11,0.008840239607281196,-3.903073012450753,0.006080382142751128,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
