center,gate_sign,gate_tau,mean_delta,median_delta,mid_config_id,mid_mean_delta,mid_median_delta,mid_nonharm,mid_rows,mid_wins,mid_worst_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
0.4,signed,0.003,-4.817868416190336,-40.477293275340145,687,147.24631153415157,135.49641094013643,0,3,0,188.88315034607598,12,15,0,1.0,0.25,12,188.88315034607598
0.4,nonpos,0.01,-37.668246127276035,-40.477293275340145,688,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.25,15,-10.801466736917275
0.4,nonpos,0.01,-37.668246127276035,-40.477293275340145,689,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.25,15,-10.801466736917275
0.4,signed,0.01,-22.888335674322644,-40.477293275340145,690,56.89397524349005,57.08190315853025,0,3,0,70.54816180207364,12,15,1,1.0,0.25,12,70.54816180207364
0.4,signed,0.01,-16.184190526117117,-40.477293275340145,691,90.41470098451767,86.29907687385221,0,3,0,114.14976801449583,12,15,0,1.0,0.25,12,114.14976801449583
0.4,nonpos,0.03,-37.668246127276035,-40.477293275340145,692,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.25,15,-10.801466736917275
0.4,nonpos,0.03,-37.668246127276035,-40.477293275340145,693,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.25,15,-10.801466736917275
0.4,signed,0.03,-34.56150034189316,-40.477293275340145,694,-1.4718480943625007,-5.061769697026142,2,3,2,6.3716311263047665,14,15,1,1.0,0.25,14,6.3716311263047665
0.4,signed,0.03,-32.92399414245407,-40.477293275340145,695,6.715682902832893,4.4236333163027775,0,3,0,13.762975785133413,12,15,0,1.0,0.25,12,13.762975785133413
0.4,nonpos,0.1,-37.668246127276035,-40.477293275340145,696,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.25,15,-10.801466736917275
0.4,nonpos,0.1,-37.668246127276035,-40.477293275340145,697,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.25,15,-10.801466736917275
0.4,signed,0.1,-37.445738633207,-40.477293275340145,698,-15.893039550931709,-18.20327030131075,3,3,3,-8.993269490746059,15,15,1,1.0,0.25,15,-8.993269490746059
0.4,signed,0.1,-37.33769193387948,-40.477293275340145,699,-15.35280605429417,-17.770403036317916,3,3,3,-8.215016832778444,15,15,0,1.0,0.25,15,-8.215016832778444
0.4,nonpos,0.001,-37.668246127276035,-40.477293275340145,700,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.25,15,-10.801466736917275
0.4,nonpos,0.001,-37.668246127276035,-40.477293275340145,701,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.25,15,-10.801466736917275
0.4,signed,0.001,-26.27621185489328,-40.477293275340145,702,39.954594340636866,37.007380133035525,0,3,0,57.37621885778867,12,15,1,2.0,0.25,12,57.37621885778867
0.4,signed,0.001,-20.342383801931664,-40.477293275340145,703,69.62373460544494,60.932995270033686,0,3,0,98.98189635839576,12,15,0,2.0,0.25,12,98.98189635839576
0.4,nonpos,0.003,-37.668246127276035,-40.477293275340145,704,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.25,15,-10.801466736917275
0.4,nonpos,0.003,-37.668246127276035,-40.477293275340145,705,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.25,15,-10.801466736917275
0.4,signed,0.003,-27.146085297985064,-40.477293275340145,706,35.60522712517795,33.64543294611468,0,3,0,50.978030956377275,12,15,1,2.0,0.25,12,50.978030956377275
0.4,signed,0.003,-21.629315072502333,-40.477293275340145,707,63.18907825259161,55.888584276278294,0,3,0,89.65797496696007,12,15,0,2.0,0.25,12,89.65797496696007
0.4,nonpos,0.01,-37.668246127276035,-40.477293275340145,708,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.25,15,-10.801466736917275
0.4,nonpos,0.01,-37.668246127276035,-40.477293275340145,709,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.25,15,-10.801466736917275
0.4,signed,0.01,-32.255236860747715,-40.477293275340145,710,10.059469311364692,13.43102132875491,0,3,0,13.892669491301302,12,15,1,2.0,0.25,12,13.892669491301302
0.4,signed,0.01,-29.19248665886588,-40.477293275340145,711,25.373220320773868,26.25068350373001,0,3,0,34.87623585343751,12,15,0,2.0,0.25,12,34.87623585343751
0.4,nonpos,0.03,-37.668246127276035,-40.477293275340145,712,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.25,15,-10.801466736917275
0.4,nonpos,0.03,-37.668246127276035,-40.477293275340145,713,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.25,15,-10.801466736917275
0.4,signed,0.03,-36.9369085926238,-40.477293275340145,714,-13.348889348015737,-16.24049772340911,3,3,3,-5.768958540285607,15,15,1,2.0,0.25,15,-5.768958540285607
0.4,signed,0.03,-36.4544245133746,-40.477293275340145,715,-10.93646895176974,-13.950788958161464,3,3,3,-3.2504737373806547,15,15,0,2.0,0.25,15,-3.2504737373806547
0.4,nonpos,0.1,-37.668246127276035,-40.477293275340145,716,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,2.0,0.25,15,-10.801466736917275
0.4,nonpos,0.1,-37.668246127276035,-40.477293275340145,717,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,2.0,0.25,15,-10.801466736917275
0.4,signed,0.1,-37.6153516127875,-40.477293275340145,718,-16.74110444883426,-18.755495060356363,3,3,3,-10.301060586720567,15,15,1,2.0,0.25,15,-10.301060586720567
0.4,signed,0.1,-37.58285553484313,-40.477293275340145,719,-16.57862405911237,-18.65392849548998,3,3,3,-10.050635702089128,15,15,0,2.0,0.25,15,-10.050635702089128
0.5,nonpos,0.001,-37.668246127276035,-40.477293275340145,720,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.5,nonpos,0.001,-37.668246127276035,-40.477293275340145,721,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.5,signed,0.001,-37.646126967199294,-40.477293275340145,722,-16.89498122089319,-18.700056266654375,3,3,3,-10.554510111073467,15,15,1,0.0,0.05,15,-10.554510111073467
0.5,signed,0.001,-37.64598928731243,-40.477293275340145,723,-16.894292821458908,-18.6990477789027,3,3,3,-10.553489252030868,15,15,0,0.0,0.05,15,-10.553489252030868
0.5,nonpos,0.003,-37.668246127276035,-40.477293275340145,724,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.5,nonpos,0.003,-37.668246127276035,-40.477293275340145,725,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.5,signed,0.003,-37.64647028309146,-40.477293275340145,726,-16.896697800353998,-18.70257807552148,3,3,3,-10.557049222974202,15,15,1,0.0,0.05,15,-10.557049222974202
0.5,signed,0.003,-37.64633401878667,-40.477293275340145,727,-16.896016478830074,-18.7015799568131,3,3,3,-10.556038860007543,15,15,0,0.0,0.05,15,-10.556038860007543
0.5,nonpos,0.01,-37.668246127276035,-40.477293275340145,728,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.5,nonpos,0.01,-37.668246127276035,-40.477293275340145,729,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.5,signed,0.01,-37.649930645137246,-40.477293275340145,730,-16.91399961058298,-18.72799595963077,3,3,3,-10.58264155501587,15,15,1,0.0,0.05,15,-10.58264155501587
0.5,signed,0.01,-37.64980864881774,-40.477293275340145,731,-16.913389628985467,-18.72710235286046,3,3,3,-10.58173698456818,15,15,0,0.0,0.05,15,-10.58173698456818
0.5,nonpos,0.03,-37.668246127276035,-40.477293275340145,732,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.5,nonpos,0.03,-37.668246127276035,-40.477293275340145,733,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.5,signed,0.03,-37.66067898198296,-40.477293275340145,734,-16.96774129481153,-18.780668502229393,3,3,3,-10.687525254750375,15,15,1,0.0,0.05,15,-10.687525254750375
0.5,signed,0.03,-37.66064797562569,-40.477293275340145,735,-16.96758626302522,-18.780690954697967,3,3,3,-10.68705424818418,15,15,0,0.0,0.05,15,-10.68705424818418
0.5,nonpos,0.1,-37.668246127276035,-40.477293275340145,736,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,0.0,0.05,15,-10.801466736917275
0.5,nonpos,0.1,-37.668246127276035,-40.477293275340145,737,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,0.0,0.05,15,-10.801466736917275
0.5,signed,0.1,-37.66707330412223,-40.477293275340145,738,-16.999712905507927,-18.77693358863076,3,3,3,-10.78380708182185,15,15,1,0.0,0.05,15,-10.78380708182185
0.5,signed,0.1,-37.66706849848231,-40.477293275340145,739,-16.999688877308287,-18.776937068490586,3,3,3,-10.783734081073037,15,15,0,0.0,0.05,15,-10.783734081073037
0.5,nonpos,0.001,-37.668246127276035,-40.477293275340145,740,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.05,15,-10.801466736917275
0.5,nonpos,0.001,-37.668246127276035,-40.477293275340145,741,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.05,15,-10.801466736917275
0.5,signed,0.001,-37.64470972748925,-40.477293275340145,742,-16.88789502234302,-18.689703445676297,3,3,3,-10.558188218251841,15,15,1,1.0,0.05,15,-10.558188218251841
0.5,signed,0.001,-37.64457707743384,-40.477293275340145,743,-16.88723177206595,-18.688762903975253,3,3,3,-10.55723167267727,15,15,0,1.0,0.05,15,-10.55723167267727
0.5,nonpos,0.003,-37.668246127276035,-40.477293275340145,744,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.05,15,-10.801466736917275
0.5,nonpos,0.003,-37.668246127276035,-40.477293275340145,745,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.05,15,-10.801466736917275
0.5,signed,0.003,-37.6458462539369,-40.477293275340145,746,-16.893577654581247,-18.698051687563222,3,3,3,-10.566129801929646,15,15,1,1.0,0.05,15,-10.566129801929646
0.5,signed,0.003,-37.64571793501646,-40.477293275340145,747,-16.89293605997901,-18.69714186250543,3,3,3,-10.565204481827573,15,15,0,1.0,0.05,15,-10.565204481827573
0.5,nonpos,0.01,-37.668246127276035,-40.477293275340145,748,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,1,1.0,0.05,15,-10.801466736917275
0.5,nonpos,0.01,-37.668246127276035,-40.477293275340145,749,-17.005577021276896,-18.77624854971779,3,3,3,-10.801466736917275,15,15,0,1.0,0.05,15,-10.801466736917275
