candidate,dct_modes,fit_start,kind,lambdas,mean_delta,median_delta,nonharm,nuisance_lambda,ridge_tau,rows,signed,wins,worst_delta
lag_spectrum_raw_l7_l20,8,8000,lag_raw,"7,20",0.2588061608592745,-1.2916773578529717,12,0.01,0.05,15,0,12,18.234077497391322
lag_rawslope_l7,8,8000,lag_raw,7,0.36158383885518774,-1.5884308328644736,12,0.02,0.05,15,0,12,21.1071428940784
lag_rawslope_l20,8,8000,lag_raw,20,0.4362520985929285,-0.7461336641392258,13,0.05,0.05,15,0,13,14.46198509794845
lag_rawslope_l20,8,5000,lag_raw,20,0.6094596649929848,-0.8010570866348266,13,0.05,0.05,15,0,13,15.69750319477845
lag_rawslope_l4,8,5000,lag_raw,4,0.6734685943564777,-2.097704582468085,11,0.01,0.05,15,0,11,26.649486251202383
lag_spectrum_raw_l7_l20,8,5000,lag_raw,"7,20",0.7873221299212921,-1.4542521795268715,12,0.01,0.05,15,0,12,22.59745664027659
lag_rawslope_l7,8,5000,lag_raw,7,0.9582890900951213,-1.6400706173196333,12,0.02,0.05,15,0,12,25.14798772088711
lag_spectrum_raw_l4_l20,8,8000,lag_raw,"4,20",1.4494159630184884,-1.9386055944369152,11,0.01,0.05,15,0,11,30.62918086556119
lag_spectrum_raw_l4_l20,8,5000,lag_raw,"4,20",2.332547862615647,-2.240206150056623,10,0.01,0.05,15,0,10,36.82655935720574
lag_rawslope_l4,8,8000,lag_raw,4,2.423920814819012,-2.832870469301363,10,0.02,0.05,15,0,10,39.969884072695415
lag_spectrum_raw_l7_l20,8,8000,lag_raw,"7,20",2.690255292610516,-1.4803239515494448,11,0.02,0.05,15,0,11,35.442567582124184
lag_rawslope_l4,8,5000,lag_raw,4,3.4771898387392484,-3.1581009894696255,10,0.02,0.05,15,0,10,47.57269606756864
lag_spectrum_raw_l7_l20,8,5000,lag_raw,"7,20",3.6240186274620507,-1.633626241468833,10,0.02,0.05,15,0,10,41.530124176790295
lag_rawslope_l7,8,8000,lag_raw,7,4.242029443709685,-2.224885351474848,10,0.05,0.05,15,0,10,48.67022977793265
lag_rawslope_l7,8,5000,lag_raw,7,4.628738658974162,-2.238738076157698,10,0.05,0.05,15,0,10,51.144325025817096
lag_spectrum_raw_l4_l20,8,8000,lag_raw,"4,20",5.130631273483171,-3.040737150602857,10,0.02,0.05,15,0,10,56.68321907758944
continuous_lambda_raw_7_20,8,8000,adaptive_raw,"7,20",5.339775401298292,12.705155094687125,7,0.02,0.05,15,0,7,54.564534458465545
lag_spectrum_raw_l4_l20,8,5000,lag_raw,"4,20",6.592423416674092,-3.3869790478252337,10,0.02,0.05,15,0,10,66.3732066136229
continuous_lambda_projected_4_20,8,8000,adaptive_projected_raw,"4,20",7.599167011662632,8.24028487714541,4,0.02,0.05,15,0,4,25.57458972922817
lag_rawslope_l4,8,8000,lag_raw,4,8.773147850653528,-4.089705320370918,10,0.05,0.05,15,0,10,84.9952345933931
lag_rawslope_l4,8,5000,lag_raw,4,9.37919707507853,-4.121761667131896,10,0.05,0.05,15,0,10,88.62122000760586
lag_spectrum_raw_l7_l20,8,8000,lag_raw,"7,20",9.451802713370105,-2.60957080106059,10,0.05,0.05,15,0,10,79.89709487005298
continuous_lambda_raw_7_20,8,5000,adaptive_raw,"7,20",10.060302332181168,17.490159283704187,6,0.02,0.05,15,0,6,56.57416815203258
lag_spectrum_raw_l7_l20,8,5000,lag_raw,"7,20",10.13714784776377,-2.630001320740749,10,0.05,0.05,15,0,10,83.80190776644226
continuous_lambda_projected_4_20,8,5000,adaptive_projected_raw,"4,20",12.52810308039991,13.12948196692425,3,0.02,0.05,15,0,3,34.43144546549757
lag_spectrum_raw_l4_l20,8,8000,lag_raw,"4,20",14.59737631496485,-4.463625991966646,9,0.05,0.05,15,0,9,118.13290011352792
lag_spectrum_raw_l4_l20,8,5000,lag_raw,"4,20",15.506728944231615,-4.501966409330615,8,0.05,0.05,15,0,8,123.26794621069115
continuous_lambda_raw_4_20,8,8000,adaptive_raw,"4,20",19.443994692428006,19.06533338201846,1,0.02,0.05,15,0,1,53.07815664774041
continuous_lambda_raw_4_20,8,5000,adaptive_raw,"4,20",21.187823207669204,19.749689707914374,2,0.02,0.05,15,0,2,52.90149197048872
raw_drop_l7,8,8000,raw,7,22.337095160303967,45.10290148324283,7,0.01,0.05,15,0,7,137.85484158653233
raw_drop_l7,8,5000,raw,7,28.496594097676205,51.12724781613864,7,0.01,0.05,15,0,7,133.40489743858663
raw_drop_l20,8,8000,raw,20,29.290986538411786,42.51870372916149,6,0.05,0.05,15,0,6,167.48419768781395
raw_drop_l20,8,5000,raw,20,36.120153004861464,47.942853474616065,6,0.05,0.05,15,0,6,180.52582008810268
obs_half_life_localized_projected_2p5_roundfast20,8,8000,adaptive_observed_localized_projected_raw,"2.5,20",56.45342146594824,42.50750015653297,0,0.05,0.05,15,0,0,167.441853492772
obs_half_life_sqrtlocalized_projected_2p5_roundfast20,8,8000,adaptive_observed_sqrtlocalized_projected_raw,"2.5,20",62.00551642036863,48.91855732695105,0,0.05,0.05,15,0,0,167.46302482535
obs_half_life_localized_projected_2p5_roundfast20,8,5000,adaptive_observed_localized_projected_raw,"2.5,20",64.22978753853563,47.930866065319066,0,0.05,0.05,15,0,0,180.48159126554611
obs_half_life_projected_2p5_roundfast20,8,8000,adaptive_observed_projected_raw,"2.5,20",68.14788280058806,57.157218478301594,0,0.05,0.05,15,0,0,167.48419768781395
continuous_lambda_projected_7_20,8,8000,adaptive_projected_raw,"7,20",69.49097720754497,59.001879018179146,0,0.05,0.05,15,0,0,167.48419768781395
obs_half_life_sqrtlocalized_projected_2p5_roundfast20,8,5000,adaptive_observed_sqrtlocalized_projected_raw,"2.5,20",69.96252321133309,55.432656705476724,0,0.05,0.05,15,0,0,180.5037048778358
obs_half_life_projected_2p5_roundfast20,8,5000,adaptive_observed_projected_raw,"2.5,20",76.3047114186973,63.76007215268387,0,0.05,0.05,15,0,0,180.52582008810268
continuous_lambda_projected_7_20,8,5000,adaptive_projected_raw,"7,20",77.60603761704316,66.512964414226,0,0.05,0.05,15,0,0,180.52582008810268
raw_drop_l7,8,8000,raw,7,81.60404496061615,86.5082735809878,7,0.02,0.05,15,0,7,287.42350433590536
continuous_lambda_raw_7_20,8,8000,adaptive_raw,"7,20",84.57987204698472,67.53886994063585,0,0.05,0.05,15,0,0,215.75581746347518
continuous_lambda_raw_7_20,8,5000,adaptive_raw,"7,20",90.07233996004553,68.67833805460293,0,0.05,0.05,15,0,0,215.62893283294423
raw_drop_l7,8,5000,raw,7,90.30924318425112,94.4220284624453,5,0.02,0.05,15,0,5,286.0647458753605
continuous_lambda_projected_4_20,8,8000,adaptive_projected_raw,"4,20",92.53092659676622,96.49933741174992,0,0.05,0.05,15,0,0,167.48419768781395
continuous_lambda_projected_4_20,8,5000,adaptive_projected_raw,"4,20",98.81373383851044,87.84324568840046,0,0.05,0.05,15,0,0,180.52582008810268
continuous_lambda_raw_4_20,8,8000,adaptive_raw,"4,20",102.66158979330255,96.47977846510452,0,0.05,0.05,15,0,0,200.2945090384843
continuous_lambda_raw_4_20,8,5000,adaptive_raw,"4,20",103.2184900778225,87.80740318947922,0,0.05,0.05,15,0,0,186.64847769978135
raw_drop_l7,8,8000,raw,7,228.19889588080832,189.0476633717777,0,0.05,0.05,15,0,0,657.0209194911587
raw_drop_l7,8,5000,raw,7,238.3016529751852,197.9349454520484,0,0.05,0.05,15,0,0,656.7280282193603
lag_normslope_l20,8,8000,lag_norm,20,365.10297890148803,150.29294154716396,6,0.01,0.05,15,0,6,1533.5249403868395
lag_normslope_l20,8,5000,lag_norm,20,418.94993846348893,170.6144201727152,6,0.01,0.05,15,0,6,1767.6692144286064
lag_normslope_l20,8,8000,lag_norm,20,572.8385460486759,230.82057281064746,3,0.02,0.05,15,0,3,2298.621146060775
lag_normslope_l20,8,5000,lag_norm,20,641.044485285638,256.49417860567956,2,0.02,0.05,15,0,2,2620.8734735899375
lag_normslope_l20,8,8000,lag_norm,20,1014.0000276071131,405.5205880728921,0,0.05,0.05,15,0,0,3969.1073576465205
lag_normslope_l20,8,5000,lag_norm,20,1044.4613639110516,416.8384087447726,0,0.05,0.05,15,0,0,4184.614099120398
