candidate,coef_0,coef_1,fit_objective,fit_start,kind,lambdas,localization,nuisance_lambda,residualized_corr,scale,signed,target_lambda,test_curve,test_label
continuous_lambda_projected_7_20,0.06055693382186499,,0.0003207817456711833,8000,adaptive_projected_raw,"7,20",1.0,0.01,0.027593566362048457,400,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.06055693382186499,,0.0003207817456711833,8000,adaptive_projected_raw,"7,20",1.0,0.01,0.027593566362048457,400,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.06489997699962473,,0.00029756918719886136,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.023637434845716072,25,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.06490177491248694,,0.00029756081957667426,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.023638440524363865,25,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.0508944891163728,,0.000309889778007184,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.018399412553727172,25,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.0508944891163728,,0.000309889778007184,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.018399412553727172,25,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.0508944891163728,,0.000309889778007184,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.018399412553727172,25,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.09214443918288825,,0.0004651479985695231,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.03776247582552518,100,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
continuous_lambda_projected_7_20,0.09214646331108156,,0.00046513160174169405,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.03776364925796397,100,0,7.00325081270318,wsdld_20000_24000.csv,WSD linear
continuous_lambda_projected_7_20,0.07261330800468568,,0.0004898251536921569,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.02968286535529487,100,0,20.0,wsdcon_3.csv,WSD-con 3e-5
continuous_lambda_projected_7_20,0.07261330800468568,,0.0004898251536921569,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.02968286535529487,100,0,20.0,wsdcon_9.csv,WSD-con 9e-5
continuous_lambda_projected_7_20,0.07261330800468568,,0.0004898251536921569,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.02968286535529487,100,0,20.0,wsdcon_18.csv,WSD-con 18e-5
continuous_lambda_projected_7_20,0.12616229415424035,,0.0006963611262798812,8000,adaptive_projected_raw,"7,20",1.0,0.02,0.05726273034214776,400,0,7.008313029715088,wsd_20000_24000.csv,WSD sharp
