basis_dim,coef,denominator,fit_start,lambda,n_cal,nuisance,response_rule,ridge,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_3.csv,WSD-con 3e-5,400,100,observation_bracket_mplld_neff
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_9.csv,WSD-con 9e-5,400,100,observation_bracket_mplld_neff
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_18.csv,WSD-con 18e-5,400,100,observation_bracket_mplld_neff
4,0.08195747501285224,0.002147168953475683,8000,9.02600304324791,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017597654585285537,0.34183367340520177,0.012131321176017186,0.0012594662017095595,cosine_24000.csv,Cosine 24k,400,100,observation_bracket_mplld_neff
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_24000.csv,Constant 24k,400,100,observation_bracket_mplld_neff
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_72000.csv,Constant 72k,400,100,observation_bracket_mplld_neff
4,0.07877182557247302,0.002158656368343973,8000,9.031125300869606,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017004130291809952,0.3416543580606147,0.012595886961384384,0.0013592006680934836,wsd_20000_24000.csv,WSD sharp,25,400,observation_bracket_mplld_neff
4,0.07880917466977902,0.002158794038417391,8000,9.02761081624502,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.00017013277644971383,0.34178838077740026,0.012601350658456856,0.0013593134197573322,wsdld_20000_24000.csv,WSD linear,25,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_3.csv,WSD-con 3e-5,25,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_9.csv,WSD-con 9e-5,25,400,observation_bracket_mplld_neff
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_18.csv,WSD-con 18e-5,25,400,observation_bracket_mplld_neff
4,0.07882626972788319,0.0021588570786442236,8000,9.02600304324791,500,mpl_ld4,observation_bracket,0.002,sample_size_ridge,0.0001701746503851595,0.34184972687100396,0.012603851738425974,0.001359365041869413,cosine_24000.csv,Cosine 24k,25,400,observation_bracket_mplld_neff
