group,mean_delta,median_delta,nonharm,rows,split,tau_steps,variant,wins,worst_delta
extra_control,152.07810859507583,41.85714032144466,4,18,cross_scale,512,cosine_fit_amplitude_mpl_ld_lag,4,747.0937817709515
core_wsd,537.2579820610484,516.0630476952933,0,15,same_scale,512,cosine_fit_amplitude_mpl_ld_lag,0,1275.3870662421477
extra_control,158.32061936978155,44.48935795302946,2,9,same_scale,512,cosine_fit_amplitude_mpl_ld_lag,2,652.7481829226919
core_wsd,569.0358116583055,518.6914923600774,0,30,cross_scale,64,cosine_fit_amplitude_mpl_ld_lag,0,1588.4598892654305
extra_control,155.5766184165384,43.36496157283535,4,18,cross_scale,64,cosine_fit_amplitude_mpl_ld_lag,4,753.9826914577548
core_wsd,586.8699783727844,583.2876801777735,0,15,same_scale,64,cosine_fit_amplitude_mpl_ld_lag,0,1391.4698184155845
extra_control,161.82148445407398,44.5892309637187,2,9,same_scale,64,cosine_fit_amplitude_mpl_ld_lag,2,656.4886768150287
core_wsd,188.1615640330209,147.84252525106487,2,30,cross_scale,8192,cosine_fit_amplitude_mpl_ld_lag,2,771.6442966144657
extra_control,96.25874159353543,29.106966162595704,4,18,cross_scale,8192,cosine_fit_amplitude_mpl_ld_lag,4,467.95915773640615
core_wsd,196.13875322236666,136.80523283322796,2,15,same_scale,8192,cosine_fit_amplitude_mpl_ld_lag,2,710.2178606930277
extra_control,103.9598936837115,39.704794006016584,2,9,same_scale,8192,cosine_fit_amplitude_mpl_ld_lag,2,430.0233673765291
core_wsd,45.323253431300905,21.579061590256575,4,15,direct_no_source_fit,1024,direct_mpl_ld_lag,4,241.11678846325782
extra_control,26.016570571792453,8.548625257830267,4,9,direct_no_source_fit,1024,direct_mpl_ld_lag,4,103.06736529426703
core_wsd,-9.522435013045342,-9.694009645114631,15,15,direct_no_source_fit,128,direct_mpl_ld_lag,15,-5.950968540545675
extra_control,0.2018551833293371,-0.12998300746988045,6,9,direct_no_source_fit,128,direct_mpl_ld_lag,6,6.00804969222275
core_wsd,589.2909697414892,560.4685236856909,0,15,direct_no_source_fit,16384,direct_mpl_ld_lag,0,1561.5967626640238
extra_control,314.53682733679113,156.12798007795968,0,9,direct_no_source_fit,16384,direct_mpl_ld_lag,0,1058.49924385082
core_wsd,164.24249311018013,138.25881101345274,0,15,direct_no_source_fit,2048,direct_mpl_ld_lag,0,506.6897095033094
extra_control,63.1798790768784,17.578710335935877,3,9,direct_no_source_fit,2048,direct_mpl_ld_lag,3,250.26628043397145
core_wsd,-15.094464125488456,-19.39602683175332,14,15,direct_no_source_fit,256,direct_mpl_ld_lag,14,18.573154204676754
extra_control,1.3137924680633608,-0.3422926993661535,6,9,direct_no_source_fit,256,direct_mpl_ld_lag,6,15.89845031201964
core_wsd,-0.4197472781463378,-0.35608582346495776,15,15,direct_no_source_fit,32,direct_mpl_ld_lag,15,-0.2831308011947753
extra_control,0.005041291866773416,-0.004180527875219386,5,9,direct_no_source_fit,32,direct_mpl_ld_lag,5,0.19268881158507334
core_wsd,326.7640238916881,306.2327334696597,0,15,direct_no_source_fit,4096,direct_mpl_ld_lag,0,904.2397840348503
extra_control,127.01149329541744,35.137358326433144,2,9,direct_no_source_fit,4096,direct_mpl_ld_lag,2,489.68012597098607
core_wsd,-6.586506442642701,-24.186683515554066,10,15,direct_no_source_fit,512,direct_mpl_ld_lag,10,92.63157669578237
extra_control,7.7358623702867995,4.014252595762291,4,9,direct_no_source_fit,512,direct_mpl_ld_lag,4,36.20438392416958
core_wsd,-3.112678115461663,-2.9135817744992742,15,15,direct_no_source_fit,64,direct_mpl_ld_lag,15,-2.376053469335593
extra_control,0.039787956906163956,-0.03504344425957484,5,9,direct_no_source_fit,64,direct_mpl_ld_lag,5,1.6163314239805437
core_wsd,479.5053163473923,449.47338535625863,0,15,direct_no_source_fit,8192,direct_mpl_ld_lag,0,1288.999019802362
extra_control,216.99268885709705,64.58606047365096,1,9,direct_no_source_fit,8192,direct_mpl_ld_lag,1,788.1907718882126
core_wsd,0.9772350512009617,-2.764235318477104,10,15,direct_no_source_fit,1024,warmup_mpl_ld_lag,10,27.91245724271687
extra_control,0.31831190700358425,-1.5414817666524638,6,9,direct_no_source_fit,1024,warmup_mpl_ld_lag,6,15.891255159706109
core_wsd,-0.07106256442315069,-0.15245563167279874,10,15,direct_no_source_fit,128,warmup_mpl_ld_lag,10,1.004147546362022
extra_control,-0.05450824049346961,-0.08839487476179908,6,9,direct_no_source_fit,128,warmup_mpl_ld_lag,6,0.6643044195607795
core_wsd,84.38190015237676,72.63480460997896,0,15,direct_no_source_fit,16384,warmup_mpl_ld_lag,0,269.9067206990897
extra_control,70.66671030980642,66.83409592547964,1,9,direct_no_source_fit,16384,warmup_mpl_ld_lag,1,210.94051589349095
core_wsd,7.69425454711351,2.0051370524642564,6,15,direct_no_source_fit,2048,warmup_mpl_ld_lag,6,56.24152036431902
extra_control,3.604305226504004,-2.092905224314301,5,9,direct_no_source_fit,2048,warmup_mpl_ld_lag,5,34.95516303293018
core_wsd,-0.14076051266231243,-0.5030444723935545,10,15,direct_no_source_fit,256,warmup_mpl_ld_lag,10,3.9061223163167513
extra_control,-0.17577177783512454,-0.3422926993661535,6,9,direct_no_source_fit,256,warmup_mpl_ld_lag,6,2.3271882132314348
core_wsd,-0.0006513191896166207,0.0012105287224617456,7,15,direct_no_source_fit,32,warmup_mpl_ld_lag,7,0.019680911809794033
extra_control,-0.0005161965476026727,-0.00012830809331676463,5,9,direct_no_source_fit,32,warmup_mpl_ld_lag,5,0.02130121142456254
core_wsd,23.76308073155032,19.36894139151264,2,15,direct_no_source_fit,4096,warmup_mpl_ld_lag,2,98.03405808409904
extra_control,12.611728443758649,2.898260405045461,3,9,direct_no_source_fit,4096,warmup_mpl_ld_lag,3,72.35247481284286
core_wsd,-0.14350801819798445,-1.7621045934852475,10,15,direct_no_source_fit,512,warmup_mpl_ld_lag,10,11.51824054682351
extra_control,-0.23916902384892846,-0.7683010349825325,6,9,direct_no_source_fit,512,warmup_mpl_ld_lag,6,6.582542608594588
core_wsd,-0.011228744063485063,-0.006932022962546913,8,15,direct_no_source_fit,64,warmup_mpl_ld_lag,8,0.1874538368804357
extra_control,-0.007811667413245201,-0.006454256375476586,5,9,direct_no_source_fit,64,warmup_mpl_ld_lag,5,0.1786877741028592
core_wsd,50.96306893180847,37.91573605482215,0,15,direct_no_source_fit,8192,warmup_mpl_ld_lag,0,182.4376090609662
extra_control,34.49483430617605,37.324443049659784,2,9,direct_no_source_fit,8192,warmup_mpl_ld_lag,2,135.29818061178537
