attenuation,attenuation_factor,base_mae,coefficient,cooldown_support_span,corr_mae,delta_pct,effective_tau_steps,fit_start,group,ld_component,nonharm,split,tau_rule,tau_steps,test_curve,test_label,test_scale,train_scale,variant,win
none,1.0,0.001848699219840022,1.0,0,0.0018512025496491068,0.1354103351274949,64.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,64,constant_24000.csv,Constant 24k,100,,direct_mpl_ld_lag,0
none,1.0,0.004776169698442608,1.0,0,0.004774495964076591,-0.03504344425957484,64.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,64,constant_72000.csv,Constant 72k,100,,direct_mpl_ld_lag,1
none,1.0,0.004701998914275349,1.0,4000,0.004578547415779993,-2.6255109953461364,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsd_20000_24000.csv,WSD sharp,400,,direct_mpl_ld_lag,1
none,1.0,0.0038535563963712593,1.0,4000,0.0037380017464920994,-2.9986495069326935,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdld_20000_24000.csv,WSD linear,400,,direct_mpl_ld_lag,1
none,1.0,0.008173606778800102,1.0,2,0.00796651365439779,-2.5336810297682866,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdcon_3.csv,WSD-con 3e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.006687305974578527,1.0,2,0.006528412008964468,-2.376053469335593,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdcon_9.csv,WSD-con 9e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.0025579541942073844,1.0,2,0.0024638885508636373,-3.6773779435442355,64.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,64,wsdcon_18.csv,WSD-con 18e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.007134640765897494,1.0,21840,0.007249960206584822,1.6163314239805437,64.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,64,cosine_24000.csv,Cosine 24k,400,,direct_mpl_ld_lag,0
none,1.0,0.001679822173746335,1.0,0,0.0016754256028501473,-0.2617283522566183,64.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,64,constant_24000.csv,Constant 24k,400,,direct_mpl_ld_lag,1
none,1.0,0.004118245803084534,1.0,0,0.004115314966308261,-0.07116711620462901,64.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,64,constant_72000.csv,Constant 72k,400,,direct_mpl_ld_lag,1
none,1.0,0.003408385839825258,1.0,4000,0.0031047147451738707,-8.909528114544562,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsd_20000_24000.csv,WSD sharp,25,,direct_mpl_ld_lag,1
none,1.0,0.0031360955249893426,1.0,4000,0.0028448101308291797,-9.288154389402814,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdld_20000_24000.csv,WSD linear,25,,direct_mpl_ld_lag,1
none,1.0,0.004487187642230267,1.0,2,0.003945895634205921,-12.063057112434638,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_3.csv,WSD-con 3e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.002926482771138891,1.0,2,0.0026362197970405082,-9.918492497580012,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_9.csv,WSD-con 9e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.002504818961791151,1.0,2,0.002290720125102844,-8.547477480576426,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_18.csv,WSD-con 18e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.004428106847791531,1.0,21840,0.004373368151538848,-1.2361647569543832,128.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,128,cosine_24000.csv,Cosine 24k,25,,direct_mpl_ld_lag,1
none,1.0,0.003761619732988638,1.0,0,0.003786608339121952,0.6643044195607795,128.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,128,constant_24000.csv,Constant 24k,25,,direct_mpl_ld_lag,0
none,1.0,0.0015795124507172926,1.0,0,0.0015791825852545026,-0.020884005228338776,128.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,128,constant_72000.csv,Constant 72k,25,,direct_mpl_ld_lag,1
none,1.0,0.0037480705220761528,1.0,4000,0.0033847322041603923,-9.694009645114631,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsd_20000_24000.csv,WSD sharp,100,,direct_mpl_ld_lag,1
none,1.0,0.003248313740665229,1.0,4000,0.0029053874466160915,-10.55705579655335,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdld_20000_24000.csv,WSD linear,100,,direct_mpl_ld_lag,1
none,1.0,0.0056693997340904675,1.0,2,0.005070523219482624,-10.563314331264383,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_3.csv,WSD-con 3e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.004934623402238123,1.0,2,0.0046409655159765275,-5.950968540545675,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_9.csv,WSD-con 9e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.0013816404339982303,1.0,2,0.0012769313229957383,-7.578607894347867,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_18.csv,WSD-con 18e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.0032781062167547585,1.0,21840,0.0031906205243027665,-2.6687876068457794,128.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,128,cosine_24000.csv,Cosine 24k,100,,direct_mpl_ld_lag,1
none,1.0,0.001848699219840022,1.0,0,0.0018607555620332248,0.6521527171005292,128.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,128,constant_24000.csv,Constant 24k,100,,direct_mpl_ld_lag,0
none,1.0,0.004776169698442608,1.0,0,0.004769961489426707,-0.12998300746988045,128.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,128,constant_72000.csv,Constant 72k,100,,direct_mpl_ld_lag,1
none,1.0,0.004701998914275349,1.0,4000,0.004245839330981691,-9.701397035817028,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsd_20000_24000.csv,WSD sharp,400,,direct_mpl_ld_lag,1
none,1.0,0.0038535563963712593,1.0,4000,0.003422797754530915,-11.178210399255406,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdld_20000_24000.csv,WSD linear,400,,direct_mpl_ld_lag,1
none,1.0,0.008173606778800102,1.0,2,0.007425087088507311,-9.157764871124307,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_3.csv,WSD-con 3e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.006687305974578527,1.0,2,0.0061181705231104664,-8.510683579181244,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_9.csv,WSD-con 9e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.0025579541942073844,1.0,2,0.002271007918878146,-11.217803507937807,128.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,128,wsdcon_18.csv,WSD-con 18e-5,400,,direct_mpl_ld_lag,1
none,1.0,0.007134640765897494,1.0,21840,0.007563293528474198,6.00804969222275,128.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,128,cosine_24000.csv,Cosine 24k,400,,direct_mpl_ld_lag,0
none,1.0,0.001679822173746335,1.0,0,0.0016598749349103095,-1.1874613365496334,128.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,128,constant_24000.csv,Constant 24k,400,,direct_mpl_ld_lag,1
none,1.0,0.004118245803084534,1.0,0,0.004107351829458338,-0.2645294658720099,128.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,128,constant_72000.csv,Constant 72k,400,,direct_mpl_ld_lag,1
none,1.0,0.003408385839825258,1.0,4000,0.00274729440780307,-19.39602683175332,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsd_20000_24000.csv,WSD sharp,25,,direct_mpl_ld_lag,1
none,1.0,0.0031360955249893426,1.0,4000,0.0024038844476881784,-23.347856322190708,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdld_20000_24000.csv,WSD linear,25,,direct_mpl_ld_lag,1
none,1.0,0.004487187642230267,1.0,2,0.0035310419087397067,-21.308351906035462,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdcon_3.csv,WSD-con 3e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.002926482771138891,1.0,2,0.002728457446172362,-6.766666351822181,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdcon_9.csv,WSD-con 9e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.002504818961791151,1.0,2,0.002259085767470171,-9.810417362269597,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdcon_18.csv,WSD-con 18e-5,25,,direct_mpl_ld_lag,1
none,1.0,0.004428106847791531,1.0,21840,0.0043652062469785174,-1.4204851638660032,256.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,256,cosine_24000.csv,Cosine 24k,25,,direct_mpl_ld_lag,1
none,1.0,0.003761619732988638,1.0,0,0.0038277832106219534,1.7589092553156105,256.0,,extra_control,full,0,direct_no_source_fit,fixed_grid,256,constant_24000.csv,Constant 24k,25,,direct_mpl_ld_lag,0
none,1.0,0.0015795124507172926,1.0,0,0.0015778683239347769,-0.10409077698432245,256.0,,extra_control,full,1,direct_no_source_fit,fixed_grid,256,constant_72000.csv,Constant 72k,25,,direct_mpl_ld_lag,1
none,1.0,0.0037480705220761528,1.0,4000,0.002882184137846742,-23.102190290426382,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsd_20000_24000.csv,WSD sharp,100,,direct_mpl_ld_lag,1
none,1.0,0.003248313740665229,1.0,4000,0.002382177145543288,-26.664191462754548,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdld_20000_24000.csv,WSD linear,100,,direct_mpl_ld_lag,1
none,1.0,0.0056693997340904675,1.0,2,0.004583100149899168,-19.160751316569012,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdcon_3.csv,WSD-con 3e-5,100,,direct_mpl_ld_lag,1
none,1.0,0.004934623402238123,1.0,2,0.004799233481145422,-2.743672820732257,256.0,,core_wsd,full,1,direct_no_source_fit,fixed_grid,256,wsdcon_9.csv,WSD-con 9e-5,100,,direct_mpl_ld_lag,1
