con18_center,con18_config_id,con18_gate_sign,con18_gate_tau,con18_mean_delta,con18_shrink_gate,con18_time_power,con18_width,con18_worst_delta,con9_center,con9_config_id,con9_gate_sign,con9_gate_tau,con9_mean_delta,con9_shrink_gate,con9_time_power,con9_width,con9_worst_delta,mean_delta,median_delta,nonharm,rows,wins,worst_delta
0.3,462,signed,0.001,-13.2025802023756,1,2.0,0.25,-12.266419528593541,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.81822333787126,-40.477293275340145,15,15,15,-11.759015403496864
0.2,231,signed,0.01,-13.182068737949086,0,2.0,0.25,-12.196503936287407,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.818203982195605,-40.477293275340145,15,15,15,-11.797014374541225
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,14,signed,0.03,-17.404166505745042,1,0.0,0.05,-11.546609391401152,-37.817794592699165,-40.477293275340145,15,15,15,-11.546609391401152
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,47,signed,0.003,-17.402597720992173,0,2.0,0.05,-11.804900882503366,-37.81748083574859,-40.477293275340145,15,15,15,-11.804900882503366
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.81744690140224,-40.477293275340145,15,15,15,-11.80756647979444
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.817426785214984,-40.477293275340145,15,15,15,-11.653897427837823
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,51,signed,0.01,-17.48641773980782,0,2.0,0.05,-11.80343749520516,-37.81706068025424,-40.477293275340145,15,15,15,-11.80343749520516
0.3,362,signed,0.001,-13.173451670601558,1,0.0,0.15,-12.101224065051442,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.81687055207657,-40.477293275340145,15,15,15,-11.80064391895933
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,10,signed,0.01,-17.485034476000102,1,0.0,0.05,-11.6844842337675,-37.81678402749269,-40.477293275340145,15,15,15,-11.6844842337675
0.3,362,signed,0.001,-13.173451670601558,1,0.0,0.15,-12.101224065051442,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.8164805687261,-40.477293275340145,15,15,15,-11.797014374541225
0.3,366,signed,0.003,-13.171332461221644,1,0.0,0.15,-12.10105839108293,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.81644671020059,-40.477293275340145,15,15,15,-11.80064391895933
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,14,signed,0.03,-17.404166505745042,1,0.0,0.05,-11.546609391401152,-37.81639090306532,-40.477293275340145,15,15,15,-11.546609391401152
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,47,signed,0.003,-17.402597720992173,0,2.0,0.05,-11.804900882503366,-37.816077146114736,-40.477293275340145,15,15,15,-11.804900882503366
0.3,366,signed,0.003,-13.171332461221644,1,0.0,0.15,-12.10105839108293,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.816056726850114,-40.477293275340145,15,15,15,-11.797014374541225
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.81600682429452,-40.477293275340145,15,15,15,-11.653897427837823
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,30,signed,0.01,-17.480217697204633,1,1.0,0.05,-11.80756647979444,-37.81582067173359,-40.477293275340145,15,15,15,-11.80756647979444
0.2,202,signed,0.001,-13.334903054534301,1,1.0,0.25,-12.263820039640983,0.2,43,signed,0.001,-17.39420943366902,0,2.0,0.05,-11.805047314450457,-37.815803178283964,-40.477293275340145,15,15,15,-11.805047314450457
0.3,391,signed,0.01,-13.18868682527099,0,1.0,0.15,-11.980935755867005,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.81544466245034,-40.477293275340145,15,15,15,-11.759015403496864
0.2,206,signed,0.003,-13.327884606365023,1,1.0,0.25,-12.260256251274072,0.2,43,signed,0.001,-17.39420943366902,0,2.0,0.05,-11.805047314450457,-37.81439948865011,-40.477293275340145,15,15,15,-11.805047314450457
0.2,227,signed,0.003,-13.248982258246848,0,2.0,0.25,-12.233960242099684,0.2,34,signed,0.03,-17.47301731166604,1,1.0,0.05,-11.653897427837823,-37.81438059462588,-40.477293275340145,15,15,15,-11.653897427837823
0.2,231,signed,0.01,-13.182068737949086,0,2.0,0.25,-12.196503936287407,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.81412104498596,-40.477293275340145,15,15,15,-11.759015403496864
0.2,210,signed,0.01,-13.264213211192365,1,1.0,0.25,-12.227926750152163,0.2,54,signed,0.03,-17.456304361328275,1,2.0,0.05,-11.628590455941268,-37.81408419514743,-40.477293275340145,15,15,15,-11.628590455941268
0.3,470,signed,0.01,-13.222079047033764,1,2.0,0.25,-12.658867610487102,0.2,2,signed,0.001,-17.496060948292847,1,0.0,0.05,-11.706361339257654,-37.81360867970863,-40.477293275340145,15,15,15,-11.706361339257654
0.3,470,signed,0.01,-13.222079047033764,1,2.0,0.25,-12.658867610487102,0.2,6,signed,0.003,-17.49512605499751,1,0.0,0.05,-11.704506458753283,-37.81342170104956,-40.477293275340145,15,15,15,-11.704506458753283
0.2,223,signed,0.001,-13.257113406590028,0,2.0,0.25,-12.238511252614826,0.2,54,signed,0.03,-17.456304361328275,1,2.0,0.05,-11.628590455941268,-37.812664234226965,-40.477293275340145,15,15,15,-11.628590455941268
0.3,362,signed,0.001,-13.173451670601558,1,0.0,0.15,-12.101224065051442,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.812397631516454,-40.477293275340145,15,15,15,-11.759015403496864
0.3,370,signed,0.01,-13.150213385907717,1,0.0,0.15,-12.099407343284174,0.2,23,signed,0.001,-17.560997686564807,0,1.0,0.05,-11.80064391895933,-37.81222289513781,-40.477293275340145,15,15,15,-11.80064391895933
0.3,366,signed,0.003,-13.171332461221644,1,0.0,0.15,-12.10105839108293,0.2,31,signed,0.01,-17.538633083764214,0,1.0,0.05,-11.759015403496864,-37.81197378964047,-40.477293275340145,15,15,15,-11.759015403496864
0.3,370,signed,0.01,-13.150213385907717,1,0.0,0.15,-12.099407343284174,0.2,27,signed,0.003,-17.559047769812455,0,1.0,0.05,-11.797014374541225,-37.81183291178733,-40.477293275340145,15,15,15,-11.797014374541225
