bootstrap,full_kappa,kappa,retention,scale,subset_n,tau,train_curve,train_label
26,0.008872855850635438,0.017670758732946934,0.028430802700423724,100,546,0.030898198785299612,cosine_72000.csv,Cosine
27,0.008872855850635438,0.0036349699951697713,0.026530871216116608,100,546,0.030898198785299612,cosine_72000.csv,Cosine
28,0.008872855850635438,0.0,0.02476551809590369,100,544,0.030898198785299612,cosine_72000.csv,Cosine
29,0.008872855850635438,0.0,0.03187317604394361,100,546,0.030898198785299612,cosine_72000.csv,Cosine
30,0.008872855850635438,0.004175857840727508,0.029742100878663705,100,544,0.030898198785299612,cosine_72000.csv,Cosine
31,0.008872855850635438,0.007699810957063989,0.011584984190088599,100,547,0.030898198785299612,cosine_72000.csv,Cosine
32,0.008872855850635438,0.016861605500261164,0.04533264930844676,100,546,0.030898198785299612,cosine_72000.csv,Cosine
33,0.008872855850635438,0.004103027662182851,0.02800354953172383,100,541,0.030898198785299612,cosine_72000.csv,Cosine
34,0.008872855850635438,0.02157812630698815,0.03484365889579654,100,546,0.030898198785299612,cosine_72000.csv,Cosine
35,0.008872855850635438,0.01269918907922127,0.03988902474096067,100,548,0.030898198785299612,cosine_72000.csv,Cosine
36,0.008872855850635438,0.01755933157910156,0.044732117310649876,100,549,0.030898198785299612,cosine_72000.csv,Cosine
37,0.008872855850635438,0.012089099538027098,0.004843630965527266,100,545,0.030898198785299612,cosine_72000.csv,Cosine
38,0.008872855850635438,0.012326551496642002,0.03325681439097054,100,547,0.030898198785299612,cosine_72000.csv,Cosine
39,0.008872855850635438,0.008303506916017224,0.027808926967123483,100,546,0.030898198785299612,cosine_72000.csv,Cosine
40,0.008872855850635438,0.0029642597710689642,0.03863694814691367,100,548,0.030898198785299612,cosine_72000.csv,Cosine
41,0.008872855850635438,0.015297054310861173,0.027765785125160227,100,548,0.030898198785299612,cosine_72000.csv,Cosine
42,0.008872855850635438,0.005688267223198453,0.01263901729781053,100,545,0.030898198785299612,cosine_72000.csv,Cosine
