base_mae,corr_mae,delta_pct,kappa_hat,kappa_star,kernel,n_cal,param,ridge,scale,source_dot,source_energy,target_curve,target_label,terminal_corr_error,terminal_mpl_error
0.0031360955249893426,0.004059253837325641,29.43654952409127,0.11043059617939387,0.03762242050964855,power_law_lr_time,500,255.9679919979995,0.002,25,0.00046064477054159924,0.0021713509342400406,wsdld_20000_24000.csv,WSD linear,0.02586381065063703,-0.01018362816145002
0.0031360955249893426,0.002195000691203039,-30.008487505797564,0.04738563420237344,0.03942028052365325,signed_lr_time_exp,500,9.026482506002322,0.002,25,0.0001029530307666278,0.00017266335039304185,wsdld_20000_24000.csv,WSD linear,0.0024108468051111664,-0.01018362816145002
0.004487187642230267,0.0024836553507489863,-44.6500670626171,0.0186012135954047,0.024281379919932757,lr_time_exp,500,18.05070782708191,0.002,25,3.7948123595473736e-05,4.008858888909031e-05,wsdcon_3.csv,WSD-con 3e-5,0.004216202462315799,0.003615250427559946
0.004487187642230267,0.004487187642230267,0.0,0.0,0.00017349978470051214,eta_level,500,0.0,0.002,25,0.0,4.367062046839616e-08,wsdcon_3.csv,WSD-con 3e-5,0.003615250427559946,0.003615250427559946
0.004487187642230267,0.004556098079724945,1.535715530283177,0.010031345850784253,0.006276500297308151,drop_cumsum,500,0.0,0.002,25,0.010138546783168105,1.008686595196543,wsdcon_3.csv,WSD-con 3e-5,0.012643461693265579,0.003615250427559946
0.004487187642230267,0.00448699187450708,-0.004362815616298921,2.0664370780867873e-05,0.009964773889253011,drop_impulse,500,0.0,0.002,25,4.1328742515821104e-08,4.617054937485602e-11,wsdcon_3.csv,WSD-con 3e-5,0.003615250427559946,0.003615250427559946
0.004487187642230267,0.004411110860827504,-1.6954223328389917,0.004015163463157052,0.02512905273695721,step_time_exp,500,128.0,0.002,25,8.036924595845188e-06,1.6431882765479435e-06,wsdcon_3.csv,WSD-con 3e-5,0.003615250427559946,0.003615250427559946
0.004487187642230267,0.01441234259004398,221.1887654174545,0.09472018599530144,0.021180539297234218,power_law_lr_time,500,128.0,0.002,25,0.00025333578865038674,0.0006745702195195583,wsdcon_3.csv,WSD-con 3e-5,0.018313210323302798,0.003615250427559946
0.004487187642230267,0.0025100664192644587,-44.061478605408176,0.018601213595401535,0.024099910972758314,signed_lr_time_exp,500,18.05070782708191,0.002,25,3.794812359546708e-05,4.0088588889079576e-05,wsdcon_3.csv,WSD-con 3e-5,0.004216202462315799,0.003615250427559946
0.002926482771138891,0.00230631066406806,-21.191722472689644,0.0186012135954047,0.02058761784683075,lr_time_exp,500,18.05070782708191,0.002,25,3.7948123595473736e-05,4.008858888909031e-05,wsdcon_9.csv,WSD-con 9e-5,0.004934483685784308,0.004933881393385686
