blend_mae,channel,delta_vs_first_error_pct,delta_vs_pure_pct,first_error_mae,pure_mpl_mae,scale,test_curve,test_label,variant,weight,win_vs_first_error,win_vs_pure
0.0035133889525300853,step,-0.9792519397852639,-55.68420726635787,0.003548134124773109,0.007928074250295227,100,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.25,1,1
0.0044534324660829745,step,-1.3157414364204034,-28.82135003979758,0.004512809368896204,0.0062566970131816045,100,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.25,1,1
0.001922588120129754,step,-3.1760614283095956,-28.025952327998905,0.001985653701441024,0.0026712241180200675,100,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.25,1,1
0.004406426922252782,smooth,-0.040930868687005795,-39.4426560189865,0.004408231249596974,0.007276453411883992,400,wsd_20000_24000.csv,WSD sharp,smooth_only,0.25,1,1
0.004111060838607471,smooth,-0.7937331241706591,-32.22355524164762,0.004143952764348088,0.006065618893503333,400,wsdld_20000_24000.csv,WSD linear,smooth_only,0.25,1,1
0.005956034249875157,step,1.0597143074222437,-61.270208256177604,0.005893579148420095,0.015378430871178581,400,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.25,0,1
0.006491555908682525,step,-1.013017272814154,-28.134198785835984,0.006557989474811701,0.009032886016726277,400,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.25,1,1
0.0042545009832742784,step,2.833502501022145,-12.61794419201545,0.004137271297583188,0.004868849724276598,400,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.25,0,1
0.003902458411820011,smooth,28.64628929425226,-9.315290515276542,0.0030334791879569334,0.004303325702859985,25,wsd_20000_24000.csv,WSD sharp,smooth_only,0.3,0,1
0.003983473006805143,smooth,24.137916756119115,3.1826803783987945,0.0032089091801266964,0.003860602372604268,25,wsdld_20000_24000.csv,WSD linear,smooth_only,0.3,0,0
0.004426101318090716,step,9.328859473811878,-48.48222411639165,0.004048429060170452,0.008591406057766149,25,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.3,0,1
0.004423363759414759,step,2.0766246001630684,-26.913275960790596,0.004333375811299792,0.006052212378600692,25,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.3,0,1
0.0038565889127802912,step,8.812653204587972,-6.719229202031396,0.003544246738960761,0.004134387912738256,25,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.3,0,1
0.0021487333696857303,smooth,-5.941435570338505,-50.54573950637139,0.002284463283822057,0.004344890305179187,100,wsd_20000_24000.csv,WSD sharp,smooth_only,0.3,1,1
0.0023129380854216095,smooth,-6.239403929159271,-36.06925623385134,0.0024668551420834305,0.0036178807709199698,100,wsdld_20000_24000.csv,WSD linear,smooth_only,0.3,1,1
0.0035072334420358266,step,-1.1527377855226395,-55.76184920436103,0.003548134124773109,0.007928074250295227,100,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.3,1,1
0.004443922540546423,step,-1.5264732613030851,-28.973345981370514,0.004512809368896204,0.0062566970131816045,100,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.3,1,1
0.0019114269133637246,step,-3.7381537386620756,-28.443783489777363,0.001985653701441024,0.0026712241180200675,100,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.3,1,1
0.00440790015548942,smooth,-0.007510815309064167,-39.42240943520117,0.004408231249596974,0.007276453411883992,400,wsd_20000_24000.csv,WSD sharp,smooth_only,0.3,1,1
0.00410631655216482,smooth,-0.9082201058628114,-32.30177127410776,0.004143952764348088,0.006065618893503333,400,wsdld_20000_24000.csv,WSD linear,smooth_only,0.3,1,1
0.005969506184740729,step,1.2883009527578482,-61.18260546380936,0.005893579148420095,0.015378430871178581,400,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.3,0,1
0.0064782691954567845,step,-1.2156207273755326,-28.28129145589887,0.006557989474811701,0.009032886016726277,400,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.3,1,1
0.004283898597164564,step,3.5440581251471093,-12.014154476680716,0.004137271297583188,0.004868849724276598,400,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.3,0,1
0.004052561634677013,smooth,33.59450926071583,-5.827215635021876,0.0030334791879569334,0.004303325702859985,25,wsd_20000_24000.csv,WSD sharp,smooth_only,0.35,0,1
0.004116577857954954,smooth,28.285894890687445,6.63045454168365,0.0032089091801266964,0.003860602372604268,25,wsdld_20000_24000.csv,WSD linear,smooth_only,0.35,0,0
0.004812336701944308,step,18.869236200515083,-43.986622566928666,0.004048429060170452,0.008591406057766149,25,wsdcon_3.csv,WSD-con 3e-5,smooth_only,0.35,0,1
0.004509531555581374,step,4.0650927118353275,-25.48953550397376,0.004333375811299792,0.006052212378600692,25,wsdcon_9.csv,WSD-con 9e-5,smooth_only,0.35,0,1
0.003935527502172839,step,11.039884975017532,-4.809911763545893,0.003544246738960761,0.004134387912738256,25,wsdcon_18.csv,WSD-con 18e-5,smooth_only,0.35,0,1
