baseline,mean_delta,median_delta,nonharm,rows,variant,weight,wins,worst_delta
first_error,-3.837992903351474,-2.8568254967364037,12,15,smooth_plus_step,0.5,12,11.559059817863249
pure_mpl,-36.33869826261194,-32.54408692021208,15,15,smooth_plus_step,0.55,15,-3.4610857809993067
first_error,-4.060652668755884,-3.0122603064537623,12,15,smooth_plus_step,0.55,12,13.60953441745929
pure_mpl,-36.40559040555653,-32.46537789969995,15,15,smooth_plus_step,0.6,15,-1.6690158573959724
first_error,-4.167825067382428,-3.132195508180291,12,15,smooth_plus_step,0.6,12,15.71848945710521
pure_mpl,-36.4536374599617,-32.37237636907888,14,15,smooth_plus_step,0.65,14,0.1230540662076951
first_error,-4.236499814614606,-3.238759952111814,12,15,smooth_plus_step,0.65,12,17.82744449675151
pure_mpl,-36.48161591158319,-32.27070917508408,14,15,smooth_plus_step,0.7,14,1.915123989812284
first_error,-4.274973557540232,-3.309467024375401,11,15,smooth_plus_step,0.7,11,19.93639953639892
pure_mpl,-36.48511227551635,-32.46172893328275,14,15,smooth_plus_step,0.75,14,3.7071939134155185
first_error,-4.2752484550799705,-3.3264183292068594,11,15,smooth_plus_step,0.75,11,22.04535457604473
pure_mpl,-36.47542504004773,-32.637210618945836,14,15,smooth_plus_step,0.8,14,5.499263837020951
first_error,-4.255707530052489,-3.3341723312689364,11,15,smooth_plus_step,0.8,11,24.154309615693116
pure_mpl,-36.4592962297883,-32.81269230460816,14,15,smooth_plus_step,0.85,14,7.291333760623786
first_error,-4.22558729792234,-3.3419263333308358,11,15,smooth_plus_step,0.85,11,26.263264655338435
pure_mpl,-36.4323228681955,-32.98817399027002,14,15,smooth_plus_step,0.9,14,9.083403684226354
first_error,-4.178996934351264,-3.3496803353930793,10,15,smooth_plus_step,0.9,10,28.37221969498347
pure_mpl,-36.39354045702494,-33.112122044789096,14,15,smooth_plus_step,0.95,14,10.87547360783152
first_error,-4.11543944558532,-3.357434337453813,10,15,smooth_plus_step,0.95,10,30.481174734631544
pure_mpl,-36.33065839347821,-33.39103257988639,14,15,smooth_plus_step,1.0,14,12.667543531435111
first_error,-4.013935688595731,-3.3651883395157123,10,15,smooth_plus_step,1.0,10,32.590129774277756
pure_mpl,-33.67742240460806,-29.5084918638418,15,15,step_only,0.0,15,-14.273967180468016
first_error,0.0,0.0,15,15,step_only,0.0,0,0.0
pure_mpl,-33.77556972058206,-29.74398099305854,15,15,step_only,0.05,15,-14.344224111934311
first_error,-0.1469416425917188,-0.08195518812144087,12,15,step_only,0.05,12,0.22456106277253252
pure_mpl,-33.871360871547495,-29.97947012226836,15,15,step_only,0.1,15,-14.414481043397775
first_error,-0.29001836257890695,-0.16391037623958438,12,15,step_only,0.1,12,0.45421250578752126
pure_mpl,-33.96364389509508,-30.214959251486086,15,15,step_only,0.15,15,-14.425020994110682
first_error,-0.42797619468365755,-0.2458655643612806,12,15,step_only,0.15,12,0.7068869719008886
pure_mpl,-34.05480861856345,-30.450448380694073,15,15,step_only,0.2,15,-14.210312618322607
first_error,-0.5642376755042549,-0.32782075247771436,12,15,step_only,0.2,12,0.9595614380076611
pure_mpl,-34.14369449035402,-30.685937509913373,15,15,step_only,0.25,15,-13.995604242529414
first_error,-0.6971047786163308,-0.40977594060126465,12,15,step_only,0.25,12,1.212235904120429
pure_mpl,-34.231562498192844,-30.921426639130843,15,15,step_only,0.3,15,-13.777960238431508
first_error,-0.828502849786094,-0.4917311287234938,12,15,step_only,0.3,12,1.4683650948654314
pure_mpl,-34.31752292689626,-31.15691576834061,15,15,step_only,0.35,15,-13.539062875264884
first_error,-0.9574735537103504,-0.5736863168409823,12,15,step_only,0.35,12,1.749505797788098
pure_mpl,-34.40245440119207,-31.392404897554915,15,15,step_only,0.4,15,-13.291274557645771
first_error,-1.084989586110594,-0.6556415049609687,12,15,step_only,0.4,12,2.041109609852221
pure_mpl,-34.48629381062855,-31.627894026765592,15,15,step_only,0.45,15,-13.032675583606245
first_error,-1.2109044328838767,-0.7375966930788458,12,15,step_only,0.45,12,2.3454356868455317
pure_mpl,-34.56774474124441,-31.860957440247574,15,15,step_only,0.5,15,-12.769727044032543
first_error,-1.3328470252165707,-0.8195518812021407,12,15,step_only,0.5,12,2.6548804470067244
