base_mae,corr_mae,delta_pct,method,note,projected,response_axis,response_value,scale,test_curve,test_label,win
0.0037480705220761528,0.0015635307338543844,-58.28438326746572,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,7.227208795627145,100,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0016221084146730031,-50.06306212463307,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,7.222991414077641,100,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.0040726216915784865,-28.16485196678673,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,100,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004881039589362692,-1.085874412445098,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,100,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.001295473814660953,-6.236544416113099,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,100,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.001892489118498375,-59.75139184416343,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,7.227208795627145,400,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.0017616910027314751,-54.28402178334826,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,7.222991414077641,400,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.0036406167332505446,-55.4588710739888,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,400,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.005915179967082861,-11.546144447866835,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,400,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.002393310344397601,-6.436544101635111,obs_half_life_2p5_exact,endpoints from 2.5 and 1 observed-interval half-lives,1,lr_time,18.05070782708191,400,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.002164240085198101,-36.502491592646145,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,7.2284552974545955,25,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.002074773419968444,-33.842148511228956,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,7.223478858982098,25,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.001925827099706994,-57.08164549254731,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,25,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0023405053646304817,-20.023265207208652,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,25,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.002193292470898778,-12.437086098613914,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.0015636411792666284,-58.28143654030055,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,7.2284552974545955,100,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.001622157668636889,-50.06154583132465,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,7.223478858982098,100,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.003322186323631867,-41.40144495976627,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,100,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004673263869062348,-5.296443352845004,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,100,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.001264872834214382,-8.45137395450587,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,20.0,100,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.0018924101325353989,-59.75307168213055,obs_half_life_2p5_roundfast20,slow endpoint from 2.5 observed intervals; fast endpoint rounded to 20,1,lr_time,7.2284552974545955,400,wsd_20000_24000.csv,WSD sharp,1
