base_mae,coef,corr_mae,delta_pct,denominator,group,lambda,locality,locality_factor,response_rule,scale,shrinkage,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,win
0.004118245803084534,0.05423255341454503,0.004118245803084534,0.0,0.003315901401776282,extra_control,20.0,linear,0.0,fixed_lambda_20,400,tau_free_sqrt_retention,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,constant_72000.csv,Constant 72k,0
0.003408385839825258,0.0038574239902562798,0.003343909992883404,-1.891682748721879,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0038574239902562798,0.0030861429102073627,-1.5928282280926243,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0038574239902562798,0.004048621733792796,-9.773736767992403,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0038574239902562798,0.0027911146014668983,-4.625626742347489,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0038574239902562798,0.0024608296509837945,-1.7561872326254058,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_18.csv,WSD-con 18e-5,1
0.004428106847791531,0.0038574239902562798,0.004449393906119169,0.48072594134114244,0.023413441262264873,extra_control,20.0,none,1.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,cosine_24000.csv,Cosine 24k,0
0.003761619732988638,0.0038574239902562798,0.003761619732988638,0.0,0.023413441262264873,extra_control,20.0,none,1.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_24000.csv,Constant 24k,0
0.0015795124507172926,0.0038574239902562798,0.0015795124507172926,0.0,0.023413441262264873,extra_control,20.0,none,1.0,fixed_lambda_20,25,tau_free_full_energy,9.03155700195168e-05,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_72000.csv,Constant 72k,0
0.0037480705220761528,0.005455944904481114,0.003657409112812509,-2.418882161625502,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.005455944904481114,0.0031780738808209314,-2.1623483891033524,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.005455944904481114,0.005156093472778703,-9.053978999314882,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.005455944904481114,0.004785145717872788,-3.029160934500863,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.005455944904481114,0.001327843534502186,-3.8936975331827384,0.023413441262264873,core_wsd,20.0,none,1.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,wsdcon_18.csv,WSD-con 18e-5,1
0.0032781062167547585,0.005455944904481114,0.003303203350792184,0.765598561424019,0.023413441262264873,extra_control,20.0,none,1.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,cosine_24000.csv,Cosine 24k,0
0.001848699219840022,0.005455944904481114,0.001848699219840022,0.0,0.023413441262264873,extra_control,20.0,none,1.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_24000.csv,Constant 24k,0
0.004776169698442608,0.005455944904481114,0.004776169698442608,0.0,0.023413441262264873,extra_control,20.0,none,1.0,fixed_lambda_20,100,tau_free_full_energy,0.0001277424455512219,0.15301451324062326,0.021621177072427188,0.019966108047118843,constant_72000.csv,Constant 72k,0
0.004701998914275349,0.007680428517723182,0.004573417379572037,-2.734614300163629,0.023414032104357954,core_wsd,20.0,none,1.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.007680428517723182,0.003754346377705112,-2.5745054298302095,0.023414032104357954,core_wsd,20.0,none,1.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.007680428517723182,0.007479451179064777,-8.492647352889037,0.023414032104357954,core_wsd,20.0,none,1.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.007680428517723182,0.006517384906107321,-2.54094951116568,0.023414032104357954,core_wsd,20.0,none,1.0,fixed_lambda_20,400,tau_free_full_energy,0.00017982979988919695,0.15301644390181715,0.021670229141541982,0.02005629910106474,wsdcon_9.csv,WSD-con 9e-5,1
