basis,estimator,max_kappa,mean_delta_pct,mean_kappa,name,test_curve,test_label,tests,train_curve,train_label,wins
mpl_core3,current_smooth_cap,0.03,-10.856849642925122,0.03,current_smooth_cap_mpl_core3,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
mpl_core3,current_smooth_cap,0.03,-3.3203797780201882,0.022954390434185522,current_smooth_cap_mpl_core3,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
mpl_core3,current_smooth_cap,0.03,-17.862604766287536,0.022954390434185522,current_smooth_cap_mpl_core3,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
mpl_core3,current_smooth_cap,0.03,-14.881374124483541,0.022954390434185522,current_smooth_cap_mpl_core3,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
mpl_core3,current_smooth_cap,0.03,-32.17321816163869,0.022954390434185522,current_smooth_cap_mpl_core3,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
mpl_core3,current_smooth_cap,0.03,-12.387781760797969,0.022954390434185522,current_smooth_cap_mpl_core3,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
mpl_core3,current_smooth_cap,0.03,-10.885664758517839,0.022954390434185522,current_smooth_cap_mpl_core3,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
mpl_core3,current_smooth_cap,0.028319874737456927,-2.8697578595492677,0.01995376745608221,current_smooth_cap_mpl_core3,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
mpl_core3,current_smooth_cap,0.028319874737456927,-15.431790755534943,0.01995376745608221,current_smooth_cap_mpl_core3,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
mpl_core3,current_smooth_cap,0.028319874737456927,-12.866815053331782,0.01995376745608221,current_smooth_cap_mpl_core3,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
