estimator,kappa,scale,selected_bic,selected_edf,selected_gcv,selected_lambda,selected_retention,train_curve,train_label
residual_gcv,0.00262540612476668,100,-2312.47652801401,12.462728714189002,6.2649054332918316e-09,1e-05,0.018363533163493526,wsd_20000_24000.csv,WSD sharp
residual_gcv,0.007052861988882452,400,-2137.0307133091414,12.824834877290694,1.7368319709254376e-08,3e-06,0.01865445703807079,wsd_20000_24000.csv,WSD sharp
residual_gcv,0.0009869028796446017,25,-2226.0812192371313,12.462728714189,9.666230978545798e-09,1e-05,0.01701150570214636,wsdld_20000_24000.csv,WSD linear
residual_gcv,0.0022015749631519453,100,-2324.334775435105,11.673071361800693,5.926439068109701e-09,3e-05,0.01744101938869207,wsdld_20000_24000.csv,WSD linear
residual_gcv,0.005743377506505025,400,-2151.4871278920264,12.462728714189002,1.6061449729590252e-08,1e-05,0.0173977841188464,wsdld_20000_24000.csv,WSD linear
residual_gcv,0.003578741331293958,25,-1127.9106475258861,12.462728714189003,5.354334072839162e-08,1e-05,0.06017103016741863,wsdcon_3.csv,WSD-con 3e-5
residual_gcv,0.005588513619377253,100,-1213.598641931429,12.462728714189,9.992585256461393e-08,1e-05,0.07057766412798004,wsdcon_3.csv,WSD-con 3e-5
residual_gcv,0.008838333315523556,400,-1093.3213050819384,12.462728714189,3.012348649053924e-07,1e-05,0.07057766412798004,wsdcon_3.csv,WSD-con 3e-5
residual_gcv,0.005034809183664505,25,-1195.7975459351746,12.462728714189003,2.620348723260271e-08,1e-05,0.17013242089981742,wsdcon_9.csv,WSD-con 9e-5
residual_gcv,0.007000446558700081,100,-1339.5753324803738,12.462728714189,3.145880719779164e-08,1e-05,0.20241936258045298,wsdcon_9.csv,WSD-con 9e-5
residual_gcv,0.012667188260866189,400,-1180.37105367271,11.673071361800691,1.3795980441991338e-07,3e-05,0.20695105928428273,wsdcon_9.csv,WSD-con 9e-5
residual_gcv,0.011346790061561049,25,-1197.0353522045402,12.462728714189003,2.5864282495659676e-08,1e-05,0.3135670552641128,wsdcon_18.csv,WSD-con 18e-5
residual_gcv,0.00800482433687246,100,-1428.64766411993,11.673071361800691,1.41426535014268e-08,3e-05,0.3727910562487066,wsdcon_18.csv,WSD-con 18e-5
residual_gcv,0.013925575429742657,400,-1275.5360947543538,11.673071361800691,5.762108726290247e-08,3e-05,0.3727910562487066,wsdcon_18.csv,WSD-con 18e-5
