inner_max_kappa,inner_mean,inner_mean_retention,inner_median,inner_worst,rule,selected_lambda,train_id,train_label,train_size
0.037198575984644,-11.44985863809008,0.30470780610428033,-9.718341993337948,-4.278178874591221,inner_cv_band_worst,0.01,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2
0.04808967259435133,-11.175902677740169,0.4624475476878453,-12.846902807579596,-1.3588748191597166,fixed_lam0p025,0.025,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2
0.04195785084131637,-11.719351279404817,0.428576429639645,-11.858093792236591,-4.236368245492306,inner_cv_mean,0.015,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2
0.0251634989438023,-10.542113913806475,0.3361783054200002,-10.924719414692113,-6.517811451945654,inner_cv_worst,0.003,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2
0.0251634989438023,-10.542113913806475,0.3361783054200002,-10.924719414692113,-6.517811451945654,inner_cv_safe,0.003,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2
0.04195785084131637,-11.719351279404817,0.428576429639645,-11.858093792236591,-4.236368245492306,inner_cv_band_mean,0.015,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2
0.037198575984644,-11.662192224982249,0.4032752530899107,-11.420020240257417,-6.1002293588591545,inner_cv_band_worst,0.01,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2
0.05442078924432002,-15.612954391644555,0.24991929067957605,-11.747144119090402,-7.212405972793667,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2
0.042968698713289635,-19.898446655042566,0.18332534077277837,-15.834598617337214,-6.090268848509894,inner_cv_mean,0.01,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2
0.05442078924432002,-15.612954391644555,0.24991929067957605,-11.747144119090402,-7.212405972793667,inner_cv_worst,0.025,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2
0.05442078924432002,-15.612954391644555,0.24991929067957605,-11.747144119090402,-7.212405972793667,inner_cv_safe,0.025,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2
0.042968698713289635,-19.898446655042566,0.18332534077277837,-15.834598617337214,-6.090268848509894,inner_cv_band_mean,0.01,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2
0.05442078924432002,-15.612954391644555,0.24991929067957605,-11.747144119090402,-7.212405972793667,inner_cv_band_worst,0.025,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2
0.05442078924432002,-7.754747511611789,0.3952448430299253,-8.908573033938705,5.001948118398092,fixed_lam0p025,0.025,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2
0.042968698713289635,-10.068414773379553,0.3210102038560068,-7.870783158496692,-2.1540252842217167,inner_cv_mean,0.01,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2
0.028139985438532203,-9.510817377416954,0.2370268401838188,-8.055477052661487,-5.428707992432158,inner_cv_worst,0.003,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2
0.028139985438532203,-9.510817377416954,0.2370268401838188,-8.055477052661487,-5.428707992432158,inner_cv_safe,0.003,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2
0.042968698713289635,-10.068414773379553,0.3210102038560068,-7.870783158496692,-2.1540252842217167,inner_cv_band_mean,0.01,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2
