config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
40184,8,-29.516221641250777,0.04496405807404978,0.029071035619050268,0.5882177425073724,-33.3817552129369,15,0.05,0.25,0.35,0.05,15,4.0,30.0,15,-0.9244566490274941
40310,12,-29.51421296159398,0.04496394455874902,0.02906447199740168,0.587950958855174,-33.378631829345686,15,0.05,0.25,0.35,0.05,15,4.0,30.0,15,-0.9244580097625299
40436,16,-29.514077672959033,0.04496383501837366,0.029064084170368893,0.5879060962966821,-33.37840064702351,15,0.05,0.25,0.35,0.05,15,4.0,30.0,15,-0.9244580611080799
65513,8,-29.490912949115526,0.04772470568545907,0.03476095678765765,0.6098821514750948,-31.93092113422046,15,0.07,0.25,0.75,0.05,15,7.0,30.0,15,-0.9238951524269456
65639,12,-29.4908833789986,0.04772476742393964,0.03475572022166058,0.6096882320816112,-31.929078593426063,15,0.07,0.25,0.75,0.05,15,7.0,30.0,15,-0.923895899794791
65765,16,-29.49085898987782,0.047724707288175884,0.03475540974883831,0.609655265648604,-31.928934937545293,15,0.07,0.25,0.75,0.05,15,7.0,30.0,15,-0.9238959277535153
61228,16,-29.4795345589748,0.04858839537171729,0.028200261312215612,0.54054244145749,-29.688376587563415,15,0.05,0.25,0.5,0.05,15,7.0,20.0,15,-2.2308868453658315
61102,12,-29.479483424943624,0.048588495600951256,0.028200659157831747,0.5405863275831577,-29.68866165048777,15,0.05,0.25,0.5,0.05,15,7.0,20.0,15,-2.230649174000199
60976,8,-29.478988656045143,0.04858816334897527,0.02820721790103606,0.5408520801633485,-29.69241818249352,15,0.05,0.25,0.5,0.05,15,7.0,20.0,15,-2.2283982717578255
64753,8,-29.46737947434553,0.04740205439786478,0.03047215509327028,0.5704150825901971,-31.22932953849259,15,0.04,0.25,0.2,0.05,15,7.0,30.0,15,-0.9236875799936706
64879,12,-29.46595692514506,0.047401586471791594,0.030463008673595318,0.5700763661615958,-31.222957428376542,15,0.04,0.25,0.2,0.05,15,7.0,30.0,15,-0.9236895009425483
65005,16,-29.46581018373688,0.047401390408858476,0.03046246558801289,0.5700186985176494,-31.22247994956502,15,0.04,0.25,0.2,0.05,15,7.0,30.0,15,-0.9236895739698991
10701,8,-29.44666378887951,0.036851271984110597,0.02186466017060501,0.529957914697898,-21.890387992686822,15,0.04,0.25,0.4,0.05,15,2.0,20.0,15,-5.167474996718868
10827,12,-29.443966376079025,0.036851117230762814,0.02185808567847677,0.5296368273522087,-21.89263374632342,15,0.04,0.25,0.4,0.05,15,2.0,20.0,15,-5.170568483449866
10953,16,-29.4438074608825,0.03685098644321372,0.021857690112652112,0.5295845112279992,-21.89280113293608,15,0.04,0.25,0.4,0.05,15,2.0,20.0,15,-5.1708915561599955
60216,8,-29.425283501382367,0.05064494673143603,0.02494839370276718,0.5031994960443446,-29.43789213165494,15,0.03,0.25,0.0,0.05,15,7.0,20.0,15,-2.1042589589803873
60342,12,-29.423791802877435,0.05064448341737748,0.024937488413225458,0.5027576309353261,-29.426176780961978,15,0.03,0.25,0.0,0.05,15,7.0,20.0,15,-2.1101666906979344
60468,16,-29.42376397768115,0.05064414753688338,0.02493682570367398,0.5026845255638791,-29.425308861667,15,0.03,0.25,0.0,0.05,15,7.0,20.0,15,-2.1107777168874464
40185,8,-29.415194080078944,0.04335819885711943,0.029071035619050268,0.5882177425073724,-32.18954966961787,15,0.05,0.25,0.4,0.05,15,4.0,30.0,15,-0.9237704396672819
40311,12,-29.412961636728657,0.04335808939593656,0.02906447199740168,0.587950958855174,-32.1865378354405,15,0.05,0.25,0.4,0.05,15,4.0,30.0,15,-0.9237717518047472
40437,16,-29.412804911436094,0.043357983767717455,0.029064084170368893,0.5879060962966821,-32.186314909629644,15,0.05,0.25,0.4,0.05,15,4.0,30.0,15,-0.9237718013170304
89700,8,-29.291369016000495,0.059226350680449416,0.032863276795289074,0.5702984612469639,-32.08184561685133,15,0.04,0.25,0.0,0.05,15,10.0,30.0,15,-0.37888114441299026
89826,12,-29.2905317838191,0.05922523421810402,0.03285338838685628,0.5699566472180814,-32.07453692129663,15,0.04,0.25,0.0,0.05,15,10.0,30.0,15,-0.3776719737461298
89952,16,-29.290451703947873,0.05922495501662492,0.03285280188913844,0.5698975397299304,-32.073981391340745,15,0.04,0.25,0.0,0.05,15,10.0,30.0,15,-0.377626005286813
10321,8,-29.192287087372986,0.035028848988020105,0.02034393220498368,0.5085531872366228,-22.187904648943423,15,0.03,0.25,0.2,0.05,15,2.0,20.0,15,-5.7996030229133355
10447,12,-29.187691063052565,0.03502824136567216,0.02033517923929331,0.5081257051119942,-22.188259271605382,15,0.03,0.25,0.2,0.05,15,2.0,20.0,15,-5.79687958105305
10573,16,-29.187400845241932,0.035028011920404854,0.020334652000633033,0.5080559730308664,-22.188285700162968,15,0.03,0.25,0.2,0.05,15,2.0,20.0,15,-5.796768842855881
40183,8,-29.15744244481117,0.050584565333306,0.029071035619050268,0.5882177425073724,-37.55447461455417,15,0.05,0.25,0.2,0.05,15,4.0,30.0,15,-0.6506826490393469
40309,12,-29.155423113207306,0.050584437628592646,0.02906447199740168,0.587950958855174,-37.55096080801379,15,0.05,0.25,0.2,0.05,15,4.0,30.0,15,-0.649879646583118
40435,16,-29.1553325036605,0.05058431439567037,0.029064084170368893,0.5879060962966821,-37.55070072790129,15,0.05,0.25,0.2,0.05,15,4.0,30.0,15,-0.6498493462505195
90079,8,-29.10079887719148,0.0579877386074322,0.034638539691761006,0.5855963419073762,-31.811535631831223,15,0.05,0.25,0.2,0.05,15,10.0,30.0,15,-0.6506826490393469
90205,12,-29.100579030148065,0.05798715390175198,0.034630621874121935,0.5853226484687452,-31.806979845156256,15,0.05,0.25,0.2,0.05,15,10.0,30.0,15,-0.649879646583118
90331,16,-29.100542268339314,0.05798697816119095,0.034630152578406605,0.5852753534211378,-31.806630328506657,15,0.05,0.25,0.2,0.05,15,10.0,30.0,15,-0.6498493462505195
35271,8,-29.044650536713593,0.033348127421347365,0.02220864395474713,0.5050267730742137,-20.98950954243112,15,0.03,0.25,0.4,0.05,15,4.0,20.0,15,-6.006759664914885
35397,12,-29.04375932336393,0.033347963575174285,0.022199002425559104,0.5045922690852699,-20.982303409629655,15,0.03,0.25,0.4,0.05,15,4.0,20.0,15,-6.007773072845513
35523,16,-29.04357168707935,0.03334775669628611,0.022198417559106565,0.5045212965250775,-20.981782915876114,15,0.03,0.25,0.4,0.05,15,4.0,20.0,15,-6.00781427914745
40186,8,-28.97534967248603,0.040467652266644796,0.029071035619050268,0.5882177425073724,-30.043579691643373,15,0.05,0.25,0.5,0.05,15,4.0,30.0,15,-0.9225352628197236
40312,12,-28.973262429839178,0.04046755010287411,0.02906447199740168,0.587950958855174,-30.040768646411063,15,0.05,0.25,0.5,0.05,15,4.0,30.0,15,-0.9225364874818953
40438,16,-28.973108136446463,0.04046745151653629,0.029064084170368893,0.5879060962966821,-30.040560582321042,15,0.05,0.25,0.5,0.05,15,4.0,30.0,15,-0.9225365336925639
90586,12,-28.967355802821093,0.05829045201618414,0.03743868558522352,0.6091950671500871,-32.1067171019601,15,0.07,0.25,0.5,0.05,15,10.0,30.0,15,-0.5739035244513135
90712,16,-28.967351224429713,0.058290362265907426,0.037438350294339375,0.6091612775767659,-32.10653686495557,15,0.07,0.25,0.5,0.05,15,10.0,30.0,15,-0.5738864146243583
90460,8,-28.967238120712764,0.05829062205552671,0.037444346968518574,0.609390760562394,-32.10902235269407,15,0.07,0.25,0.5,0.05,15,10.0,30.0,15,-0.5743608990341875
88564,8,-28.94113296315858,0.058894841302964525,0.02750273293578718,0.5256673236610694,-31.480483809529293,15,0.02,0.0,0.5,0.05,15,10.0,30.0,15,-0.9262562055732726
88690,12,-28.927237081995973,0.05890036155034515,0.027483044295579146,0.5249867074453972,-31.455219443863857,15,0.02,0.0,0.5,0.05,15,10.0,30.0,15,-0.9262670914092719
88816,16,-28.926288731924863,0.058899977236596374,0.027481872517970594,0.524868605557707,-31.453262325442733,15,0.02,0.0,0.5,0.05,15,10.0,30.0,15,-0.9262675868781267
10700,8,-28.897103499046306,0.03821613390944801,0.02186466017060501,0.529957914697898,-21.60905561917591,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-4.154398439846673
10826,12,-28.894719904276347,0.03821597342449478,0.02185808567847677,0.5296368273522087,-21.613047513357742,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-4.157606500160238
10952,16,-28.894590627947466,0.03821583779296238,0.021857690112652112,0.5295845112279992,-21.613345048062204,15,0.04,0.25,0.35,0.05,15,2.0,20.0,15,-4.1579415385267655
60847,16,-28.890512102322774,0.05194969180159359,0.026749157724258486,0.5236647887020268,-26.9260590614715,15,0.04,0.25,0.2,0.05,15,7.0,20.0,15,-0.6126164768090692
60721,12,-28.89040928666234,0.051949873547511606,0.026749654928173754,0.5237196356200525,-26.924894194366534,15,0.04,0.25,0.2,0.05,15,7.0,20.0,15,-0.6122395586468765
60595,8,-28.889666265528682,0.0519497363141006,0.026757846048468384,0.5240515289483985,-26.91374035557623,15,0.04,0.25,0.2,0.05,15,7.0,20.0,15,-0.608630490794726
