base_config_id,config_id,fit_start_step,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,retention_power,rho,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
35774,110,16000,12,-27.717933511659414,0.029154139658212737,0.01931532626948806,0.5258623854471114,-31.024102678528674,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.5908880175766775
35774,111,24000,12,-20.134364717012822,0.0202043853376025,0.01621201791922693,0.5258623854471114,-22.459744099364542,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-3.425287556036427
35900,112,0,16,-30.804072384998108,0.04246710180830803,0.02382930310678908,0.5258091386717108,-28.01012078521913,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.1579415385267655
35900,113,2160,16,-30.804072384998108,0.04246710180830803,0.02382930310678908,0.5258091386717108,-28.01012078521913,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.1579415385267655
35900,114,3000,16,-32.586690970683556,0.04149243415036134,0.023584230145408874,0.5258091386717108,-38.16363700544768,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.834064412635753
35900,115,5000,16,-32.579333728973396,0.03893602904642967,0.022983134844941477,0.5258091386717108,-38.58729941450279,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-6.100262541776691
35900,116,8000,16,-32.46713752602863,0.036750659715985415,0.02206846009054953,0.5258091386717108,-37.737334076196646,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-5.732887119303887
35900,117,12000,16,-30.713491814056336,0.03328632463985344,0.020753791683534643,0.5258091386717108,-34.6201709150783,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-5.1736901235168276
35900,118,16000,16,-27.71786885866119,0.029154050760502075,0.01931510800085155,0.5258091386717108,-31.02399006937816,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-4.590874255885591
35900,119,24000,16,-20.134397782643635,0.020204413551985663,0.01621188039124771,0.5258091386717108,-22.459787528909747,15,0.04,0.25,0.35,0.05,15,4.0,20.0,15,-3.425289904556428
65512,120,0,8,-30.60481237199401,0.05567882329970227,0.03476095678765765,0.6098821514750948,-36.946917902198884,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5743608990341875
65512,121,2160,8,-30.60481237199401,0.05567882329970227,0.03476095678765765,0.6098821514750948,-36.946917902198884,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5743608990341875
65512,122,3000,8,-31.521451797515468,0.05463941170699139,0.0344955300313662,0.6098821514750948,-40.77709481983802,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9253203159585
65512,123,5000,8,-31.38960611203756,0.051972068805949026,0.03385078912852088,0.6098821514750948,-41.13260532690811,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.923841558066818
65512,124,8000,8,-30.97809318175926,0.04927131157009485,0.03286310607408353,0.6098821514750948,-40.20538339491373,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9225504745227431
65512,125,12000,8,-29.45554843620771,0.04482773837908836,0.031413848862910425,0.6098821514750948,-37.59658155863477,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9207115618924955
65512,126,16000,8,-26.69823142569301,0.03942254863671322,0.029781794538258695,0.6098821514750948,-33.70937642712247,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.91868873781219
65512,127,24000,8,-19.24069523685621,0.02723053537368261,0.026067164012725963,0.6098821514750948,-23.923046659168335,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9143089877129196
65638,128,0,12,-30.603861348014718,0.05567889532792959,0.03475572022166058,0.6096882320816112,-36.94496871902804,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5739035244513135
65638,129,2160,12,-30.603861348014718,0.05567889532792959,0.03475572022166058,0.6096882320816112,-36.94496871902804,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5739035244513135
65638,130,3000,12,-31.521765655386233,0.05463912050661014,0.03449050656971011,0.6096882320816112,-40.77640158094391,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9253202437440988
65638,131,5000,12,-31.389849837534992,0.051971097634794614,0.03384622718739907,0.6096882320816112,-41.132573312241504,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9238410863967261
65638,132,8000,12,-30.978213532617023,0.04927046982188861,0.03285915855349635,0.6096882320816112,-40.205741068591635,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9225500328437053
65638,133,12000,12,-29.45560724051588,0.04482730229381832,0.031410637994553875,0.6096882320816112,-37.59699632585557,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9207111033121773
65638,134,16000,12,-26.69831350234849,0.0394223855427213,0.029779229794713598,0.6096882320816112,-33.709787169789365,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9186883196080853
65638,135,24000,12,-19.240358719643663,0.027229871292069396,0.026065582336905962,0.6096882320816112,-23.922274325015845,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9143086895554764
65764,136,0,16,-30.603807307482075,0.05567882516953851,0.03475540974883831,0.609655265648604,-36.94481674864739,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5738864146243583
65764,137,2160,16,-30.603807307482075,0.05567882516953851,0.03475540974883831,0.609655265648604,-36.94481674864739,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.5738864146243583
65764,138,3000,16,-31.521777616213303,0.05463904386482248,0.03449020892845774,0.609655265648604,-40.77635179388486,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9253202105756198
65764,139,5000,16,-31.389858914070256,0.051971030081246775,0.03384595709131939,0.609655265648604,-41.13256860656508,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9238410257543683
65764,140,8000,16,-30.978233400896038,0.049270466395564684,0.03285892472590602,0.609655265648604,-40.205856265652464,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9225499835623707
65764,141,12000,16,-29.455615103231047,0.044827281795677944,0.03141044717329802,0.609655265648604,-37.59705956337782,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9207110718833178
65764,142,16000,16,-26.698293688326032,0.03942234223024163,0.029779076429233352,0.609655265648604,-33.70974716248802,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9186882968626464
65764,143,24000,16,-19.240371589706356,0.02722988458580166,0.02606548600723874,0.609655265648604,-23.922276493127082,15,0.07,0.25,0.5,0.05,15,7.0,30.0,15,-0.9143086903921516
