base_mae,coef,corr_mae,delta_pct,fit_objective,group,lambda,localization,residualized_corr,scale,test_curve,test_label,variant,win
0.003408385839825258,0.04192488930132332,0.0020149927322159426,-40.88131957738541,0.00019525660972547775,core_wsd,7.2284552974545955,0.9037974423784441,0.012521132641154203,25,wsd_20000_24000.csv,WSD sharp,rounded_fast20_sqrtlocalized,1
0.0031360955249893426,0.041928432867079216,0.002101618704851485,-32.986138715955505,0.00019525307908984947,core_wsd,7.223478858982098,0.9037974423784441,0.012522491777237214,25,wsdld_20000_24000.csv,WSD linear,rounded_fast20_sqrtlocalized,1
0.004487187642230267,0.030435154786451212,0.0019256173522007767,-57.086319857047776,0.00020003250335340456,core_wsd,20.0,0.9999277430542068,0.008927808936397877,25,wsdcon_3.csv,WSD-con 3e-5,rounded_fast20_sqrtlocalized,1
0.002926482771138891,0.030435154786451212,0.00234047441112804,-20.02432291042655,0.00020003250335340456,core_wsd,20.0,0.9999277430542068,0.008927808936397877,25,wsdcon_9.csv,WSD-con 9e-5,rounded_fast20_sqrtlocalized,1
0.002504818961791151,0.030435154786451212,0.002193299030422514,-12.43682422245297,0.00020003250335340456,core_wsd,20.0,0.9999277430542068,0.008927808936397877,25,wsdcon_18.csv,WSD-con 18e-5,rounded_fast20_sqrtlocalized,1
0.004428106847791531,0.041930053082818906,0.004428106847791531,0.0,0.00019525146316299677,extra_control,7.221202285244404,0.0,0.012523113463991056,25,cosine_24000.csv,Cosine 24k,rounded_fast20_sqrtlocalized,0
0.003761619732988638,0.04193070708296342,0.003761619732988638,0.0,0.0001952508106050036,extra_control,7.220283130832764,0.0,0.012523364452831073,25,constant_24000.csv,Constant 24k,rounded_fast20_sqrtlocalized,0
0.0015795124507172926,0.04193070708296342,0.0015795124507172926,0.0,0.0001952508106050036,extra_control,7.220283130832764,0.0,0.012523364452831073,25,constant_72000.csv,Constant 72k,rounded_fast20_sqrtlocalized,0
0.0037480705220761528,0.05858811366379673,0.0016684715477464514,-55.484520957672856,0.00022333325796017458,core_wsd,7.2284552974545955,0.9037974423784441,0.02256933115352629,100,wsd_20000_24000.csv,WSD sharp,rounded_fast20_sqrtlocalized,1
0.003248313740665229,0.05859225603181786,0.001756862073112234,-45.9146433080555,0.0002233267693321672,core_wsd,7.223478858982098,0.9037974423784441,0.02257115723354141,100,wsdld_20000_24000.csv,WSD linear,rounded_fast20_sqrtlocalized,1
0.0056693997340904675,0.04304751774595571,0.003321841656789082,-41.4075243836727,0.00023252901193713,core_wsd,20.0,0.9999277430542068,0.016485038893276804,100,wsdcon_3.csv,WSD-con 3e-5,rounded_fast20_sqrtlocalized,1
0.004934623402238123,0.04304751774595571,0.00467316679859402,-5.298410483067828,0.00023252901193713,core_wsd,20.0,0.9999277430542068,0.016485038893276804,100,wsdcon_9.csv,WSD-con 9e-5,rounded_fast20_sqrtlocalized,1
0.0013816404339982303,0.04304751774595571,0.001264852928158223,-8.452814709688571,0.00023252901193713,core_wsd,20.0,0.9999277430542068,0.016485038893276804,100,wsdcon_18.csv,WSD-con 18e-5,rounded_fast20_sqrtlocalized,1
0.0032781062167547585,0.05859414941329983,0.0032781062167547585,0.0,0.0002233237997982665,extra_control,7.221202285244404,0.0,0.02257199213519784,100,cosine_24000.csv,Cosine 24k,rounded_fast20_sqrtlocalized,0
0.001848699219840022,0.05859491356579989,0.001848699219840022,0.0,0.00022332260065526254,extra_control,7.220283130832764,0.0,0.02257232913752262,100,constant_24000.csv,Constant 24k,rounded_fast20_sqrtlocalized,0
0.004776169698442608,0.05859491356579989,0.004776169698442608,0.0,0.00022332260065526254,extra_control,7.220283130832764,0.0,0.02257232913752262,100,constant_72000.csv,Constant 72k,rounded_fast20_sqrtlocalized,0
0.004701998914275349,0.08289225770142289,0.0019380267788197158,-58.782917347432104,0.0003021953131743991,core_wsd,7.2284552974545955,0.9037974423784441,0.0382566317150519,400,wsd_20000_24000.csv,WSD sharp,rounded_fast20_sqrtlocalized,1
0.0038535563963712593,0.08289862148646569,0.0018305252024693104,-52.497770521976975,0.00030218191033300543,core_wsd,7.223478858982098,0.9037974423784441,0.03826022394060979,400,wsdld_20000_24000.csv,WSD linear,rounded_fast20_sqrtlocalized,1
0.008173606778800102,0.06055693382186499,0.003208169064938143,-60.749652488064676,0.0003207817456711833,core_wsd,20.0,0.9999277430542068,0.027593566362048457,400,wsdcon_3.csv,WSD-con 3e-5,rounded_fast20_sqrtlocalized,1
0.006687305974578527,0.06055693382186499,0.005764198348350205,-13.803879017013298,0.0003207817456711833,core_wsd,20.0,0.9999277430542068,0.027593566362048457,400,wsdcon_9.csv,WSD-con 9e-5,rounded_fast20_sqrtlocalized,1
0.0025579541942073844,0.06055693382186499,0.0023935104640088567,-6.428720677286515,0.0003207817456711833,core_wsd,20.0,0.9999277430542068,0.027593566362048457,400,wsdcon_18.csv,WSD-con 18e-5,rounded_fast20_sqrtlocalized,1
0.007134640765897494,0.08290153067889618,0.007134640765897494,0.0,0.00030217577628120865,extra_control,7.221202285244404,0.0,0.038261866717720965,400,cosine_24000.csv,Cosine 24k,rounded_fast20_sqrtlocalized,0
0.001679822173746335,0.08290270488454092,0.001679822173746335,0.0,0.00030217329921958534,extra_control,7.220283130832764,0.0,0.03826252988048882,400,constant_24000.csv,Constant 24k,rounded_fast20_sqrtlocalized,0
0.004118245803084534,0.08290270488454092,0.004118245803084534,0.0,0.00030217329921958534,extra_control,7.220283130832764,0.0,0.03826252988048882,400,constant_72000.csv,Constant 72k,rounded_fast20_sqrtlocalized,0
0.003408385839825258,0.04192488930132332,0.002067281973314558,-39.347184548198214,0.00019525660972547775,core_wsd,7.2284552974545955,0.8168498168498168,0.012521132641154203,25,wsd_20000_24000.csv,WSD sharp,rounded_fast20_localized,1
0.0031360955249893426,0.041928432867079216,0.0021690927714827562,-30.834607740778964,0.00019525307908984947,core_wsd,7.223478858982098,0.8168498168498168,0.012522491777237214,25,wsdld_20000_24000.csv,WSD linear,rounded_fast20_localized,1
0.004487187642230267,0.030435154786451212,0.0019254076198503237,-57.09099388379181,0.00020003250335340456,core_wsd,20.0,0.9998554913294798,0.008927808936397877,25,wsdcon_3.csv,WSD-con 3e-5,rounded_fast20_localized,1
