base_mae,channel,config_id,corr_mae,delta_pct,drop_concentration,kappa,max_mode,nuisance_lambda,raw_map,response_lambda,retention_power,rho,ridge_tau,scale,shrink,smooth_fit_start,smooth_lambda,source_corr,source_dot,source_full_l2,source_l2,source_retention,step_fit_start,step_lambda,target_factor,target_retention,test_curve,test_label,train_curve,win
0.0056693997340904675,step,677,0.0029479258609483717,-48.00285745910096,1.0,0.03952788302822599,8,0.04,0.11440147204579489,20.0,0.25,0.2,0.05,100,0.8333333333333334,8000,4.0,0.4485130233741216,0.0003650173662660816,0.023369959197071296,0.0006906701875301498,0.029553760950370166,12000,20.0,1.0,0.4740862633020452,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.004934623402238123,step,677,0.00456342475950395,-7.522329719544841,1.0,0.03952788302822599,8,0.04,0.11440147204579489,20.0,0.25,0.2,0.05,100,0.8333333333333334,8000,4.0,0.4485130233741216,0.0003650173662660816,0.023369959197071296,0.0006906701875301498,0.029553760950370166,12000,20.0,1.0,0.7666790347659259,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0013816404339982303,step,677,0.0012429058772916726,-10.041292458782769,1.0,0.03952788302822599,8,0.04,0.11440147204579489,20.0,0.25,0.2,0.05,100,0.8333333333333334,8000,4.0,0.4485130233741216,0.0003650173662660816,0.023369959197071296,0.0006906701875301498,0.029553760950370166,12000,20.0,1.0,0.8763904665067679,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.004701998914275349,smooth,677,0.0018693958497603663,-60.24252910640093,0.0006394638242375368,0.04840259718328632,8,0.04,0.19445177227085186,4.0,0.25,0.2,0.05,400,0.8333333333333334,8000,4.0,0.4831120309420068,0.0014005686147815508,0.5907325451938201,0.0047026528656714875,0.007960714038750889,12000,20.0,1.0,0.24271206772449802,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0038535563963712593,smooth,677,0.001889618625629654,-50.96429294744376,0.00025006251562922964,0.04840259718328632,8,0.04,0.19445177227085186,4.0,0.25,0.2,0.05,400,0.8333333333333334,8000,4.0,0.4831120309420068,0.0014005686147815508,0.5907325451938201,0.0047026528656714875,0.007960714038750889,12000,20.0,1.0,0.29561575795189204,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
0.008173606778800102,step,677,0.0037479078353013433,-54.14621798271115,1.0,0.05232217554617711,8,0.04,0.15123950978421039,20.0,0.25,0.2,0.05,400,0.8333333333333334,8000,4.0,0.4735329638112593,0.0004830863608790692,0.023370369358279935,0.0006941809489355015,0.02970346502844461,12000,20.0,1.0,0.4740862633020452,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
0.006687305974578527,step,677,0.005810000565784362,-13.118966174558178,1.0,0.05232217554617711,8,0.04,0.15123950978421039,20.0,0.25,0.2,0.05,400,0.8333333333333334,8000,4.0,0.4735329638112593,0.0004830863608790692,0.023370369358279935,0.0006941809489355015,0.02970346502844461,12000,20.0,1.0,0.7666790347659259,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
0.0025579541942073844,step,677,0.002412320178471462,-5.693378562670048,1.0,0.05232217554617711,8,0.04,0.15123950978421039,20.0,0.25,0.2,0.05,400,0.8333333333333334,8000,4.0,0.4735329638112593,0.0004830863608790692,0.023370369358279935,0.0006941809489355015,0.02970346502844461,12000,20.0,1.0,0.8763904665067679,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
0.003408385839825258,smooth,917,0.0020023066252389736,-41.253522361141236,0.0006394638242375368,0.025746304396853856,16,0.05,0.11707710649009309,4.0,0.25,0.4,0.05,25,0.7142857142857143,3000,4.0,0.40716078713000237,0.0009141155461020374,0.5907875979544439,0.005307807807236751,0.008984291182845786,12000,20.0,1.0,0.26616097096042696,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
0.0031360955249893426,smooth,917,0.0021063805913795947,-32.83429746972541,0.00025006251562922964,0.025746304396853856,16,0.05,0.11707710649009309,4.0,0.25,0.4,0.05,25,0.7142857142857143,3000,4.0,0.40716078713000237,0.0009141155461020374,0.5907875979544439,0.005307807807236751,0.008984291182845786,12000,20.0,1.0,0.31984607541595783,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
