center,config_id,gate_sign,gate_tau,mean_delta,mean_step_curvature_coef,mean_step_gate_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_gate,time_power,width,wins,worst_delta
0.3,419,signed,0.1,-37.48897705570694,0.018718319861949384,0.0067287431132187995,0.040257567260547994,-40.477293275340145,15,15,0,2.0,0.15,15,-9.92882144519671
0.3,420,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.25,15,-10.801466736917275
0.3,421,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.25,15,-10.801466736917275
0.3,422,signed,0.001,46.21377549172848,0.02021744299976922,0.23937348163348515,0.003968276430477546,20.508722952797065,7,15,1,0.0,0.25,7,211.96176746843142
0.3,423,signed,0.001,84.89836534528065,0.02021744299976922,0.32315420020520497,0.003968276430477546,41.170681744187455,6,15,0,0.0,0.25,6,330.464339213023
0.3,424,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.25,15,-10.801466736917275
0.3,425,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.25,15,-10.801466736917275
0.3,426,signed,0.003,44.70589813718426,0.020193316226392092,0.2355571910484841,0.0043842587496400924,19.84676017630278,7,15,1,0.0,0.25,7,207.0658550368399
0.3,427,signed,0.003,82.77120648554093,0.020193316226392092,0.31800220791545364,0.0043842587496400924,40.16437600111444,6,15,0,0.0,0.25,6,323.8533592844811
0.3,428,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.25,15,-10.801466736917275
0.3,429,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.25,15,-10.801466736917275
0.3,430,signed,0.01,30.88510103257726,0.019957637867230132,0.19831214673381284,0.009806634748857531,13.785577438453833,7,15,1,0.0,0.25,7,164.09163539180187
0.3,431,signed,0.01,62.887862128684446,0.019957637867230132,0.2677213980906473,0.009806634748857531,30.702170752090918,6,15,0,0.0,0.25,6,262.72124936274327
0.3,432,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.25,15,-10.801466736917275
0.3,433,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.25,15,-10.801466736917275
0.3,434,signed,0.03,-11.16813302357109,0.01922508910770125,0.08256294373348899,0.027859978065007278,-4.66824204151065,8,15,1,0.0,0.25,8,35.00757980870719
0.3,435,signed,0.03,2.049678039860093,0.01922508910770125,0.11145997404021014,0.027859978065007278,2.0992369786768217,7,15,0,0.0,0.25,7,76.05703958409433
0.3,436,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,0.0,0.25,15,-10.801466736917275
0.3,437,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,0.0,0.25,15,-10.801466736917275
0.3,438,signed,0.1,-35.955641238044194,0.018770898708185966,0.010807707093063997,0.039051614451671185,-40.477293275340145,15,15,1,0.0,0.25,15,-5.038630656880239
0.3,439,signed,0.1,-34.50684733742873,0.018770898708185966,0.014590404575636394,0.039051614451671185,-39.6012561736422,15,15,0,0.0,0.25,15,-2.644672371277157
0.3,440,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.25,15,-10.801466736917275
0.3,441,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.25,15,-10.801466736917275
0.3,442,signed,0.001,3.59166336767868,0.019769946944238056,0.23487617135609037,0.009357741841182115,-4.731117071106317,8,15,1,1.0,0.25,8,96.81224614030621
0.3,443,signed,0.001,26.006746538404563,0.019769946944238056,0.317082831330722,0.009357741841182115,5.420009778886747,7,15,0,1.0,0.25,7,175.1732234897953
0.3,444,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.25,15,-10.801466736917275
0.3,445,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.25,15,-10.801466736917275
0.3,446,signed,0.003,2.4143425071862037,0.019741864899617274,0.22869535840643826,0.010183499347963691,-5.072387958819736,8,15,1,1.0,0.25,8,92.5357030601172
0.3,447,signed,0.003,24.23376117888951,0.019741864899617274,0.3087387338486916,0.010183499347963691,4.802490019337813,7,15,0,1.0,0.25,7,168.8325619525745
0.3,448,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.25,15,-10.801466736917275
0.3,449,nonpos,0.01,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.25,15,-10.801466736917275
0.3,450,signed,0.01,-7.593647493701256,0.019502472281971342,0.17600950410396443,0.017222340389790175,-7.788041949003799,9,15,1,1.0,0.25,9,56.091274960208935
0.3,451,signed,0.01,9.133003026796928,0.019502472281971342,0.23761283054035204,0.017222340389790175,-0.46302795724206813,8,15,0,1.0,0.25,8,114.79784765972396
0.3,452,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.25,15,-10.801466736917275
0.3,453,nonpos,0.03,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.25,15,-10.801466736917275
0.3,454,signed,0.03,-29.503928533465327,0.018966959738798198,0.05817958511992722,0.03296446310478851,-25.35541423305885,14,15,1,1.0,0.25,14,3.5923032564854074
0.3,455,signed,0.03,-24.270073044176918,0.018966959738798198,0.07854243991190175,0.03296446310478851,-13.289373069236632,13,15,0,1.0,0.25,13,10.332575870889272
0.3,456,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,1.0,0.25,15,-10.801466736917275
0.3,457,nonpos,0.1,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,1.0,0.25,15,-10.801466736917275
0.3,458,signed,0.1,-37.44634138471422,0.018733185828612452,0.006753277291959737,0.03983504686898927,-40.477293275340145,15,15,1,1.0,0.25,15,-9.131061024683563
0.3,459,signed,0.1,-37.26366955181322,0.018733185828612452,0.009116924344145644,0.03983504686898927,-40.477293275340145,15,15,0,1.0,0.25,15,-8.348848311663936
0.3,460,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.25,15,-10.801466736917275
0.3,461,nonpos,0.001,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.25,15,-10.801466736917275
0.3,462,signed,0.001,-20.621310479941908,0.019350735223031698,0.20506940405360374,0.018155605627503388,-13.88973411972022,10,15,1,2.0,0.25,10,23.42533632358257
0.3,463,signed,0.001,-9.131722050431653,0.019350735223031698,0.2768436954723651,0.018155605627503388,-10.955882815371154,9,15,0,2.0,0.25,9,70.04364952110798
0.3,464,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,1,2.0,0.25,15,-10.801466736917275
0.3,465,nonpos,0.003,-37.530973471456385,0.018702484406347673,0.0,0.040737288942212055,-40.477293275340145,15,15,0,2.0,0.25,15,-10.801466736917275
