estimator,train_curve,train_label,test_curve,test_label,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,max_kappa
smooth_weight,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0031861561985514187,-19.39533123798257,3,3,0.024664258755462243,0.03084590926016943
smooth_weight,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0028602710148468587,-16.18634670393442,3,3,0.024664258755462243,0.03084590926016943
smooth_weight,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.00486369461268602,-20.39864000031989,2,3,0.024664258755462243,0.03084590926016943
smooth_weight,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.004627247330005107,-4.582425567548309,2,3,0.024664258755462243,0.03084590926016943
smooth_weight,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0018551588470773026,-13.638743641922268,3,3,0.024664258755462243,0.03084590926016943
smooth_weight_cap_0p04,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0.006774363885652582,0.0067739651380469,-0.005886126172327533,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p04,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.00395163220211753,-0.03000955639911318,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p04,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0034118019571292408,-0.025002922676364836,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p04,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.0061047709012198165,-0.0866409342257346,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p04,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.00484787907789207,-0.03282086203476586,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p04,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0021474831331531464,-0.030478964608604553,3,3,3.813518573645362e-05,4.508917255402245e-05
smooth_weight_cap_0p04,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,0.006774363885652582,0.006374561663766564,-5.901693924838591,3,3,0.04,0.04
smooth_weight_cap_0p04,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0027226187683259393,-31.122088714313666,3,3,0.04,0.04
smooth_weight_cap_0p04,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0025172732156283632,-26.237107095446365,3,3,0.04,0.04
smooth_weight_cap_0p04,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.0061120677639297126,0.03278272241662439,1,3,0.04,0.04
smooth_weight_cap_0p04,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.005209326034081571,7.4205070856538935,1,3,0.04,0.04
smooth_weight_cap_0p04,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.001981645774490231,-7.750530898596852,2,3,0.04,0.04
smooth_weight_cap_0p04,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,0.006774363885652582,0.006378212343490783,-5.8478042934895775,3,3,0.03967867732238961,0.04
smooth_weight_cap_0p04,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0027298720621242167,-30.93859195282107,3,3,0.03967867732238961,0.04
smooth_weight_cap_0p04,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.0025244774589253676,-26.026003341004422,3,3,0.03967867732238961,0.04
smooth_weight_cap_0p04,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.006043572686043289,-1.0882377748041683,1,3,0.03967867732238961,0.04
smooth_weight_cap_0p04,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.0051876439886339295,6.9734058097111085,1,3,0.03967867732238961,0.04
smooth_weight_cap_0p04,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0019792263132124865,-7.86316153180916,2,3,0.03967867732238961,0.04
smooth_weight_cap_0p04,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,0.006774363885652582,0.006538376747535768,-3.483532064414352,3,3,0.025105906623582013,0.03645454856818947
smooth_weight_cap_0p04,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0031718551603871254,-19.757124688256578,3,3,0.025105906623582013,0.03645454856818947
smooth_weight_cap_0p04,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,0.003412655220675277,0.002850417872664504,-16.475070338325025,3,3,0.025105906623582013,0.03645454856818947
smooth_weight_cap_0p04,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,0.0061100647183736125,0.004091052636512312,-33.04403758261213,3,3,0.025105906623582013,0.03645454856818947
smooth_weight_cap_0p04,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,0.00484947071598518,0.004375476018519999,-9.774153206096603,3,3,0.025105906623582013,0.03645454856818947
smooth_weight_cap_0p04,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,0.0021481378633322556,0.0019225107019635796,-10.503383661729993,3,3,0.025105906623582013,0.03645454856818947
smooth_weight_cap_0p04,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,0.006774363885652582,0.006584987688508151,-2.7954830939257658,3,3,0.01995376745608221,0.028319874737456927
smooth_weight_cap_0p04,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,0.003952818425392253,0.0033312873888801686,-15.72374365894147,3,3,0.01995376745608221,0.028319874737456927
