adiabatic_factor,backbone_params,base_mae,base_vs_official_baseline_pct,cooldown_support_span,corr_mae,corr_vs_official_baseline_pct,delta_vs_own_baseline_pct,description,effective_tau_steps,group,nonharm_vs_own_baseline,residual_params,scale,test_curve,test_label,variant,win_vs_own_baseline
0.9998554913294798,17,0.0062579063237447425,26.81628999097354,2.0,0.005546831226119055,12.406373779268787,-11.362827451213409,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,100,wsdcon_9.csv,WSD-con 9e-5,median_beta_gamma_refit,1
0.9998554913294798,17,0.00267258477661991,93.43562267397662,2.0,0.002266145110517359,64.01844175619007,-15.20773708127553,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,100,wsdcon_18.csv,WSD-con 18e-5,median_beta_gamma_refit,1
0.0,17,0.0036013837049137503,9.861714867769855,21840.0,0.0036013837049137503,9.861714867769855,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,extra_control,1,0,100,cosine_24000.csv,Cosine 24k,median_beta_gamma_refit,0
1.0,17,0.0031572645947684865,70.78303278787025,0.0,0.0031572645947684865,70.78303278787025,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",128.0,extra_control,1,0,100,constant_24000.csv,Constant 24k,median_beta_gamma_refit,0
1.0,17,0.005550088560896255,16.203755547169997,0.0,0.005550088560896255,16.203755547169997,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",128.0,extra_control,1,0,100,constant_72000.csv,Constant 72k,median_beta_gamma_refit,0
0.8168498168498168,17,0.007332447494728413,55.94319838030965,4000.0,0.0063731164269745285,35.540576320118625,-13.083367708307303,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,core_wsd,1,0,400,wsd_20000_24000.csv,WSD sharp,median_beta_gamma_refit,1
0.8168498168498168,17,0.006113344629289996,58.64162867959293,4000.0,0.005260039707040937,36.49831911099335,-13.958069992663924,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,core_wsd,1,0,400,wsdld_20000_24000.csv,WSD linear,median_beta_gamma_refit,1
0.9998554913294798,17,0.015698203802823888,92.05968953070199,2.0,0.014611862416455533,78.76884479388396,-6.920163606061336,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,400,wsdcon_3.csv,WSD-con 3e-5,median_beta_gamma_refit,1
0.9998554913294798,17,0.00924943939901965,38.31338709759879,2.0,0.008403881921980329,25.66917012511889,-9.141715952308871,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,400,wsdcon_9.csv,WSD-con 9e-5,median_beta_gamma_refit,1
0.9998554913294798,17,0.004977747059042789,94.59875670624389,2.0,0.004494243297800532,75.69678565698992,-9.713305146027928,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",130.0,core_wsd,1,0,400,wsdcon_18.csv,WSD-con 18e-5,median_beta_gamma_refit,1
0.0,17,0.004076185558605032,-42.86768328843431,21840.0,0.004076185558605032,-42.86768328843431,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",256.0,extra_control,1,0,400,cosine_24000.csv,Cosine 24k,median_beta_gamma_refit,0
1.0,17,0.004312595222021791,156.72927107539323,0.0,0.004312595222021791,156.72927107539323,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",128.0,extra_control,1,0,400,constant_24000.csv,Constant 24k,median_beta_gamma_refit,0
1.0,17,0.005296916370178268,28.62069491361876,0.0,0.005296916370178268,28.62069491361876,0.0,"beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B,C refit per scale",128.0,extra_control,1,0,400,constant_72000.csv,Constant 72k,median_beta_gamma_refit,0
0.8168498168498168,15,0.004275612320762212,25.443905757495312,4000.0,0.003850021181447114,12.957316523897378,-9.953922558610916,"C,beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B refit per scale",256.0,core_wsd,1,0,25,wsd_20000_24000.csv,WSD sharp,median_c_beta_gamma_refit,1
0.8168498168498168,15,0.0038378838804937337,22.377773569469838,4000.0,0.003534618767340839,12.707624470490298,-7.901883501328877,"C,beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B refit per scale",256.0,core_wsd,1,0,25,wsdld_20000_24000.csv,WSD linear,median_c_beta_gamma_refit,1
0.9998554913294798,15,0.00820957505380304,82.95591155003792,2.0,0.0073382252378544205,63.53729380051292,-10.61382361739871,"C,beta,gamma shared by cosine-only cross-scale median; L0,A,alpha,B refit per scale",130.0,core_wsd,1,0,25,wsdcon_3.csv,WSD-con 3e-5,median_c_beta_gamma_refit,1
