config_id,extra_center,extra_tau,extra_time_power,extra_width,mean_delta,median_delta,nonharm,rows,shrink_gates,target_mean_delta,target_worst_delta,wins,worst_delta
1112,0.5,0.003,0.0,0.05,-37.88590431155945,-40.477293275340145,15,15,0,-17.570897378351557,-11.73636077172734,15,-11.73636077172734
1179,0.5,0.1,0.0,0.1,-37.88584202999544,-40.477293275340145,15,15,1,-17.57058597053151,-11.815436498747566,15,-11.815436498747566
1114,0.5,0.01,0.0,0.05,-37.885696266212356,-40.477293275340145,15,15,0,-17.569857151616066,-11.743114972619495,15,-11.743114972619495
1120,0.5,0.001,1.0,0.05,-37.885669599353875,-40.477293275340145,15,15,0,-17.569723817323663,-11.736210940908553,15,-11.736210940908553
318,0.15,0.1,1.0,0.15,-37.8856327717183,-40.477293275340145,15,15,0,-17.56953967914581,-11.814914352135064,15,-11.814914352135064
178,0.1,0.1,2.0,0.25,-37.88561988695528,-40.477293275340145,15,15,0,-17.5694752553307,-11.816172242439492,15,-11.816172242439492
1122,0.5,0.003,1.0,0.05,-37.88561224801687,-40.477293275340145,15,15,0,-17.569437060638634,-11.738324019488788,15,-11.738324019488788
1086,0.5,0.03,0.0,0.03,-37.885464970973324,-40.477293275340145,15,15,0,-17.568700675420956,-11.798507447806772,15,-11.798507447806772
316,0.15,0.03,1.0,0.15,-37.88538939251587,-40.477293275340145,15,15,0,-17.568322783133613,-11.808723876909866,15,-11.808723876909866
1130,0.5,0.001,2.0,0.05,-37.885352904092564,-40.477293275340145,15,15,0,-17.568140341017145,-11.73668664485401,15,-11.73668664485401
288,0.15,0.1,1.0,0.1,-37.88528459200587,-40.477293275340145,15,15,0,-17.567798780583654,-11.814931268618666,15,-11.814931268618666
1104,0.5,0.01,2.0,0.03,-37.88521845901518,-40.477293275340145,15,15,0,-17.567468115630188,-11.79891652170909,15,-11.79891652170909
1132,0.5,0.003,2.0,0.05,-37.885212204898956,-40.477293275340145,15,15,0,-17.56743684504909,-11.74295689719509,15,-11.74295689719509
1124,0.5,0.01,1.0,0.05,-37.88515298740371,-40.477293275340145,15,15,0,-17.56714075757288,-11.755255754648864,15,-11.755255754648864
349,0.15,0.1,1.0,0.25,-37.88505250522555,-40.477293275340145,15,15,1,-17.56663834668208,-11.816237533227858,15,-11.816237533227858
328,0.15,0.1,2.0,0.15,-37.8849561646804,-40.477293275340145,15,15,0,-17.566156643956372,-11.81540689959688,15,-11.81540689959688
1116,0.5,0.03,0.0,0.05,-37.884845434704694,-40.477293275340145,15,15,0,-17.56560299407775,-11.770738374138334,15,-11.770738374138334
1147,0.5,0.03,0.0,0.08,-37.88475173660459,-40.477293275340145,15,15,1,-17.565134503577255,-11.688610368546692,15,-11.688610368546692
148,0.1,0.1,2.0,0.15,-37.884688931762675,-40.477293275340145,15,15,0,-17.564820479367707,-11.815426290736164,15,-11.815426290736164
358,0.15,0.1,2.0,0.25,-37.88467786714212,-40.477293275340145,15,15,0,-17.564765156264937,-11.799885023297186,15,-11.799885023297186
138,0.1,0.1,1.0,0.15,-37.88457190414065,-40.477293275340145,15,15,0,-17.564235341257568,-11.813889130947164,15,-11.813889130947164
