center,config_id,gate_sign,gate_tau,mean_delta,median_delta,nonharm,rows,shrink_gate,target,time_power,width,wins,worst_delta
0.2,21,nonpos,0.001,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,24,nonpos,0.003,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,25,nonpos,0.003,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,28,nonpos,0.01,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,29,nonpos,0.01,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,32,nonpos,0.03,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,33,nonpos,0.03,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,36,nonpos,0.1,-17.005577021276896,-18.77624854971779,3,3,1,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,37,nonpos,0.1,-17.005577021276896,-18.77624854971779,3,3,0,wsdcon_9.csv,1.0,0.05,3,-10.801466736917275
0.2,202,signed,0.001,-13.334903054534301,-13.682136577227766,3,3,1,wsdcon_18.csv,1.0,0.25,3,-12.263820039640983
0.2,206,signed,0.003,-13.327884606365023,-13.680976759873896,3,3,1,wsdcon_18.csv,1.0,0.25,3,-12.260256251274072
0.2,210,signed,0.01,-13.264213211192365,-13.670448146699476,3,3,1,wsdcon_18.csv,1.0,0.25,3,-12.227926750152163
0.2,223,signed,0.001,-13.257113406590028,-13.534166779987267,3,3,0,wsdcon_18.csv,2.0,0.25,3,-12.238511252614826
0.2,227,signed,0.003,-13.248982258246848,-13.53685421452031,3,3,0,wsdcon_18.csv,2.0,0.25,3,-12.233960242099684
0.3,470,signed,0.01,-13.222079047033764,-12.982742717349382,3,3,1,wsdcon_18.csv,2.0,0.25,3,-12.658867610487102
0.3,466,signed,0.003,-13.205560366564294,-13.396220624995747,3,3,1,wsdcon_18.csv,2.0,0.25,3,-12.314812459538926
