base_mae,corr_mae,delta_pct,dot_s,full_l2_s,group,kappa_pool,kappa_safe,kappa_transfer,l2_s,pooled_retention,raw_map,rho,scale,selected_lambda,shrink,target_factor,target_retention,tau,test_curve,test_label,train_id,train_label,train_size,win
0.00744534704076948,0.007321394970041959,-1.664825965113248,0.006808474100701292,0.9438286145394619,main_matrix,0.016364874874118,0.010909916582745333,0.010909916582745333,0.18275380788436982,0.19363028951346634,0.03718998829191451,0.5,25,0.025,0.6666666666666666,1.0,0.0193948960046347,0.0178594561824556,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,1,1
0.0031360955249893426,0.002891488782643552,-7.799722310646828,0.006808474100701292,0.9438286145394619,main_matrix,0.016364874874118,0.010909916582745333,0.010909916582745333,0.18275380788436982,0.19363028951346634,0.03718998829191451,0.5,25,0.025,0.6666666666666666,1.0,0.24367405422491062,0.0178594561824556,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1,1
0.004487187642230267,0.0030257902115823107,-32.56822640743409,0.006808474100701292,0.9438286145394619,main_matrix,0.016364874874118,0.010909916582745333,0.010909916582745333,0.18275380788436982,0.19363028951346634,0.03718998829191451,0.5,25,0.025,0.6666666666666666,1.0,0.24303548473632608,0.0178594561824556,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,1,1
0.002926482771138891,0.0023629057529433294,-19.25782798906538,0.006808474100701292,0.9438286145394619,main_matrix,0.016364874874118,0.010909916582745333,0.010909916582745333,0.18275380788436982,0.19363028951346634,0.03718998829191451,0.5,25,0.025,0.6666666666666666,1.0,0.520084044338764,0.0178594561824556,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,1,1
0.002504818961791151,0.00228159517537129,-8.911773258864086,0.006808474100701292,0.9438286145394619,main_matrix,0.016364874874118,0.010909916582745333,0.010909916582745333,0.18275380788436982,0.19363028951346634,0.03718998829191451,0.5,25,0.025,0.6666666666666666,1.0,0.7093385120550632,0.0178594561824556,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1,1
0.004428106847791531,0.004428106847791531,0.0,0.006808474100701292,0.9438286145394619,extra_holdout,0.016364874874118,0.0,0.010909916582745333,0.18275380788436982,0.19363028951346634,0.03718998829191451,0.5,25,0.025,0.6666666666666666,0.0,0.005450424819241895,0.0178594561824556,cosine_24000.csv,Cosine 24k,wsd_20000_24000.csv,WSD sharp,1,0
0.003761619732988638,0.003761619732988638,0.0,0.006808474100701292,0.9438286145394619,extra_holdout,0.016364874874118,0.0,0.010909916582745333,0.18275380788436982,0.19363028951346634,0.03718998829191451,0.5,25,0.025,0.6666666666666666,0.0,0.0,0.0178594561824556,constant_24000.csv,Constant 24k,wsd_20000_24000.csv,WSD sharp,1,0
0.0015795124507172926,0.0015795124507172926,0.0,0.006808474100701292,0.9438286145394619,extra_holdout,0.016364874874118,0.0,0.010909916582745333,0.18275380788436982,0.19363028951346634,0.03718998829191451,0.5,25,0.025,0.6666666666666666,0.0,0.0,0.0178594561824556,constant_72000.csv,Constant 72k,wsd_20000_24000.csv,WSD sharp,1,0
0.007265129575917493,0.007058879654317847,-2.838902175720648,0.01139005230496033,0.9438286145394619,main_matrix,0.027239408839724536,0.01815960589314969,0.01815960589314969,0.18461354364959764,0.19560070632069068,0.061590321167960954,0.5,100,0.025,0.6666666666666666,1.0,0.0193948960046347,0.0178594561824556,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,1,1
0.003248313740665229,0.002843545691329913,-12.460866826626871,0.01139005230496033,0.9438286145394619,main_matrix,0.027239408839724536,0.01815960589314969,0.01815960589314969,0.18461354364959764,0.19560070632069068,0.061590321167960954,0.5,100,0.025,0.6666666666666666,1.0,0.2460170141173665,0.0178594561824556,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1,1
