adiabatic_factor,amplitude_scale,base_mae,corr_mae,delta_pct,effective_tau_steps,fitted_residual_params,group,nonharm,scale,test_curve,test_label,uses_target_loss,win
0.9998554913294798,1.25,0.002504818961791151,0.002303044390378171,-8.055455284029566,130.0,0,core_wsd,1,25,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,1.25,0.004428106847791531,0.004428106847791531,0.0,256.0,0,extra_control,1,25,cosine_24000.csv,Cosine 24k,0,0
0.0,1.25,0.003761619732988638,0.003761619732988638,0.0,128.0,0,extra_control,1,25,constant_24000.csv,Constant 24k,0,0
0.0,1.25,0.0015795124507172926,0.0015795124507172926,0.0,128.0,0,extra_control,1,25,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,1.25,0.0037480705220761528,0.0028295642631035144,-24.506109305111313,256.0,0,core_wsd,1,100,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,1.25,0.003248313740665229,0.002320329876203072,-28.568172244104517,256.0,0,core_wsd,1,100,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,1.25,0.0056693997340904675,0.0050049034448321,-11.720752115302592,130.0,0,core_wsd,1,100,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,1.25,0.004934623402238123,0.004643330541166344,-5.9030413737279686,130.0,0,core_wsd,1,100,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,1.25,0.0013816404339982303,0.0012996651037996644,-5.933188417289104,130.0,0,core_wsd,1,100,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,1.25,0.0032781062167547585,0.0032781062167547585,0.0,256.0,0,extra_control,1,100,cosine_24000.csv,Cosine 24k,0,0
0.0,1.25,0.001848699219840022,0.001848699219840022,0.0,128.0,0,extra_control,1,100,constant_24000.csv,Constant 24k,0,0
0.0,1.25,0.004776169698442608,0.004776169698442608,0.0,128.0,0,extra_control,1,100,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,1.25,0.004701998914275349,0.003627064096748251,-22.86123066221001,256.0,0,core_wsd,1,400,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,1.25,0.0038535563963712593,0.0028196068218014443,-26.83104821155451,256.0,0,core_wsd,1,400,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,1.25,0.008173606778800102,0.007255509648295082,-11.23246022657085,130.0,0,core_wsd,1,400,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,1.25,0.006687305974578527,0.006075129128147897,-9.154311897164435,130.0,0,core_wsd,1,400,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,1.25,0.0025579541942073844,0.002317467118694883,-9.401539560680817,130.0,0,core_wsd,1,400,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,1.25,0.007134640765897494,0.007134640765897494,0.0,256.0,0,extra_control,1,400,cosine_24000.csv,Cosine 24k,0,0
0.0,1.25,0.001679822173746335,0.001679822173746335,0.0,128.0,0,extra_control,1,400,constant_24000.csv,Constant 24k,0,0
0.0,1.25,0.004118245803084534,0.004118245803084534,0.0,128.0,0,extra_control,1,400,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,1.5,0.003408385839825258,0.0027165007409808064,-20.299494580693455,256.0,0,core_wsd,1,25,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,1.5,0.0031360955249893426,0.002293403313655585,-26.87074435771919,256.0,0,core_wsd,1,25,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,1.5,0.004487187642230267,0.00391062046525666,-12.849188020294966,130.0,0,core_wsd,1,25,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,1.5,0.002926482771138891,0.0027375260138557955,-6.456786937090342,130.0,0,core_wsd,1,25,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,1.5,0.002504818961791151,0.0023292964436593066,-7.007393380890536,130.0,0,core_wsd,1,25,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,1.5,0.004428106847791531,0.004428106847791531,0.0,256.0,0,extra_control,1,25,cosine_24000.csv,Cosine 24k,0,0
0.0,1.5,0.003761619732988638,0.003761619732988638,0.0,128.0,0,extra_control,1,25,constant_24000.csv,Constant 24k,0,0
0.0,1.5,0.0015795124507172926,0.0015795124507172926,0.0,128.0,0,extra_control,1,25,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,1.5,0.0037480705220761528,0.0027448129338219617,-26.767308201513263,256.0,0,core_wsd,1,100,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,1.5,0.003248313740665229,0.002153233688088763,-33.7122624230319,256.0,0,core_wsd,1,100,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,1.5,0.0056693997340904675,0.004991846307515379,-11.951061106185822,130.0,0,core_wsd,1,100,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,1.5,0.004934623402238123,0.004700945751738276,-4.735470803990061,130.0,0,core_wsd,1,100,wsdcon_9.csv,WSD-con 9e-5,0,1
0.9998554913294798,1.5,0.0013816404339982303,0.001334232629840976,-3.4312693078954237,130.0,0,core_wsd,1,100,wsdcon_18.csv,WSD-con 18e-5,0,1
0.0,1.5,0.0032781062167547585,0.0032781062167547585,0.0,256.0,0,extra_control,1,100,cosine_24000.csv,Cosine 24k,0,0
0.0,1.5,0.001848699219840022,0.001848699219840022,0.0,128.0,0,extra_control,1,100,constant_24000.csv,Constant 24k,0,0
0.0,1.5,0.004776169698442608,0.004776169698442608,0.0,128.0,0,extra_control,1,100,constant_72000.csv,Constant 72k,0,0
0.8168498168498168,1.5,0.004701998914275349,0.0035256875063926934,-25.01726243090686,256.0,0,core_wsd,1,400,wsd_20000_24000.csv,WSD sharp,0,1
0.8168498168498168,1.5,0.0038535563963712593,0.002683616407669084,-30.36000692253683,256.0,0,core_wsd,1,400,wsdld_20000_24000.csv,WSD linear,0,1
0.9998554913294798,1.5,0.008173606778800102,0.0070797521981596214,-13.382764919369661,130.0,0,core_wsd,1,400,wsdcon_3.csv,WSD-con 3e-5,0,1
0.9998554913294798,1.5,0.006687305974578527,0.006083764566586101,-9.025180099232188,130.0,0,core_wsd,1,400,wsdcon_9.csv,WSD-con 9e-5,0,1
