config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,wins,worst_delta
26,4.0,signed_d2_lr,0.2,-26.76073353286694,9.074316148921187e-06,0.03914517511539438,-29.5084918638418,15,15,0,0,15,-8.895516309741557
27,4.0,signed_d2_lr,0.2,-26.762164425625034,-1.507124796193393e-05,0.03914517667773307,-29.5084918638418,15,15,0,1,15,-8.895516309741557
28,4.0,signed_d2_lr,0.5,-26.76127966857231,8.296530978124967e-07,0.03914517561368361,-29.5084918638418,15,15,1,0,15,-8.898000248587778
29,4.0,signed_d2_lr,0.5,-26.761410530765076,-1.377944844698189e-06,0.0391451758636582,-29.5084918638418,15,15,1,1,15,-8.898000248587778
30,4.0,signed_d2_lr,0.5,-26.761238466527466,1.4518929211718694e-06,0.03914517561368361,-29.5084918638418,15,15,0,0,15,-8.897812812291416
31,4.0,signed_d2_lr,0.5,-26.76146740973415,-2.4114034782218308e-06,0.0391451758636582,-29.5084918638418,15,15,0,1,15,-8.897812812291416
32,4.0,diff_drop,0.001,-28.036283151140257,0.06693123241550997,0.0391414702763819,-29.5084918638418,15,15,1,0,15,-7.69419157862713
33,4.0,diff_drop,0.001,-28.036283151140257,0.06693123241550997,0.0391414702763819,-29.5084918638418,15,15,1,1,15,-7.69419157862713
34,4.0,diff_drop,0.001,-26.748805337917965,0.11712965672714246,0.0391414702763819,-29.5084918638418,15,15,0,0,15,-2.686617798219282
35,4.0,diff_drop,0.001,-26.748805337917965,0.11712965672714246,0.0391414702763819,-29.5084918638418,15,15,0,1,15,-2.686617798219282
36,4.0,diff_drop,0.003,-27.174565412818176,0.007437179159895198,0.039144763973114005,-29.5084918638418,15,15,1,0,15,-9.423719697142307
37,4.0,diff_drop,0.003,-27.174565412818176,0.007437179159895198,0.039144763973114005,-29.5084918638418,15,15,1,1,15,-9.423719697142307
38,4.0,diff_drop,0.003,-27.48459321832463,0.013015063529816597,0.039144763973114005,-29.5084918638418,15,15,0,0,15,-9.817881210750945
39,4.0,diff_drop,0.003,-27.48459321832463,0.013015063529816597,0.039144763973114005,-29.5084918638418,15,15,0,1,15,-9.817881210750945
40,4.0,diff_drop,0.01,-26.798525627353488,0.0006693499693836004,0.03914513865218978,-29.5084918638418,15,15,1,0,15,-8.945542764883285
41,4.0,diff_drop,0.01,-26.798525627353488,0.0006693499693836004,0.03914513865218978,-29.5084918638418,15,15,1,1,15,-8.945542764883285
42,4.0,diff_drop,0.01,-26.82642829014655,0.0011713624464213008,0.03914513865218978,-29.5084918638418,15,15,0,0,15,-8.981017504952082
43,4.0,diff_drop,0.01,-26.82642829014655,0.0011713624464213008,0.03914513865218978,-29.5084918638418,15,15,0,1,15,-8.981017504952082
44,4.0,diff_drop,0.03,-26.76546697806126,7.437225637856426e-05,0.03914517159121547,-29.5084918638418,15,15,1,0,15,-8.903504969584997
