mode,tau,scale,train,test,kappa,delta_pct,win,corr_mae
probe_to_wsd,768,400,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsdld_20000_24000.csv,0.049022137788073655,-32.12335182149128,1,0.0026156649175253384
probe3_to_wsd,768,25,wsdcon_3.csv,wsd_20000_24000.csv,0.03165334714374301,-25.606119382356862,1,0.0025356304926682557
probe3_to_wsd,768,25,wsdcon_3.csv,wsdld_20000_24000.csv,0.03165334714374301,-25.64912175211601,1,0.002331714565522164
probe3_to_wsd,768,100,wsdcon_3.csv,wsd_20000_24000.csv,0.04235713444899931,-32.44358147141896,1,0.0025320622086401384
probe3_to_wsd,768,100,wsdcon_3.csv,wsdld_20000_24000.csv,0.04235713444899931,-33.01814739420148,1,0.002175780721946284
probe3_to_wsd,768,400,wsdcon_3.csv,wsd_20000_24000.csv,0.06306766186994972,-35.70648203240171,1,0.003023080516785898
probe3_to_wsd,768,400,wsdcon_3.csv,wsdld_20000_24000.csv,0.06306766186994972,-38.70438721099154,1,0.0023620610073257953
probe9_to_wsd,768,25,wsdcon_9.csv,wsd_20000_24000.csv,0.01918508385569298,-16.3505234596975,1,0.0028510969134876215
probe9_to_wsd,768,25,wsdcon_9.csv,wsdld_20000_24000.csv,0.01918508385569298,-15.581372408244187,1,0.0026474488021624725
probe9_to_wsd,768,100,wsdcon_9.csv,wsd_20000_24000.csv,0.020392632987393817,-15.712130299670113,1,0.003159168797924022
probe9_to_wsd,768,100,wsdcon_9.csv,wsdld_20000_24000.csv,0.020392632987393817,-15.896423837272533,1,0.0027319480208847224
probe9_to_wsd,768,400,wsdcon_9.csv,wsd_20000_24000.csv,0.034890066134226363,-21.425968437983624,1,0.00369455011094838
probe9_to_wsd,768,400,wsdcon_9.csv,wsdld_20000_24000.csv,0.034890066134226363,-22.933270776349868,1,0.0029698098734720884
self_fit,1024,25,cosine_72000.csv,cosine_72000.csv,0.5217620665597293,-85.61124985408975,1,0.0010712923831922429
self_fit,1024,25,wsd_20000_24000.csv,wsd_20000_24000.csv,0.037592292094413525,-30.722166780511085,1,0.0023612558575908187
self_fit,1024,25,wsdld_20000_24000.csv,wsdld_20000_24000.csv,0.03820768044080277,-34.116868825036825,1,0.0020661579285008785
self_fit,1024,25,wsdcon_3.csv,wsdcon_3.csv,0.03002340368515867,-43.42290797327539,1,0.0025387202817564324
self_fit,1024,25,wsdcon_9.csv,wsdcon_9.csv,0.01687392772472973,-25.88875603815123,1,0.0021688527860202157
self_fit,1024,25,wsdcon_18.csv,wsdcon_18.csv,0.026415673566957617,-33.624681202389674,1,0.0016625815711918696
self_fit,1024,100,cosine_72000.csv,cosine_72000.csv,0.5539993714799405,-86.42140834299884,1,0.000986502278465856
self_fit,1024,100,wsd_20000_24000.csv,wsd_20000_24000.csv,0.059246686288329756,-43.58125572484178,1,0.002114614323102732
self_fit,1024,100,wsdld_20000_24000.csv,wsdld_20000_24000.csv,0.05845363343076171,-48.256264238774904,1,0.0016807988786653825
self_fit,1024,100,wsdcon_3.csv,wsdcon_3.csv,0.0401211785411729,-38.2476089973873,1,0.00350098989129663
self_fit,1024,100,wsdcon_9.csv,wsdcon_9.csv,0.016631760126325456,-6.3934279641577945,1,0.004619131809713556
self_fit,1024,100,wsdcon_18.csv,wsdcon_18.csv,0.012260036404684286,-3.7414839670569244,1,0.0013299465786778108
self_fit,1024,400,cosine_72000.csv,cosine_72000.csv,0.3653683575823281,-42.94828405585278,1,0.003202093189813766
self_fit,1024,400,wsd_20000_24000.csv,wsd_20000_24000.csv,0.07893474199196372,-43.652238743688585,1,0.0026494711224902285
self_fit,1024,400,wsdld_20000_24000.csv,wsdld_20000_24000.csv,0.0748392774677401,-45.79680696764854,1,0.0020887506121356402
self_fit,1024,400,wsdcon_3.csv,wsdcon_3.csv,0.06074939798590149,-39.70774956058231,1,0.004928051469007379
self_fit,1024,400,wsdcon_9.csv,wsdcon_9.csv,0.029972285972073538,-9.127746339672216,1,0.006076905648261254
self_fit,1024,400,wsdcon_18.csv,wsdcon_18.csv,0.0169524253951846,-1.6655861714844233,1,0.0025153492628757603
probe_to_wsd,1024,25,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsd_20000_24000.csv,0.025214855712883084,-27.07368283927313,1,0.002485610267612272
probe_to_wsd,1024,25,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsdld_20000_24000.csv,0.025214855712883084,-25.261553891093,1,0.002343869063868004
probe_to_wsd,1024,100,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsd_20000_24000.csv,0.02918446774315001,-28.504734614914163,1,0.0026796929665785178
probe_to_wsd,1024,100,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsdld_20000_24000.csv,0.02918446774315001,-28.06334761236964,1,0.0023367281640819786
probe_to_wsd,1024,400,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsd_20000_24000.csv,0.04562042503981218,-35.45084018263148,1,0.003035100793786527
probe_to_wsd,1024,400,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsdld_20000_24000.csv,0.04562042503981218,-36.84829646753548,1,0.002433586510892701
probe3_to_wsd,1024,25,wsdcon_3.csv,wsd_20000_24000.csv,0.03002340368515867,-30.15594343018354,1,0.002380554934085167
probe3_to_wsd,1024,25,wsdcon_3.csv,wsdld_20000_24000.csv,0.03002340368515867,-29.937020154999004,1,0.002197241975593261
probe3_to_wsd,1024,100,wsdcon_3.csv,wsd_20000_24000.csv,0.0401211785411729,-38.91220601837331,1,0.0022896135988119603
probe3_to_wsd,1024,100,wsdcon_3.csv,wsdld_20000_24000.csv,0.0401211785411729,-38.57992511386998,1,0.001995116732053035
probe3_to_wsd,1024,400,wsdcon_3.csv,wsd_20000_24000.csv,0.06074939798590149,-42.54323926293382,1,0.0027016162660346366
probe3_to_wsd,1024,400,wsdcon_3.csv,wsdld_20000_24000.csv,0.06074939798590149,-44.34583679834304,1,0.0021446645659043513
probe9_to_wsd,1024,25,wsdcon_9.csv,wsd_20000_24000.csv,0.01687392772472973,-18.230039086698792,1,0.0027870357689996064
probe9_to_wsd,1024,25,wsdcon_9.csv,wsdld_20000_24000.csv,0.01687392772472973,-16.90517841650292,1,0.00260593298117793
probe9_to_wsd,1024,100,wsdcon_9.csv,wsd_20000_24000.csv,0.016631760126325456,-16.244391117637957,1,0.0031392192871052076
probe9_to_wsd,1024,100,wsdcon_9.csv,wsdld_20000_24000.csv,0.016631760126325456,-15.99285174355025,1,0.0027288157399552675
probe9_to_wsd,1024,400,wsdcon_9.csv,wsd_20000_24000.csv,0.029972285972073538,-23.416085138539945,1,0.0036009748452954095
probe9_to_wsd,1024,400,wsdcon_9.csv,wsdld_20000_24000.csv,0.029972285972073538,-24.359157420556908,1,0.0029148625274892444
self_fit,1280,25,cosine_72000.csv,cosine_72000.csv,0.4172731168161514,-85.1215677482421,1,0.0011077509153691488
self_fit,1280,25,wsd_20000_24000.csv,wsd_20000_24000.csv,0.0326250710587271,-33.23776696269128,1,0.0022755144971947703
self_fit,1280,25,wsdld_20000_24000.csv,wsdld_20000_24000.csv,0.03277813632897431,-34.84102734318636,1,0.0020434476256193618
self_fit,1280,25,wsdcon_3.csv,wsdcon_3.csv,0.028160286179767104,-50.702227475323944,1,0.002212083556622052
self_fit,1280,25,wsdcon_9.csv,wsdcon_9.csv,0.014793303390103589,-22.26796217291668,1,0.002274814694664759
self_fit,1280,25,wsdcon_18.csv,wsdcon_18.csv,0.024536065185434396,-37.11197199801972,1,0.0015752312500901307
self_fit,1280,100,cosine_72000.csv,cosine_72000.csv,0.44383054086559753,-86.88798773415289,1,0.0009526046811239876
self_fit,1280,100,wsd_20000_24000.csv,wsd_20000_24000.csv,0.05145058762275973,-47.07054226179205,1,0.0019838334029805274
self_fit,1280,100,wsdld_20000_24000.csv,wsdld_20000_24000.csv,0.05021467295402676,-49.58485115768725,1,0.0016376422072216722
self_fit,1280,100,wsdcon_3.csv,wsdcon_3.csv,0.03744645231047518,-43.29248993582217,1,0.003214975424787823
self_fit,1280,100,wsdcon_9.csv,wsdcon_9.csv,0.013239759785258237,-4.269985536852583,1,0.004723915696664412
self_fit,1280,100,wsdcon_18.csv,wsdcon_18.csv,0.010013691745480557,0.004763664035500881,0,0.0013817062507066847
self_fit,1280,400,cosine_72000.csv,cosine_72000.csv,0.2933852757062647,-43.24089356061213,1,0.0031856701447403805
self_fit,1280,400,wsd_20000_24000.csv,wsd_20000_24000.csv,0.06878016717922436,-47.55266207996005,1,0.0024660732595666018
self_fit,1280,400,wsdld_20000_24000.csv,wsdld_20000_24000.csv,0.06450441718449745,-47.8030121035307,1,0.002011440365797525
self_fit,1280,400,wsdcon_3.csv,wsdcon_3.csv,0.057598364814644615,-47.7211255070857,1,0.004273069629433241
self_fit,1280,400,wsdcon_9.csv,wsdcon_9.csv,0.025323131145128505,-6.242940416969677,1,0.006269821447085136
self_fit,1280,400,wsdcon_18.csv,wsdcon_18.csv,0.013474146377489145,0.43390006449610663,0,0.0025690531591058313
probe_to_wsd,1280,25,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsd_20000_24000.csv,0.023276932120843575,-29.677901548570308,1,0.0023968484458865066
probe_to_wsd,1280,25,wsdcon_3.csv+wsdcon_9.csv+wsdcon_18.csv,wsdld_20000_24000.csv,0.023276932120843575,-26.987797689454286,1,0.0022897324093571897
