basis_dim,coef,denominator,fit_start,lambda,lambda_rule,locality,locality_factor,n_cal,projection,q_rule,ridge,role,source_dot,source_full_norm,source_perp_norm,source_retention,test_curve,test_label,test_scale,train_scale,variant
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_3.csv,WSD-con 3e-5,100,100,current_with_mplld_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_9.csv,WSD-con 9e-5,100,100,current_with_mplld_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_18.csv,WSD-con 18e-5,100,100,current_with_mplld_projection
4,0.08196190486713748,0.002147183289787389,8000,9.02560883338251,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017598723252986126,0.3418487165194955,0.01213191204169355,0.0012594780368771032,cosine_24000.csv,Cosine 24k,100,100,current_with_mplld_projection
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_24000.csv,Constant 24k,100,100,current_with_mplld_projection
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_72000.csv,Constant 72k,100,100,current_with_mplld_projection
4,0.08194692666912794,0.0021471348197195125,8000,9.026941864314445,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00017595109962028612,0.3417978531056059,0.012129914250295117,0.001259438022214419,wsd_20000_24000.csv,WSD sharp,400,100,current_with_mplld_projection
4,0.08195208763827826,0.002147151519614495,8000,9.026482506002322,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00017596354950810943,0.34181537879017754,0.012130602607228346,0.0012594518091337912,wsdld_20000_24000.csv,WSD linear,400,100,current_with_mplld_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_3.csv,WSD-con 3e-5,400,100,current_with_mplld_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_9.csv,WSD-con 9e-5,400,100,current_with_mplld_projection
4,0.03271892621544682,0.0020340057005119217,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,wsdcon_18.csv,WSD-con 18e-5,400,100,current_with_mplld_projection
4,0.08196190486713748,0.002147183289787389,8000,9.02560883338251,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017598723252986126,0.3418487165194955,0.01213191204169355,0.0012594780368771032,cosine_24000.csv,Cosine 24k,400,100,current_with_mplld_projection
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_24000.csv,Constant 24k,400,100,current_with_mplld_projection
4,0.08196476967207476,0.002147192561639977,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,constant_72000.csv,Constant 72k,400,100,current_with_mplld_projection
4,0.07881628678987389,0.002158820263196438,8000,9.026941864314445,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00017015019699188148,0.34181390262458233,0.012602391169791468,0.0013593348951861214,wsd_20000_24000.csv,WSD sharp,25,400,current_with_mplld_projection
4,0.07882117112934564,0.0021588382751147783,8000,9.026482506002322,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00017016216112340332,0.3418314302401501,0.012603105772577585,0.0013593496446268271,wsdld_20000_24000.csv,WSD linear,25,400,current_with_mplld_projection
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_3.csv,WSD-con 3e-5,25,400,current_with_mplld_projection
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_9.csv,WSD-con 9e-5,25,400,current_with_mplld_projection
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_18.csv,WSD-con 18e-5,25,400,current_with_mplld_projection
4,0.07883046212310667,0.0021588725412547763,8000,9.02560883338251,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017018492009199967,0.34186477164293966,0.012604465131641889,0.0013593777030796318,cosine_24000.csv,Cosine 24k,25,400,current_with_mplld_projection
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_24000.csv,Constant 24k,25,400,current_with_mplld_projection
4,0.07883317335826752,0.0021588825415218256,8000,9.025353913540956,halflife,support_projection,0.0,500,mpl_ld4,q2,0.002,current_formula,0.00017019156165592726,0.34187450119553464,0.01260486182081445,0.0013593858914163763,constant_72000.csv,Constant 72k,25,400,current_with_mplld_projection
4,0.07881628678987389,0.002158820263196438,8000,9.026941864314445,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00017015019699188148,0.34181390262458233,0.012602391169791468,0.0013593348951861214,wsd_20000_24000.csv,WSD sharp,100,400,current_with_mplld_projection
4,0.07882117112934564,0.0021588382751147783,8000,9.026482506002322,halflife,support_projection,0.8168498168498168,500,mpl_ld4,q2,0.002,current_formula,0.00017016216112340332,0.3418314302401501,0.012603105772577585,0.0013593496446268271,wsdld_20000_24000.csv,WSD linear,100,400,current_with_mplld_projection
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_3.csv,WSD-con 3e-5,100,400,current_with_mplld_projection
4,0.031783300219353904,0.002036467402997324,8000,18.05070782708191,halflife,support_projection,0.9998554913294798,500,mpl_ld4,q2,0.002,current_formula,6.472565485639192e-05,0.16972427165544524,0.006038824637073331,0.0012659510960544888,wsdcon_9.csv,WSD-con 9e-5,100,400,current_with_mplld_projection
