base_mae,basis_dim,coef,corr_mae,delta_pct,denominator,fit_start,group,lambda,lambda_rule,locality,locality_factor,n_cal,nonharm,projection,q_rule,ridge,role,source_dot,source_full_norm,source_perp_norm,source_retention,target_density_projection,target_drop_total,target_effective_drop_count,target_post_warmup_horizon,target_q2,target_qinf,target_support_projection,target_support_span,test_curve,test_label,test_scale,train_scale,variant,win
0.0015795124507172926,4,0.08196476967207476,0.0015795124507172926,0.0,0.002147192561639977,8000,extra_control,9.025353913540956,halflife,support_projection,0.0,500,1,mpl_ld4,q2,0.002,current_formula,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,0.0,0.0,0.0,69840.0,0.0,0.0,0.0,0.0,constant_72000.csv,Constant 72k,25,100,current_with_mplld_projection,0
0.0037480705220761528,4,0.08194692666912794,0.0016529256015572712,-55.89929293428361,0.0021471348197195125,8000,core_wsd,9.026941864314445,halflife,support_projection,0.8168498168498168,500,1,mpl_ld4,q2,0.002,current_formula,0.00017595109962028612,0.3417978531056059,0.012129914250295117,0.001259438022214419,0.8698569499653173,0.0002699827256403192,2842.3242127574727,21840.0,0.00035182474803951123,0.0006394638242375368,0.8168498168498168,4000.0,wsd_20000_24000.csv,WSD sharp,100,100,current_with_mplld_projection,1
0.003248313740665229,4,0.08195208763827826,0.0016562184795922428,-49.012976829847034,0.002147151519614495,8000,core_wsd,9.026482506002322,halflife,support_projection,0.8168498168498168,500,1,mpl_ld4,q2,0.002,current_formula,0.00017596354950810943,0.34181537879017754,0.012130602607228346,0.0012594518091337912,0.8168956043956048,0.00026993249999999997,3998.9999999999995,21840.0,0.00025006251562890725,0.00025006251562922964,0.8168498168498168,4000.0,wsdld_20000_24000.csv,WSD linear,100,100,current_with_mplld_projection,1
0.0056693997340904675,4,0.03271892621544682,0.003245398207353299,-42.755876114388094,0.0020340057005119217,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,0.9999277456647405,0.00026999999999999995,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_3.csv,WSD-con 3e-5,100,100,current_with_mplld_projection,1
0.004934623402238123,4,0.03271892621544682,0.004448863421130836,-9.843911916094106,0.0020340057005119217,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,0.9999277456647405,0.00020999999999999995,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_9.csv,WSD-con 9e-5,100,100,current_with_mplld_projection,1
0.0013816404339982303,4,0.03271892621544682,0.0012048097507307812,-12.798603668230202,0.0020340057005119217,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,0.9999277456647405,0.00011999999999999996,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_18.csv,WSD-con 18e-5,100,100,current_with_mplld_projection,1
0.0032781062167547585,4,0.08196190486713748,0.0032781062167547585,0.0,0.002147183289787389,8000,extra_control,9.02560883338251,halflife,support_projection,0.0,500,1,mpl_ld4,q2,0.002,current_formula,0.00017598723252986126,0.3418487165194955,0.01213191204169355,0.0012594780368771032,0.18943053784924493,0.00026999999860331564,17702.83705337249,21840.0,5.648812091446634e-05,7.192290886014244e-05,0.0,21840.0,cosine_24000.csv,Cosine 24k,100,100,current_with_mplld_projection,0
0.001848699219840022,4,0.08196476967207476,0.001848699219840022,0.0,0.002147192561639977,8000,extra_control,9.025353913540956,halflife,support_projection,0.0,500,1,mpl_ld4,q2,0.002,current_formula,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,0.0,0.0,0.0,21840.0,0.0,0.0,0.0,0.0,constant_24000.csv,Constant 24k,100,100,current_with_mplld_projection,0
0.004776169698442608,4,0.08196476967207476,0.004776169698442608,0.0,0.002147192561639977,8000,extra_control,9.025353913540956,halflife,support_projection,0.0,500,1,mpl_ld4,q2,0.002,current_formula,0.00017599414375641292,0.34185844500004126,0.012132294162275214,0.0012594856910377646,0.0,0.0,0.0,69840.0,0.0,0.0,0.0,0.0,constant_72000.csv,Constant 72k,100,100,current_with_mplld_projection,0
0.004701998914275349,4,0.08194692666912794,0.0024789175287645146,-47.279495934410384,0.0021471348197195125,8000,core_wsd,9.026941864314445,halflife,support_projection,0.8168498168498168,500,1,mpl_ld4,q2,0.002,current_formula,0.00017595109962028612,0.3417978531056059,0.012129914250295117,0.001259438022214419,0.8698569499653173,0.0002699827256403192,2842.3242127574727,21840.0,0.00035182474803951123,0.0006394638242375368,0.8168498168498168,4000.0,wsd_20000_24000.csv,WSD sharp,400,100,current_with_mplld_projection,1
0.0038535563963712593,4,0.08195208763827826,0.002241129874872778,-41.84255673582042,0.002147151519614495,8000,core_wsd,9.026482506002322,halflife,support_projection,0.8168498168498168,500,1,mpl_ld4,q2,0.002,current_formula,0.00017596354950810943,0.34181537879017754,0.012130602607228346,0.0012594518091337912,0.8168956043956048,0.00026993249999999997,3998.9999999999995,21840.0,0.00025006251562890725,0.00025006251562922964,0.8168498168498168,4000.0,wsdld_20000_24000.csv,WSD linear,400,100,current_with_mplld_projection,1
0.008173606778800102,4,0.03271892621544682,0.005151523528695989,-36.973680431293765,0.0020340057005119217,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,0.9999277456647405,0.00026999999999999995,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_3.csv,WSD-con 3e-5,400,100,current_with_mplld_projection,1
0.006687305974578527,4,0.03271892621544682,0.006058535504313034,-9.40244805091518,0.0020340057005119217,8000,core_wsd,18.05070782708191,halflife,support_projection,0.9998554913294798,500,1,mpl_ld4,q2,0.002,current_formula,6.655048243684779e-05,0.1697216607782859,0.00583144068922264,0.0011805304133082875,0.9999277456647405,0.00020999999999999995,1.0,13840.0,1.0,1.0,0.9998554913294798,2.0,wsdcon_9.csv,WSD-con 9e-5,400,100,current_with_mplld_projection,1
