base_config_id,config_id,fit_start_step,max_mode,mean_delta,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
188,3620,8000,16,-31.71730007451622,-27.359247222483262,15,0.05,0.25,0.35,0.0,0.05,15,4.0,20.0,15,-11.866001928195224
1580,20,8000,12,-31.70876029881531,-27.88150648797615,15,0.02,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-9.37645679626341
1564,132,8000,8,-31.70322931833196,-25.262668359408114,15,0.02,0.0,0.5,0.35,0.05,15,7.0,20.0,15,-11.085567415947828
1564,120,8000,8,-31.70151095819587,-27.880289548584948,15,0.02,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-9.369748240836817
1229,2100,12000,8,-31.70143994795088,-26.351537600749143,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.661217212570751
173,8600,12000,8,-31.70143994795088,-26.351537600749143,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.661217212570751
1245,2000,12000,12,-31.700469188238866,-26.34991946483004,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.660376808251792
181,8500,12000,12,-31.700469188238866,-26.34991946483004,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.660376808251792
1237,1900,12000,16,-31.700417026620872,-26.349828246786732,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.660356257564285
189,8400,12000,16,-31.700417026620872,-26.349828246786732,15,0.05,0.25,0.0,0.0,0.05,15,4.0,20.0,15,-10.660356257564285
1580,32,8000,12,-31.698550150980957,-25.257989565113135,15,0.02,0.0,0.5,0.35,0.05,15,7.0,20.0,15,-11.081800942819386
1564,142,8000,8,-31.673796007634692,-25.262668359408114,15,0.02,0.0,0.6,0.35,0.05,15,7.0,20.0,15,-11.085567415947828
1580,42,8000,12,-31.667229681590197,-25.257989565113135,15,0.02,0.0,0.6,0.35,0.05,15,7.0,20.0,15,-11.081800942819386
1565,3551,12000,8,-31.591142577394276,-27.879952256069163,15,0.02,0.0,0.75,0.2,0.05,15,7.0,20.0,15,-10.966988111594322
1581,3451,12000,12,-31.587052737387005,-27.877891506079322,15,0.02,0.0,0.75,0.2,0.05,15,7.0,20.0,15,-10.963857896148067
1580,60,8000,12,-31.566273156274768,-27.88150648797615,15,0.02,0.0,0.9,0.0,0.05,15,7.0,20.0,15,-14.960400839531918
1564,160,8000,8,-31.5648426703482,-27.880289548584948,15,0.02,0.0,0.9,0.0,0.05,15,7.0,20.0,15,-14.965485204889006
435,5420,5000,8,-31.56426078985383,-27.408196961050045,15,0.015,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-12.595098053042575
467,5520,5000,12,-31.55525914991388,-27.40356050334185,15,0.015,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-12.60310400543485
475,5620,5000,16,-31.554400035781946,-27.403594463890492,15,0.015,0.0,0.35,0.0,0.05,15,7.0,20.0,15,-12.602425775336545
1563,1832,5000,8,-31.553769918164345,-25.851331786170128,15,0.02,0.0,0.5,0.35,0.05,15,7.0,20.0,15,-10.410293307392793
1579,1732,5000,12,-31.547166977845603,-25.844792363653333,15,0.02,0.0,0.5,0.35,0.05,15,7.0,20.0,15,-10.413637781816721
1579,1730,5000,12,-31.453106269026097,-30.83887941451747,15,0.02,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-10.413637781816721
1563,1830,5000,8,-31.45037349241119,-30.84940423268987,15,0.02,0.0,0.5,0.0,0.05,15,7.0,20.0,15,-10.410293307392793
1563,1842,5000,8,-31.44602745276479,-25.851331786170128,15,0.02,0.0,0.6,0.35,0.05,15,7.0,20.0,15,-12.319387693189277
1579,1742,5000,12,-31.4389506584007,-25.844792363653333,15,0.02,0.0,0.6,0.35,0.05,15,7.0,20.0,15,-12.316260452481986
1563,1822,5000,8,-31.41317516325929,-25.851331786170128,15,0.02,0.0,0.35,0.35,0.05,15,7.0,20.0,15,-6.559510106112931
1579,1722,5000,12,-31.41314861047685,-25.844792363653333,15,0.02,0.0,0.35,0.35,0.05,15,7.0,20.0,15,-6.563226188806148
1563,1861,5000,8,-31.41035158530083,-27.578337210244662,15,0.02,0.0,0.9,0.2,0.05,15,7.0,20.0,15,-13.859311154838016
1579,1761,5000,12,-31.406415730541518,-27.57573109643302,15,0.02,0.0,0.9,0.2,0.05,15,7.0,20.0,15,-13.855793009042227
1564,152,8000,8,-31.388546264170134,-28.22853553224367,15,0.02,0.0,0.75,0.35,0.05,15,7.0,20.0,15,-11.085567415947828
1580,52,8000,12,-31.38093473134804,-28.23175738406951,15,0.02,0.0,0.75,0.35,0.05,15,7.0,20.0,15,-11.081800942819386
1565,3521,12000,8,-31.37152576644246,-26.175245935907952,15,0.02,0.0,0.35,0.2,0.05,15,7.0,20.0,15,-10.966988111594322
1581,3421,12000,12,-31.36886035767583,-26.16967153340606,15,0.02,0.0,0.35,0.2,0.05,15,7.0,20.0,15,-10.963857896148067
