base_config_id,config_id,fit_start_step,max_mode,mean_delta,median_delta,nonharm,nuisance_lambda,retention_power,rho_smooth,rho_step,ridge_tau,rows,smooth_lambda,step_lambda,wins,worst_delta
1564,108,8000,8,-18.500551534457717,-15.141388608956918,14,0.02,0.0,0.0,1.25,0.05,15,7.0,20.0,14,3.124409616489876
1564,109,8000,8,-17.345980710989796,-13.63405474714201,14,0.02,0.0,0.0,1.5,0.05,15,7.0,20.0,14,3.124409616489876
1564,110,8000,8,-30.48049840582611,-27.880289548584948,15,0.02,0.0,0.2,0.0,0.05,15,7.0,20.0,15,-4.907549006077405
1564,111,8000,8,-30.70519556214025,-27.11671715743349,15,0.02,0.0,0.2,0.2,0.05,15,7.0,20.0,15,-4.907549006077405
1564,112,8000,8,-29.658060095633104,-25.121290820303287,15,0.02,0.0,0.2,0.35,0.05,15,7.0,20.0,15,-4.907549006077405
1564,113,8000,8,-27.9049367172607,-22.665257869879873,15,0.02,0.0,0.2,0.5,0.05,15,7.0,20.0,15,-4.907549006077405
1564,114,8000,8,-26.86208454116288,-21.26493242257975,15,0.02,0.0,0.2,0.6,0.05,15,7.0,20.0,15,-4.907549006077405
1564,115,8000,8,-25.503304292340587,-19.499555131927394,15,0.02,0.0,0.2,0.75,0.05,15,7.0,20.0,15,-4.907549006077405
1564,116,8000,8,-24.350123286199597,-17.960116568880437,15,0.02,0.0,0.2,0.9,0.05,15,7.0,20.0,15,-4.907549006077405
1564,117,8000,8,-23.673789280474967,-17.062110740436488,15,0.02,0.0,0.2,1.0,0.05,15,7.0,20.0,15,-4.907549006077405
1564,118,8000,8,-22.23843490382847,-15.166320658166043,15,0.02,0.0,0.2,1.25,0.05,15,7.0,20.0,15,-4.907549006077405
1564,119,8000,8,-21.083864080360545,-13.649688592349008,15,0.02,0.0,0.2,1.5,0.05,15,7.0,20.0,15,-4.907549006077405
