scale,curve_name,label,feature,base_mae,corr_mae,delta_pct,kappa,resid_peak_step,phi_peak_step,peak_lag_steps,feature_width_steps,feature_width_frac,raw_lowfreq_r2,remaining_lowfreq_r2
100,wsdcon_9.csv,step to 9e-5,step_tau1024,0.004934623402238123,0.004619131809713556,-6.3934279641577945,0.016631760126325456,8384.0,8000.0,-384.0,2944.0,0.21395348837209302,0.8576904101017251,0.9673569542149089
100,wsdcon_9.csv,step to 9e-5,step_tau2304,0.004934623402238123,0.004943159745641328,0.17298875126587898,0.0038786382451976493,8384.0,8000.0,-384.0,5760.0,0.4186046511627907,0.8576904101017251,0.8889993681421084
100,wsdcon_18.csv,step to 18e-5,S10_current,0.0013816404339982303,0.0012230851683060861,-11.475870406695643,0.018248042675668277,8256.0,8000.0,-256.0,1664.0,0.12093023255813953,0.5456180813466489,0.8192127399346016
100,wsdcon_18.csv,step to 18e-5,step_tau1024,0.0013816404339982303,0.0013299465786778108,-3.7414839670569244,0.012260036404684286,8256.0,8000.0,-256.0,2944.0,0.21395348837209302,0.5456180813466489,0.7629977163287646
100,wsdcon_18.csv,step to 18e-5,step_tau2304,0.0013816404339982303,0.001449505961532289,4.9119529122108485,0.005162933341830441,8256.0,8000.0,-256.0,5760.0,0.4186046511627907,0.5456180813466489,0.6714513808088418
400,constant_72000.csv,constant 72k,S10_current,0.004118245803084534,0.004118245803084534,0.0,0.0,70656.0,nan,nan,nan,nan,0.9421289065639729,0.9421289065639729
400,constant_72000.csv,constant 72k,step_tau1024,0.004118245803084534,0.004118245803084534,0.0,0.0,70656.0,nan,nan,nan,nan,0.9421289065639729,0.9421289065639729
400,constant_72000.csv,constant 72k,step_tau2304,0.004118245803084534,0.004118245803084534,0.0,0.0,70656.0,nan,nan,nan,nan,0.9421289065639729,0.9421289065639729
400,cosine_72000.csv,cosine 72k,S10_current,0.005612615040270773,0.004266571104636403,-23.982473873166832,0.342376104647063,44544.0,59776.0,15232.0,50048.0,0.7174311926605504,0.972172264702826,0.9436782942001394
400,cosine_72000.csv,cosine 72k,step_tau1024,0.005612615040270773,0.003202093189813766,-42.94828405585278,0.3653683575823281,44544.0,38144.0,-6400.0,49792.0,0.7137614678899082,0.972172264702826,0.9270701216350988
400,cosine_72000.csv,cosine 72k,step_tau2304,0.005612615040270773,0.0031332904737424085,-44.1741425118077,0.1651474218909919,44544.0,39424.0,-5120.0,49792.0,0.7137614678899082,0.972172264702826,0.9161786945589288
400,cosine_24000.csv,cosine 24k,S10_current,0.007134640765897494,0.007134640765897494,0.0,0.0,12016.0,20720.0,8704.0,nan,nan,0.9454680319219182,0.9454680319219182
400,cosine_24000.csv,cosine 24k,step_tau1024,0.007134640765897494,0.007134640765897494,0.0,0.0,12016.0,14064.0,2048.0,nan,nan,0.9454680319219182,0.9454680319219182
400,cosine_24000.csv,cosine 24k,step_tau2304,0.007134640765897494,0.007134640765897494,0.0,0.0,12016.0,15344.0,3328.0,nan,nan,0.9454680319219182,0.9454680319219182
400,wsd_20000_24000.csv,WSD exp cooldown,S10_current,0.004701998914275349,0.00202112646506367,-57.01559056239899,0.10121370162592601,23680.0,23936.0,256.0,3328.0,0.15294117647058825,0.885226590844974,0.40091992102077545
400,wsd_20000_24000.csv,WSD exp cooldown,step_tau1024,0.004701998914275349,0.0026494711224902285,-43.652238743688585,0.07893474199196372,23680.0,21376.0,-2304.0,3200.0,0.14705882352941177,0.885226590844974,0.4861670600235498
400,wsd_20000_24000.csv,WSD exp cooldown,step_tau2304,0.004701998914275349,0.0020421407944472138,-56.56866724815186,0.04994299397264223,23680.0,22016.0,-1664.0,3328.0,0.15294117647058825,0.885226590844974,0.41610352949023355
400,wsdld_20000_24000.csv,WSD linear cooldown,S10_current,0.0038535563963712593,0.0018089736235327857,-53.05703517830376,0.1016427946242588,23680.0,23936.0,256.0,3328.0,0.15294117647058825,0.9159376276691301,0.453340223844086
400,wsdld_20000_24000.csv,WSD linear cooldown,step_tau1024,0.0038535563963712593,0.0020887506121356402,-45.79680696764854,0.0748392774677401,23680.0,23936.0,256.0,3200.0,0.14705882352941177,0.9159376276691301,0.3261847528465829
400,wsdld_20000_24000.csv,WSD linear cooldown,step_tau2304,0.0038535563963712593,0.001838926657129052,-52.27975231241728,0.0467575669719375,23680.0,23936.0,256.0,3072.0,0.1411764705882353,0.9159376276691301,0.3939298540723375
400,wsdcon_3.csv,step to 3e-5,S10_current,0.008173606778800102,0.005066466603478869,-38.0143094647057,0.03646705120003114,8384.0,8000.0,-384.0,6528.0,0.4744186046511628,0.6670656827405268,0.745382089595596
400,wsdcon_3.csv,step to 3e-5,step_tau1024,0.008173606778800102,0.004928051469007379,-39.70774956058231,0.06074939798590149,8384.0,8000.0,-384.0,2944.0,0.21395348837209302,0.6670656827405268,0.6062751736470349
400,wsdcon_3.csv,step to 3e-5,step_tau2304,0.008173606778800102,0.0038944894938208576,-52.352864540511035,0.04526798113396155,8384.0,8000.0,-384.0,5760.0,0.4186046511627907,0.6670656827405268,0.7031894030870622
400,wsdcon_9.csv,step to 9e-5,S10_current,0.006687305974578527,0.006143421859152095,-8.13308255213656,0.028340519806877164,8384.0,8000.0,-384.0,3200.0,0.23255813953488372,0.7442531539377877,0.9088163881622842
400,wsdcon_9.csv,step to 9e-5,step_tau1024,0.006687305974578527,0.006076905648261254,-9.127746339672216,0.029972285972073538,8384.0,8000.0,-384.0,2944.0,0.21395348837209302,0.7442531539377877,0.9118343006993027
400,wsdcon_9.csv,step to 9e-5,step_tau2304,0.006687305974578527,0.006712074806624597,0.37038580469066495,0.011871995909505313,8384.0,8000.0,-384.0,5760.0,0.4186046511627907,0.7442531539377877,0.8190723890156171
400,wsdcon_18.csv,step to 18e-5,S10_current,0.0025579541942073844,0.0023915199619231175,-6.506536851252676,0.025067531372228218,8384.0,8000.0,-384.0,1664.0,0.12093023255813953,0.5057420956675908,0.6717962074390569
400,wsdcon_18.csv,step to 18e-5,step_tau1024,0.0025579541942073844,0.0025153492628757603,-1.6655861714844233,0.0169524253951846,8384.0,8000.0,-384.0,2944.0,0.21395348837209302,0.5057420956675908,0.6548847325149932
400,wsdcon_18.csv,step to 18e-5,step_tau2304,0.0025579541942073844,0.002639457048990213,3.186251535207152,0.005223027151494582,8384.0,8000.0,-384.0,5760.0,0.4186046511627907,0.5057420956675908,0.5473705513107834
