cosine_to_wsd_mean,feature,method,nuisance,offdiag_mean_delta,offdiag_tests,offdiag_wins,offdiag_worst_delta,probe_to_wsd_mean,probe_to_wsd_worst,self_mean_delta,self_tests,self_wins,self_worst_delta,target_mode,tau_mode,train_retention_power
-0.3756839542356949,step_tau768,step_tau768__dct2__eb_q75__R1p0__Tnone,dct2,-8.250945215355188,90,85,0.0,-12.89468095233012,-8.784482693010965,-10.363007273082227,18,17,0.0,none,eb_q75,1.0
-0.3756839542356949,step_tau768,step_tau768__dct2__eb_q75__R1p0__Tgate_0p01,dct2,-7.852832937150939,90,70,0.0,-12.89468095233012,-8.784482693010965,-10.350029854295654,18,15,0.0,gate_0p01,eb_q75,1.0
-0.3756839542356949,step_tau768,step_tau768__dct2__eb_q75__R1p0__Tgate_0p03,dct2,-7.852832937150939,90,70,0.0,-12.89468095233012,-8.784482693010965,-10.350029854295654,18,15,0.0,gate_0p03,eb_q75,1.0
-0.3756839542356949,step_tau768,step_tau768__dct2__eb_q75__R1p0__Tgate_0p05,dct2,-7.852832937150939,90,70,0.0,-12.89468095233012,-8.784482693010965,-10.350029854295654,18,15,0.0,gate_0p05,eb_q75,1.0
-2.2950390371701026,step_tau768,step_tau768__dct2__none__R1p0__Tdrop_sqrt,dct2,-8.318512833977586,90,85,0.0,-12.934492580556586,-8.802777321624456,-9.93339265853188,18,17,0.0,drop_sqrt,none,1.0
-0.01208025478209492,step_tau768,step_tau768__fourier2__eb_q75__R0p5__Tdrop_sqrt,fourier2,-6.926913392608277,90,80,0.0,-13.943063571153697,-7.987810872216395,-8.06096998329629,18,16,0.0,drop_sqrt,eb_q75,0.5
-0.3756719360809531,step_tau768,step_tau768__dct2__eb_q75__R1p0__Tdrop_sqrt,dct2,-8.011083746604843,90,85,0.0,-12.89366382699012,-8.783384564037322,-9.783663819097775,18,17,0.0,drop_sqrt,eb_q75,1.0
-0.012079868333965868,step_tau768,step_tau768__fourier2__eb_q75__R0p5__Tdrop_linear,fourier2,-6.641215743257442,90,80,0.0,-13.941963546472875,-7.986812333444638,-7.589094072110658,18,16,0.0,drop_linear,eb_q75,0.5
-2.29496561871824,step_tau768,step_tau768__dct2__none__R1p0__Tdrop_linear,dct2,-7.927759438550434,90,85,0.0,-12.93347234577223,-8.801676905678868,-9.444165914238631,18,17,0.0,drop_linear,none,1.0
-2.9719034352552707,step_tau512,step_tau512__dct2__eb_q75__R0p5__Tdrop_sqrt,dct2,-9.011475919933291,90,85,0.0,-11.719967862341736,-8.507974923247497,-11.72542218098508,18,17,0.0,drop_sqrt,eb_q75,0.5
-0.37565991831078893,step_tau768,step_tau768__dct2__eb_q75__R1p0__Tdrop_linear,dct2,-7.630308234522258,90,85,0.0,-12.892646809770717,-8.782286572337972,-9.296851622369559,18,17,0.0,drop_linear,eb_q75,1.0
-1.121802148316664,step_tau512,step_tau512__fourier2__eb_q75__R0p0__Tnone,fourier2,-8.184549534428651,90,80,0.0,-12.26592282607557,-7.904103052273859,-10.19828995734305,18,16,0.0,none,eb_q75,0.0
-2.971808363866309,step_tau512,step_tau512__dct2__eb_q75__R0p5__Tdrop_linear,dct2,-8.74421827574646,90,85,0.0,-11.719035570714023,-8.506911359905123,-11.131798654994167,18,17,0.0,drop_linear,eb_q75,0.5
-1.121802148316664,step_tau512,step_tau512__fourier2__eb_q75__R0p0__Tgate_0p01,fourier2,-7.808469640642799,90,65,0.0,-12.26592282607557,-7.904103052273859,-10.170296573191656,18,15,0.0,gate_0p01,eb_q75,0.0
-1.121802148316664,step_tau512,step_tau512__fourier2__eb_q75__R0p0__Tgate_0p03,fourier2,-7.808469640642799,90,65,0.0,-12.26592282607557,-7.904103052273859,-10.170296573191656,18,15,0.0,gate_0p03,eb_q75,0.0
-1.121802148316664,step_tau512,step_tau512__fourier2__eb_q75__R0p0__Tgate_0p05,fourier2,-7.808469640642799,90,65,0.0,-12.26592282607557,-7.904103052273859,-10.170296573191656,18,15,0.0,gate_0p05,eb_q75,0.0
-4.586969574829925,S10_current,S10_current__fourier2__none__R0p5__Tnone,fourier2,-9.888222344162525,90,75,0.0,-11.570065719003882,-5.864037250640974,-10.787534517309238,18,15,0.0,none,none,0.5
-4.586969574829925,S10_current,S10_current__fourier2__none__R0p5__Tgate_0p01,fourier2,-9.5215134606754,90,61,0.0,-11.570065719003882,-5.864037250640974,-10.659916184909507,18,14,0.0,gate_0p01,none,0.5
-1.1217662617912942,step_tau512,step_tau512__fourier2__eb_q75__R0p0__Tdrop_sqrt,fourier2,-7.965034412672073,90,80,0.0,-12.26494657257237,-7.903114977633785,-9.619419393000774,18,16,0.0,drop_sqrt,eb_q75,0.0
-4.586822837367625,S10_current,S10_current__fourier2__none__R0p5__Tdrop_sqrt,fourier2,-9.485599044360292,90,75,0.0,-11.56920476581478,-5.863304200166208,-10.244030441970159,18,15,0.0,drop_sqrt,none,0.5
-1.0632304364034433,S10_current,S10_current__fourier2__eb_q75__R0p5__Tnone,fourier2,-8.955992885623978,90,75,0.0,-11.544390947120199,-5.860297957771143,-10.528459332988767,18,15,0.0,none,eb_q75,0.5
