feature,group_id,mean_delta,method,nuisance,target_group,target_mode,tau_mode,tests,train_retention_power,wins,worst_delta
S10_current,cosine,148.16320845212536,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,probe,none,eb_q75,9,0.0,1,308.56688800973836
S10_current,cosine,-16.062758823517186,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,cosine,none,eb_q75,3,0.0,3,-11.029023573160323
S10_current,probe,-19.96651000271913,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,wsd,none,eb_q75,6,0.0,6,-13.835510389884353
S10_current,probe,-16.986668576488274,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,probe,none,eb_q75,9,0.0,9,-1.5595465897473515
S10_current,probe,-4.036935235097006,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,cosine,none,eb_q75,3,0.0,3,-2.953145768565757
S10_current,probe3,-21.720455948734937,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,wsd,none,eb_q75,6,0.0,6,-14.816889658387723
S10_current,probe3,-14.833043131792058,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,probe,none,eb_q75,9,0.0,8,1.1859818608756845
S10_current,probe3,-4.384163314042726,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,cosine,none,eb_q75,3,0.0,3,-3.1626180578033347
S10_current,wsd,-45.43283835473955,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,wsd,none,eb_q75,6,0.0,6,-31.140282331519842
S10_current,wsd,56.35082049406987,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,probe,none,eb_q75,9,0.0,1,128.30395162301548
S10_current,wsd,-10.001089747174758,S10_current__dct2__eb_q75__R0p0__Tnone,dct2,cosine,none,eb_q75,3,0.0,3,-6.7506221317118476
S10_current,cosine,-44.94037633132521,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,wsd,sqrt_retention,eb_q75,6,0.0,6,-30.161593682760767
S10_current,cosine,68.76227554358663,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,probe,sqrt_retention,eb_q75,9,0.0,1,95.44455690851102
S10_current,cosine,-2.7925949665775813,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,cosine,sqrt_retention,eb_q75,3,0.0,3,-1.6999062891861816
S10_current,probe,-10.994192341246759,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,wsd,sqrt_retention,eb_q75,6,0.0,6,-8.113035184125462
S10_current,probe,-16.630884993315615,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,probe,sqrt_retention,eb_q75,9,0.0,9,-4.787490900024194
S10_current,probe,-0.6380970212709669,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,cosine,sqrt_retention,eb_q75,3,0.0,3,-0.4551691300294536
S10_current,probe3,-11.96308132022362,S10_current__dct2__eb_q75__R0p0__Tsqrt_retention,dct2,wsd,sqrt_retention,eb_q75,6,0.0,6,-8.688508318832543
