alpha,cap,estimator,max_kappa,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins
0.0,,alpha_0p00_nocap,0.0369957665765904,-3.6437397662493325,0.02551509949400541,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
0.0,,alpha_0p00_nocap,0.0369957665765904,-19.578342465392282,0.02551509949400541,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
0.0,,alpha_0p00_nocap,0.0369957665765904,-16.396458351463945,0.02551509949400541,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
0.0,,alpha_0p00_nocap,0.0369957665765904,-32.58358021301748,0.02551509949400541,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.0,,alpha_0p00_nocap,0.0369957665765904,-11.945178689145754,0.02551509949400541,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.0,,alpha_0p00_nocap,0.0369957665765904,-10.58671722573188,0.02551509949400541,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.0,,alpha_0p00_nocap,0.03065474283818566,-3.5577298612376977,0.024570903822865756,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
0.0,,alpha_0p00_nocap,0.03065474283818566,-19.371250666423776,0.024570903822865756,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
0.0,,alpha_0p00_nocap,0.03065474283818566,-16.036128055492867,0.024570903822865756,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
0.0,,alpha_0p00_nocap,0.03065474283818566,-27.592378338214825,0.024570903822865756,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.0,,alpha_0p00_nocap,0.03065474283818566,-7.8995144764842,0.024570903822865756,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.0,,alpha_0p00_nocap,0.03065474283818566,-12.883772892163384,0.024570903822865756,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.021228131554663247,-1.8364334867236323,0.011861386231873989,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
0.25,0.03,alpha_0p25_cap_0p03,0.021228131554663247,-10.222245377195708,0.011861386231873989,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
0.25,0.03,alpha_0p25_cap_0p03,0.021228131554663247,-8.27662108723262,0.011861386231873989,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
0.25,0.03,alpha_0p25_cap_0p03,0.021228131554663247,-19.660264050617386,0.011861386231873989,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
0.25,0.03,alpha_0p25_cap_0p03,0.021228131554663247,-9.248474296159607,0.011861386231873989,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
0.25,0.03,alpha_0p25_cap_0p03,0.021228131554663247,-7.678886278444549,0.011861386231873989,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
0.25,0.03,alpha_0p25_cap_0p03,0.03,-4.192564524981253,0.028599115179209624,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-22.768559552464676,0.028599115179209624,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-18.83366665174786,0.028599115179209624,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-22.87714311701767,0.028599115179209624,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-4.207348822560897,0.028599115179209624,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,2
0.25,0.03,alpha_0p25_cap_0p03,0.03,-10.495685384014825,0.028599115179209624,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-4.406336042489797,0.03,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-24.02118920061733,0.03,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-19.835187837404423,0.03,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-16.23182172240143,0.03,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,2
0.25,0.03,alpha_0p25_cap_0p03,0.03,-0.9772535589153737,0.03,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,1
0.25,0.03,alpha_0p25_cap_0p03,0.03,-10.856849642925122,0.03,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-3.3281461756848465,0.022999075717335532,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-17.881190924504416,0.022999075717335532,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-14.906027181578056,0.022999075717335532,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-32.15590332635431,0.022999075717335532,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-12.316706459847595,0.022999075717335532,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-10.700699743527139,0.022999075717335532,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.25,0.03,alpha_0p25_cap_0p03,0.03,-3.155066104175775,0.021882415804200278,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
