alpha,cap,cap_saturated,estimator,kappa,orth_corr,orth_feature_retention,scale,tau,train_curve,train_label
0.25,,0,alpha_0p25_nocap,0.04318371387277446,0.8680632812390924,0.21295494892368566,100,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.25,,0,alpha_0p25_nocap,0.0778757846708664,0.8674836992552977,0.21001940528935797,400,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.25,,0,alpha_0p25_nocap,0.01692601766032436,0.8887798661764775,0.3658893468630305,25,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.25,,0,alpha_0p25_nocap,0.022071209491682238,0.8915096135371119,0.3617608660639815,100,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.25,,0,alpha_0p25_nocap,0.03398319628758153,0.8746054734974097,0.3617608660639815,400,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.25,,0,alpha_0p25_nocap,0.015730192334888562,0.7670813357573183,0.6456084819189877,25,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.25,,0,alpha_0p25_nocap,0.019917055077712277,0.8085129712834455,0.6716357435070672,100,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.25,,0,alpha_0p25_nocap,0.03349156800501175,0.7978561342066719,0.6716357435070672,400,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.25,,0,alpha_0p25_nocap,0.023344373475321215,0.6344838213159744,0.801642156408999,25,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.25,,0,alpha_0p25_nocap,0.017533807407410958,0.599510621488333,0.8269250945987962,100,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.25,,0,alpha_0p25_nocap,0.02923238299763917,0.5667220505077348,0.8269250945987962,400,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.25,0.03,0,alpha_0p25_cap_0p03,0.014356027140958724,0.05660829382076779,0.030521552634579834,25,0.030898198785299612,cosine_72000.csv,Cosine
0.25,0.03,0,alpha_0p25_cap_0p03,0.021228131554663247,0.1164218063154714,0.030521552634579834,100,0.030898198785299612,cosine_72000.csv,Cosine
0.25,0.03,0,alpha_0p25_cap_0p03,0.0,-0.06920030328255317,0.03064561373023567,400,0.030898198785299612,cosine_72000.csv,Cosine
0.25,0.03,0,alpha_0p25_cap_0p03,0.025797345537628875,0.6382815799137878,0.18600000963731753,25,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.25,0.03,1,alpha_0p25_cap_0p03,0.03,0.8664946579254105,0.19446912064096752,100,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.25,0.03,1,alpha_0p25_cap_0p03,0.03,0.8713709901394882,0.19103269631809874,400,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.25,0.03,1,alpha_0p25_cap_0p03,0.03,0.6399229454560205,0.20518042801494696,25,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.25,0.03,1,alpha_0p25_cap_0p03,0.03,0.8680632812390924,0.21295494892368566,100,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.25,0.03,1,alpha_0p25_cap_0p03,0.03,0.8674836992552977,0.21001940528935797,400,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.25,0.03,0,alpha_0p25_cap_0p03,0.01692601766032436,0.8887798661764775,0.3658893468630305,25,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.25,0.03,0,alpha_0p25_cap_0p03,0.022071209491682238,0.8915096135371119,0.3617608660639815,100,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.25,0.03,1,alpha_0p25_cap_0p03,0.03,0.8746054734974097,0.3617608660639815,400,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.25,0.03,0,alpha_0p25_cap_0p03,0.015730192334888562,0.7670813357573183,0.6456084819189877,25,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.25,0.03,0,alpha_0p25_cap_0p03,0.019917055077712277,0.8085129712834455,0.6716357435070672,100,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.25,0.03,1,alpha_0p25_cap_0p03,0.03,0.7978561342066719,0.6716357435070672,400,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.25,0.03,0,alpha_0p25_cap_0p03,0.023344373475321215,0.6344838213159744,0.801642156408999,25,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.25,0.03,0,alpha_0p25_cap_0p03,0.017533807407410958,0.599510621488333,0.8269250945987962,100,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.25,0.03,0,alpha_0p25_cap_0p03,0.02923238299763917,0.5667220505077348,0.8269250945987962,400,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.5,,0,alpha_0p50_nocap,0.0060004790851013465,0.05660829382076779,0.030521552634579834,25,0.030898198785299612,cosine_72000.csv,Cosine
0.5,,0,alpha_0p50_nocap,0.008872855850635438,0.1164218063154714,0.030521552634579834,100,0.030898198785299612,cosine_72000.csv,Cosine
0.5,,0,alpha_0p50_nocap,0.0,-0.06920030328255317,0.03064561373023567,400,0.030898198785299612,cosine_72000.csv,Cosine
0.5,,0,alpha_0p50_nocap,0.016941554704404626,0.6382815799137878,0.18600000963731753,25,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.5,,0,alpha_0p50_nocap,0.02672099323774187,0.8664946579254105,0.19446912064096752,100,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.5,,0,alpha_0p50_nocap,0.04828972806831262,0.8713709901394882,0.19103269631809874,400,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.5,,0,alpha_0p50_nocap,0.020363296999888605,0.6399229454560205,0.20518042801494696,25,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.5,,0,alpha_0p50_nocap,0.02933539389382345,0.8680632812390924,0.21295494892368566,100,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.5,,0,alpha_0p50_nocap,0.05271901553143667,0.8674836992552977,0.21001940528935797,400,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
