alpha,base_mae,cap,corr_mae,delta_pct,estimator,kappa,scale,test_curve,test_label,train_curve,train_label,win
0.0,0.006687305974578527,,0.01051686900592766,57.26615539810847,alpha_0p00_nocap,0.11503700850572161,400,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0
0.0,0.0025579541942073844,,0.003713854524828775,45.18846870827418,alpha_0p00_nocap,0.11503700850572161,400,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0
0.0,0.00744534704076948,,0.007198089409201816,-3.3209685218663743,alpha_0p00_nocap,0.021762929163001227,25,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.003408385839825258,,0.0027303150201375324,-19.894191900600344,alpha_0p00_nocap,0.021762929163001227,25,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0031360955249893426,,0.0026481578614802664,-15.558762787072133,alpha_0p00_nocap,0.021762929163001227,25,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.004487187642230267,,0.0030159177620838963,-32.78824059639961,alpha_0p00_nocap,0.021762929163001227,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.002926482771138891,,0.0024270387426802023,-17.066358065874454,alpha_0p00_nocap,0.021762929163001227,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.002504818961791151,,0.0020595356807956143,-17.777064442099345,alpha_0p00_nocap,0.021762929163001227,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.007265129575917493,,0.006941902219815497,-4.449023967493049,alpha_0p00_nocap,0.02845907215465939,100,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0037480705220761528,,0.002866552380434512,-23.519251744317373,alpha_0p00_nocap,0.02845907215465939,100,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.003248313740665229,,0.0026139760138602624,-19.528216097594665,alpha_0p00_nocap,0.02845907215465939,100,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0056693997340904675,,0.004808310652361269,-15.188364238129381,alpha_0p00_nocap,0.02845907215465939,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.004934623402238123,,0.0050083088056963425,1.4932325620795828,alpha_0p00_nocap,0.02845907215465939,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,0
0.0,0.0013816404339982303,,0.0013071782274256558,-5.389405574726391,alpha_0p00_nocap,0.02845907215465939,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.005612615040270773,,0.005296268515905733,-5.636348156701276,alpha_0p00_nocap,0.043818633299580106,400,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.004701998914275349,,0.003340095853304949,-28.964342310578573,alpha_0p00_nocap,0.043818633299580106,400,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0038535563963712593,,0.0028701089834132277,-25.520514345763956,alpha_0p00_nocap,0.043818633299580106,400,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.008173606778800102,,0.005416661157026562,-33.72985386236387,alpha_0p00_nocap,0.043818633299580106,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.006687305974578527,,0.006426348284846655,-3.9022842789591228,alpha_0p00_nocap,0.043818633299580106,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0025579541942073844,,0.0024719262353243,-3.3631547850973553,alpha_0p00_nocap,0.043818633299580106,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.00744534704076948,,0.0072459704881580895,-2.6778678216023755,alpha_0p00_nocap,0.017548569739728636,25,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.003408385839825258,,0.002861622443287882,-16.041710716806858,alpha_0p00_nocap,0.017548569739728636,25,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0031360955249893426,,0.0027426462768391233,-12.54583111436175,alpha_0p00_nocap,0.017548569739728636,25,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.004487187642230267,,0.0027690510012958933,-38.28983269530508,alpha_0p00_nocap,0.017548569739728636,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.002926482771138891,,0.002196530762713623,-24.942979867303116,alpha_0p00_nocap,0.017548569739728636,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.002504818961791151,,0.00214576413732525,-14.334561896207754,alpha_0p00_nocap,0.017548569739728636,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.007265129575917493,,0.007015250985573004,-3.439423725803714,alpha_0p00_nocap,0.02200096216569719,100,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0037480705220761528,,0.003066591970096804,-18.182116584131403,alpha_0p00_nocap,0.02200096216569719,100,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.003248313740665229,,0.002757923883544558,-15.096751615508753,alpha_0p00_nocap,0.02200096216569719,100,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0056693997340904675,,0.004448325239422309,-21.537985535325,alpha_0p00_nocap,0.02200096216569719,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.004934623402238123,,0.004753039235955397,-3.67979785854311,alpha_0p00_nocap,0.02200096216569719,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0013816404339982303,,0.0012259724775936789,-11.266893511076182,alpha_0p00_nocap,0.02200096216569719,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.005612615040270773,,0.0053424278072711886,-4.8139277513419065,alpha_0p00_nocap,0.0369957665765904,400,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
