attenuation,base_mae,base_nuisance,base_tau,corr_mae,delta_pct,kappa,mode,nonharm,nuisance,route,scale,source_families,source_kappa,target_curve,target_family,target_label,tau,train_curves,win
,0.0037480705220761528,,,0.001534891140226497,-59.0484989226862,0.027361447541414962,self_fit_no_nuisance,1,none,finite_tail,100,,,wsd_20000_24000.csv,,WSD sharp,5120.0,wsd_20000_24000,1
,0.004701998914275349,,,0.0017093885736455844,-63.64549195330837,0.03694554593362135,self_fit_no_nuisance,1,none,finite_tail,400,,,wsd_20000_24000.csv,,WSD sharp,5120.0,wsd_20000_24000,1
,0.0031360955249893426,,,0.002073697243682847,-33.876464311784815,0.017661820970813195,self_fit_no_nuisance,1,none,finite_tail,25,,,wsdld_20000_24000.csv,,WSD linear,5120.0,wsdld_20000_24000,1
,0.003248313740665229,,,0.001578520240842642,-51.40493293239052,0.02722931495058765,self_fit_no_nuisance,1,none,finite_tail,100,,,wsdld_20000_24000.csv,,WSD linear,5120.0,wsdld_20000_24000,1
,0.0038535563963712593,,,0.0016961389424849926,-55.98510134476871,0.03539944906810893,self_fit_no_nuisance,1,none,finite_tail,400,,,wsdld_20000_24000.csv,,WSD linear,5120.0,wsdld_20000_24000,1
,0.004487187642230267,,,0.002030910520696496,-54.73979065232333,0.026328445418889443,self_fit_no_nuisance,1,none,full_step_drop,25,,,wsdcon_3.csv,,WSD-con 3e-5,1536.0,wsdcon_3,1
,0.0056693997340904675,,,0.0031371836376563396,-44.66462439061668,0.03475980296646558,self_fit_no_nuisance,1,none,full_step_drop,100,,,wsdcon_3.csv,,WSD-con 3e-5,1536.0,wsdcon_3,1
,0.008173606778800102,,,0.0038502301358924454,-52.89435569767322,0.05428317162440374,self_fit_no_nuisance,1,none,full_step_drop,400,,,wsdcon_3.csv,,WSD-con 3e-5,1536.0,wsdcon_3,1
,0.002926482771138891,,,0.0021768216171657436,-25.6164554039525,0.01918508385569298,self_fit_no_nuisance,1,none,medium_step_drop,25,,,wsdcon_9.csv,,WSD-con 9e-5,768.0,wsdcon_9,1
,0.004934623402238123,,,0.004505370597987977,-8.698795617421517,0.020392632987393817,self_fit_no_nuisance,1,none,medium_step_drop,100,,,wsdcon_9.csv,,WSD-con 9e-5,768.0,wsdcon_9,1
,0.006687305974578527,,,0.0059391407839345205,-11.187841463933623,0.034890066134226363,self_fit_no_nuisance,1,none,medium_step_drop,400,,,wsdcon_9.csv,,WSD-con 9e-5,768.0,wsdcon_9,1
,0.002504818961791151,,,0.0019841505870340725,-20.78666692880502,0.031472810651436686,self_fit_no_nuisance,1,none,weak_step_drop,25,,,wsdcon_18.csv,,WSD-con 18e-5,512.0,wsdcon_18,1
,0.0013816404339982303,,,0.001213802066530332,-12.147760252079687,0.01891777374385104,self_fit_no_nuisance,1,none,weak_step_drop,100,,,wsdcon_18.csv,,WSD-con 18e-5,512.0,wsdcon_18,1
,0.0025579541942073844,,,0.0023888011325279065,-6.612826064772137,0.025814858760164074,self_fit_no_nuisance,1,none,weak_step_drop,400,,,wsdcon_18.csv,,WSD-con 18e-5,512.0,wsdcon_18,1
1.0,0.00744534704076948,,,0.005684219709436806,-23.654066381177863,0.017756741800537497,cross_family_residualized,1,dct4,smooth_from_full_step,25,single_step,0.017756741800537497,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,0.007265129575917493,,,0.00445710045181672,-38.650778279424635,0.02832918972515193,cross_family_residualized,1,dct4,smooth_from_full_step,100,single_step,0.02832918972515193,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,0.005612615040270773,,,0.0032139231922990426,-42.73750882184161,0.04583514445743976,cross_family_residualized,1,dct4,smooth_from_full_step,400,single_step,0.04583514445743976,cosine_72000.csv,smooth_decay,Cosine,8192.0,wsdcon_3,1
1.0,0.003408385839825258,,,0.00238249519208915,-30.099017421944918,0.014523978112329286,cross_family_residualized,1,dct4,finite_tail_from_steps,25,single_step,0.014523978112329286,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,0.0037480705220761528,,,0.0021168358596677043,-43.5219842529768,0.02322994306324732,cross_family_residualized,1,dct4,finite_tail_from_steps,100,single_step,0.02322994306324732,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,0.004701998914275349,,,0.0019099057677944582,-59.380982373348665,0.04022425295156022,cross_family_residualized,1,dct4,finite_tail_from_steps,400,single_step,0.04022425295156022,wsd_20000_24000.csv,finite_tail,WSD sharp,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,0.0031360955249893426,,,0.0023330385023287103,-25.606905665392997,0.014523978112329286,cross_family_residualized,1,dct4,finite_tail_from_steps,25,single_step,0.014523978112329286,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,0.003248313740665229,,,0.001971399428067355,-39.31006714691211,0.02322994306324732,cross_family_residualized,1,dct4,finite_tail_from_steps,100,single_step,0.02322994306324732,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,0.0038535563963712593,,,0.0017632034178402284,-54.244774528262596,0.04022425295156022,cross_family_residualized,1,dct4,finite_tail_from_steps,400,single_step,0.04022425295156022,wsdld_20000_24000.csv,finite_tail,WSD linear,3072.0,wsdcon_18+wsdcon_3+wsdcon_9,1
1.0,0.004487187642230267,,,0.002100257168326793,-53.19435388525668,0.025483621345232913,cross_family_residualized,1,dct2,full_step_from_finite_tail,25,finite_tail,0.025483621345232913,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,0.0056693997340904675,,,0.0029871944514670134,-47.31021639725243,0.037278701658680594,cross_family_residualized,1,dct2,full_step_from_finite_tail,100,finite_tail,0.037278701658680594,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
1.0,0.008173606778800102,,,0.0033560059070024163,-58.94094250157844,0.06494081529428139,cross_family_residualized,1,dct2,full_step_from_finite_tail,400,finite_tail,0.06494081529428139,wsdcon_3.csv,single_step,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
