estimator,train_curve,train_label,test_curve,test_label,mean_delta_pct,wins,tests,mean_kappa,max_kappa
amp_cap_tau_0p03_c_1p5,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,-0.630527345129935,3,3,0.00420825884061068,0.00548515705300214
amp_cap_tau_0p03_c_1p5,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,-3.4579615218720328,3,3,0.00420825884061068,0.00548515705300214
amp_cap_tau_0p03_c_1p5,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,-2.8247942745499945,3,3,0.00420825884061068,0.00548515705300214
amp_cap_tau_0p03_c_1p5,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,-10.42456222164129,3,3,0.00420825884061068,0.00548515705300214
amp_cap_tau_0p03_c_1p5,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,-4.715889298113355,3,3,0.00420825884061068,0.00548515705300214
amp_cap_tau_0p03_c_1p5,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,-3.4724505704110746,3,3,0.00420825884061068,0.00548515705300214
amp_cap_tau_0p03_c_2p0,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,-0.0004211596442482701,3,3,2.8522610272218023e-06,3.7765321567103438e-06
amp_cap_tau_0p03_c_2p0,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,-0.0022064022894211868,3,3,2.8522610272218023e-06,3.7765321567103438e-06
amp_cap_tau_0p03_c_2p0,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,-0.001843988775943976,3,3,2.8522610272218023e-06,3.7765321567103438e-06
amp_cap_tau_0p03_c_2p0,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,-0.006428290708415663,3,3,2.8522610272218023e-06,3.7765321567103438e-06
amp_cap_tau_0p03_c_2p0,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,-0.0024989470572167605,3,3,2.8522610272218023e-06,3.7765321567103438e-06
amp_cap_tau_0p03_c_2p0,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,-0.002347563840895036,3,3,2.8522610272218023e-06,3.7765321567103438e-06
amp_cap_tau_0p03_c_2p0,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,-0.4244394291729921,3,3,0.00287812622124999,0.0035504739567050513
amp_cap_tau_0p03_c_2p0,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,-2.2709748968772647,3,3,0.00287812622124999,0.0035504739567050513
amp_cap_tau_0p03_c_2p0,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,-1.8797078482433431,3,3,0.00287812622124999,0.0035504739567050513
amp_cap_tau_0p03_c_2p0,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,-6.746171957884202,3,3,0.00287812622124999,0.0035504739567050513
amp_cap_tau_0p03_c_2p0,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,-2.864731614750582,3,3,0.00287812622124999,0.0035504739567050513
amp_cap_tau_0p03_c_2p0,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,-2.2273717272039604,3,3,0.00287812622124999,0.0035504739567050513
amp_cap_tau_0p03_c_2p0,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,-0.43240044023742,3,3,0.0029157015650071766,0.0031802598278986966
amp_cap_tau_0p03_c_2p0,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,-2.3292619833731876,3,3,0.0029157015650071766,0.0031802598278986966
amp_cap_tau_0p03_c_2p0,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,-1.920667777320869,3,3,0.0029157015650071766,0.0031802598278986966
amp_cap_tau_0p03_c_2p0,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,-6.982782952541062,3,3,0.0029157015650071766,0.0031802598278986966
amp_cap_tau_0p03_c_2p0,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,-2.9979710638638544,3,3,0.0029157015650071766,0.0031802598278986966
amp_cap_tau_0p03_c_2p0,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,-2.3510477678773936,3,3,0.0029157015650071766,0.0031802598278986966
amp_cap_tau_0p03_c_2p0,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,-0.4352536339842339,3,3,0.0029422766590053474,0.003472189377403356
amp_cap_tau_0p03_c_2p0,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,-2.3216610721158437,3,3,0.0029422766590053474,0.003472189377403356
amp_cap_tau_0p03_c_2p0,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,-1.9242863449722591,3,3,0.0029422766590053474,0.003472189377403356
amp_cap_tau_0p03_c_2p0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,-6.7810176881960444,3,3,0.0029422766590053474,0.003472189377403356
amp_cap_tau_0p03_c_2p0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,-2.8184575589761915,3,3,0.0029422766590053474,0.003472189377403356
amp_cap_tau_0p03_c_2p0,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,-2.337113098006671,3,3,0.0029422766590053474,0.003472189377403356
amp_cap_tau_0p03_c_2p0,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,-0.989569926051744,3,3,0.006733581670473515,0.008541294114381714
amp_cap_tau_0p03_c_2p0,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,-5.23500995028748,3,3,0.006733581670473515,0.008541294114381714
amp_cap_tau_0p03_c_2p0,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,-4.368159797710876,3,3,0.006733581670473515,0.008541294114381714
amp_cap_tau_0p03_c_2p0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,-13.833546770734701,3,3,0.006733581670473515,0.008541294114381714
amp_cap_tau_0p03_c_2p0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,-5.331762861282889,3,3,0.006733581670473515,0.008541294114381714
amp_cap_tau_0p03_c_2p0,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,-4.636351969827257,3,3,0.006733581670473515,0.008541294114381714
amp_cap_tau_0p03_c_2p0,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,-0.840000183298332,3,3,0.005611011787480906,0.007313542737336186
