heldout_tests,max_kappa,mean_heldout,mean_kappa,mean_retention,median_heldout,train_id,train_label,train_size,wins,worst_heldout
9,0.0351607027078197,-20.238415169684824,0.024503865886393066,0.36465490193862715,-20.47802841606765,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3,9,-4.415929905010607
9,0.034938794529083876,-20.870038338545463,0.0250773186624647,0.43261806138911957,-21.2336620985641,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 18e-5,3,9,-4.389113453701022
9,0.04067367332302276,-15.355729855948747,0.02755423988348198,0.33505718024109354,-5.6972998838641935,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 18e-5,3,9,-2.8993580330696767
9,0.031952238831928576,-17.584710084285728,0.022177570538099,0.6055613248675219,-15.535223719884506,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3,9,-2.4083453531875576
9,0.0319970224663735,-16.58885014552679,0.022029098183003342,0.5619397218774527,-12.872290957481002,wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,3,9,-2.3394852159639656
9,0.034659658642483465,-15.290558154560964,0.023194631182284178,0.4813147332081515,-11.373257620322264,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 9e-5,3,9,-2.2635422511281478
9,0.027352727785446975,-10.049074253039457,0.019571330916998784,0.3723075451355447,-8.068652979547576,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3,9,-2.1166941925016225
9,0.027550969122973428,-9.223794154401231,0.01962797021894584,0.36590891222222993,-8.081583438965023,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,3,9,-2.1027701824709144
9,0.02866468849772191,-8.294138050171604,0.0201523112696784,0.342686401485212,-6.929143254180625,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD linear + WSD-con 3e-5,3,9,-2.082422167945297
9,0.026907659102517058,-9.975953796962601,0.019184150001555992,0.4299833861045024,-11.703162256966449,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3,9,-2.0737101479311626
9,0.027814484897538516,-9.236429675218853,0.01961115623326184,0.40850658302656506,-11.01339754481545,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3,9,-2.057434549121606
9,0.02795694758886818,-8.414547014701904,0.019648466605322348,0.402045211608227,-9.58638581716109,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,3,9,-2.046183618385833
9,0.04980132400225014,-13.643395969142787,0.03209399225900722,0.18784859918148866,-15.09758956347893,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3,7,0.9421362478586603
6,0.03143475365057548,-24.627934009097483,0.02187948779309222,0.5898851043352996,-21.41058009257023,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4,6,-14.26431313842269
6,0.031524564461849876,-23.172213333382974,0.021761175545869278,0.5488390705383795,-20.149508394854053,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,4,6,-10.850401840014035
6,0.026790678512343798,-13.536073129962462,0.01911932357633683,0.4272162027275832,-13.225138826366312,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4,6,-9.689570167499916
6,0.027839367012177967,-11.180617965573388,0.019584210610669218,0.39956441056936365,-11.220478036101007,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4,6,-6.832181644749424
6,0.02769459854739515,-12.411203908830048,0.01954536406020753,0.40591545390095646,-11.90541480115203,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4,6,-6.8151737471168765
6,0.03416410940615539,-21.247502157121932,0.02292106470407713,0.4706031523092806,-16.98004633203644,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4,6,-6.667248802874592
6,0.027213414480236613,-13.62660251155676,0.019494719380041037,0.3695816383635291,-13.52789951232155,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4,6,-5.367948028838199
