base_mae,corr_mae,delta_pct,feature,kappa,mode,scale,test_curve,test_group,test_label,train_curves,train_id,win
0.006687305974578527,0.006194319669088971,-7.371971723196458,S10_current,0.03646705120003114,group,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3,probe3,1
0.0025579541942073844,0.002396518712601939,-6.311116984464538,S10_current,0.03646705120003114,group,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3,probe3,1
0.00744534704076948,0.007262022086729694,-2.462275472666753,S10_current,0.016135752669323045,group,25,cosine_72000.csv,cosine,Cosine 72k,wsdcon_9,probe9,1
0.003408385839825258,0.0029056417948110013,-14.750209296727723,S10_current,0.016135752669323045,group,25,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_9,probe9,1
0.0031360955249893426,0.0027743224659741474,-11.535779319618289,S10_current,0.016135752669323045,group,25,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_9,probe9,1
0.004487187642230267,0.0027686674559162638,-38.29838026251666,S10_current,0.016135752669323045,group,25,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_9,probe9,1
0.002926482771138891,0.002199432037829934,-24.84384123081691,S10_current,0.016135752669323045,group,25,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_9,probe9,1
0.002504818961791151,0.002174671267236181,-13.180501249435094,S10_current,0.016135752669323045,group,25,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_9,probe9,1
0.007265129575917493,0.00708989660592381,-2.411973085442909,S10_current,0.015428668529379243,group,100,cosine_72000.csv,cosine,Cosine 72k,wsdcon_9,probe9,1
0.0037480705220761528,0.0032701683917427714,-12.750617351475524,S10_current,0.015428668529379243,group,100,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_9,probe9,1
0.003248313740665229,0.0029044168465793383,-10.586935916339879,S10_current,0.015428668529379243,group,100,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_9,probe9,1
0.0056693997340904675,0.004486745916900294,-20.860300431433675,S10_current,0.015428668529379243,group,100,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_9,probe9,1
0.004934623402238123,0.004657600930585799,-5.613852346395454,S10_current,0.015428668529379243,group,100,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_9,probe9,1
0.0013816404339982303,0.0012209160822973662,-11.632863930867698,S10_current,0.015428668529379243,group,100,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_9,probe9,1
0.005612615040270773,0.00540263656005773,-3.7411879971535167,S10_current,0.028340519806877164,group,400,cosine_72000.csv,cosine,Cosine 72k,wsdcon_9,probe9,1
0.004701998914275349,0.003816692699562259,-18.828294749819808,S10_current,0.028340519806877164,group,400,wsd_20000_24000.csv,wsd,WSD exp,wsdcon_9,probe9,1
0.0038535563963712593,0.0032174934070167624,-16.505869486001345,S10_current,0.028340519806877164,group,400,wsdld_20000_24000.csv,wsd,WSD linear,wsdcon_9,probe9,1
0.008173606778800102,0.00527053697781753,-35.51761027349969,S10_current,0.028340519806877164,group,400,wsdcon_3.csv,probe,WSD-con 3e-5,wsdcon_9,probe9,1
0.006687305974578527,0.006143421859152095,-8.13308255213656,S10_current,0.028340519806877164,group,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_9,probe9,1
0.0025579541942073844,0.0023816840665979084,-6.891058800374472,S10_current,0.028340519806877164,group,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_9,probe9,1
0.00744534704076948,0.0010712923831922429,-85.61124985408975,step_tau1024,0.5217620665597293,group,25,cosine_72000.csv,cosine,Cosine 72k,cosine_72000,cosine,1
0.003408385839825258,0.019683762910014776,477.50981945823156,step_tau1024,0.5217620665597293,group,25,wsd_20000_24000.csv,wsd,WSD exp,cosine_72000,cosine,0
0.0031360955249893426,0.017136425612620916,446.42549871560914,step_tau1024,0.5217620665597293,group,25,wsdld_20000_24000.csv,wsd,WSD linear,cosine_72000,cosine,0
0.004487187642230267,0.04007997132909254,793.2091662913296,step_tau1024,0.5217620665597293,group,25,wsdcon_3.csv,probe,WSD-con 3e-5,cosine_72000,cosine,0
0.002926482771138891,0.033605778103710994,1048.3333657430942,step_tau1024,0.5217620665597293,group,25,wsdcon_9.csv,probe,WSD-con 9e-5,cosine_72000,cosine,0
0.002504818961791151,0.018291366618536385,630.2470516853864,step_tau1024,0.5217620665597293,group,25,wsdcon_18.csv,probe,WSD-con 18e-5,cosine_72000,cosine,0
0.007265129575917493,0.000986502278465856,-86.42140834299884,step_tau1024,0.5539993714799405,group,100,cosine_72000.csv,cosine,Cosine 72k,cosine_72000,cosine,1
0.0037480705220761528,0.019404427683973574,417.71778491576947,step_tau1024,0.5539993714799405,group,100,wsd_20000_24000.csv,wsd,WSD exp,cosine_72000,cosine,0
0.003248313740665229,0.016927852721522287,421.1273932565269,step_tau1024,0.5539993714799405,group,100,wsdld_20000_24000.csv,wsd,WSD linear,cosine_72000,cosine,0
0.0056693997340904675,0.03746661531518985,560.8568291613072,step_tau1024,0.5539993714799405,group,100,wsdcon_3.csv,probe,WSD-con 3e-5,cosine_72000,cosine,0
0.004934623402238123,0.0335966482681594,580.8351018827793,step_tau1024,0.5539993714799405,group,100,wsdcon_9.csv,probe,WSD-con 9e-5,cosine_72000,cosine,0
0.0013816404339982303,0.018037834020030258,1205.5375028242233,step_tau1024,0.5539993714799405,group,100,wsdcon_18.csv,probe,WSD-con 18e-5,cosine_72000,cosine,0
0.005612615040270773,0.003202093189813766,-42.94828405585278,step_tau1024,0.3653683575823281,group,400,cosine_72000.csv,cosine,Cosine 72k,cosine_72000,cosine,1
