base_mae,corr_mae,curve,delta_pct,feature,group,kappa,label,mode,scale,win
0.0013816404339982303,0.0013299465786778108,wsdcon_18.csv,-3.7414839670569244,step_tau1024,probe,0.012260036404684286,WSD-con 18e-5,self,100,1
0.005612615040270773,0.003202093189813766,cosine_72000.csv,-42.94828405585278,step_tau1024,cosine,0.3653683575823281,Cosine 72k,self,400,1
0.004701998914275349,0.0026494711224902285,wsd_20000_24000.csv,-43.652238743688585,step_tau1024,wsd,0.07893474199196372,WSD exp,self,400,1
0.0038535563963712593,0.0020887506121356402,wsdld_20000_24000.csv,-45.79680696764854,step_tau1024,wsd,0.0748392774677401,WSD linear,self,400,1
0.008173606778800102,0.004928051469007379,wsdcon_3.csv,-39.70774956058231,step_tau1024,probe,0.06074939798590149,WSD-con 3e-5,self,400,1
0.006687305974578527,0.006076905648261254,wsdcon_9.csv,-9.127746339672216,step_tau1024,probe,0.029972285972073538,WSD-con 9e-5,self,400,1
0.0025579541942073844,0.0025153492628757603,wsdcon_18.csv,-1.6655861714844233,step_tau1024,probe,0.0169524253951846,WSD-con 18e-5,self,400,1
0.00744534704076948,0.001147001015413392,cosine_72000.csv,-84.59439151549813,step_tau1536,cosine,0.34762324981468845,Cosine 72k,self,25,1
0.003408385839825258,0.002210991127580505,wsd_20000_24000.csv,-35.13084399817073,step_tau1536,wsd,0.02923627950752572,WSD exp,self,25,1
0.0031360955249893426,0.0020265846920755476,wsdld_20000_24000.csv,-35.37873205943131,step_tau1536,wsd,0.02923281778728674,WSD linear,self,25,1
0.004487187642230267,0.002030910520696496,wsdcon_3.csv,-54.73979065232333,step_tau1536,probe,0.026328445418889443,WSD-con 3e-5,self,25,1
0.002926482771138891,0.0023844716727206895,wsdcon_9.csv,-18.52090515493684,step_tau1536,probe,0.012989699498744147,WSD-con 9e-5,self,25,1
0.002504818961791151,0.0014953688213527271,wsdcon_18.csv,-40.30032333021721,step_tau1536,probe,0.022948593546607377,WSD-con 18e-5,self,25,1
0.007265129575917493,0.0009261471882547048,cosine_72000.csv,-87.25215870444066,step_tau1536,cosine,0.3703796271726921,Cosine 72k,self,100,1
0.0037480705220761528,0.0018827422762507184,wsd_20000_24000.csv,-49.76769339954097,step_tau1536,wsd,0.04613015548727486,WSD exp,self,100,1
0.003248313740665229,0.0016048878660458474,wsdld_20000_24000.csv,-50.593200220949754,step_tau1536,wsd,0.0448322592708338,WSD linear,self,100,1
0.0056693997340904675,0.0031371836376563396,wsdcon_3.csv,-44.66462439061668,step_tau1536,probe,0.03475980296646558,WSD-con 3e-5,self,100,1
0.004934623402238123,0.004798052797666458,wsdcon_9.csv,-2.7675993371596097,step_tau1536,probe,0.010296651554581012,WSD-con 9e-5,self,100,1
0.0013816404339982303,0.0014150161808318417,wsdcon_18.csv,2.4156608342032815,step_tau1536,probe,0.008304386967018795,WSD-con 18e-5,self,100,0
0.005612615040270773,0.003170587214417534,cosine_72000.csv,-43.509626231829124,step_tau1536,cosine,0.24535087131918945,Cosine 72k,self,400,1
0.004701998914275349,0.002322800772075713,wsd_20000_24000.csv,-50.59971696242527,step_tau1536,wsd,0.06181298956212281,WSD exp,self,400,1
0.0038535563963712593,0.0019528956584050686,wsdld_20000_24000.csv,-49.3222504737693,step_tau1536,wsd,0.057730582534765255,WSD linear,self,400,1
0.008173606778800102,0.0038502301358924454,wsdcon_3.csv,-52.89435569767322,step_tau1536,probe,0.05428317162440374,WSD-con 3e-5,self,400,1
0.006687305974578527,0.0064361739730059995,wsdcon_9.csv,-3.755353837960973,step_tau1536,probe,0.021185485931386503,WSD-con 9e-5,self,400,1
0.0025579541942073844,0.0026034430875459184,wsdcon_18.csv,1.7783310366364713,step_tau1536,probe,0.010686341627977965,WSD-con 18e-5,self,400,0
0.00744534704076948,0.0012742985602372573,cosine_72000.csv,-82.88463179406668,step_tau2304,cosine,0.23160137949842455,Cosine 72k,self,25,1
