base_mae,base_nuisance,base_tau,corr_mae,delta_pct,kappa,mode,nonharm,nuisance,route,scale,target_curve,target_label,tau,train_curves,win
0.0056693997340904675,dct2,1536.0,0.0029871944514670134,-47.31021639725243,0.037278701658680594,shape_routed_extended_safety,1,dct2,full_step_drop,100,wsdcon_3.csv,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
0.008173606778800102,dct2,1536.0,0.0033560059070024163,-58.94094250157844,0.06494081529428139,shape_routed_extended_safety,1,dct2,full_step_drop,400,wsdcon_3.csv,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
0.002926482771138891,dct2,768.0,0.002144786032250253,-26.711134150447336,0.02186087541729957,shape_routed_extended_safety,1,dct2,medium_step_drop,25,wsdcon_9.csv,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
0.004934623402238123,dct2,768.0,0.004502400632784539,-8.75898187605455,0.026540932349003385,shape_routed_extended_safety,1,dct2,medium_step_drop,100,wsdcon_9.csv,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
0.006687305974578527,dct2,768.0,0.005870670454909265,-12.211726557356029,0.0391354562845826,shape_routed_extended_safety,1,dct2,medium_step_drop,400,wsdcon_9.csv,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
0.002504818961791151,none,512.0,0.00209613761197458,-16.315803898431447,0.02147010144323278,shape_routed_extended_safety,1,none,weak_step_drop,25,wsdcon_18.csv,WSD-con 18e-5,512.0,wsdcon_9,1
0.0013816404339982303,none,512.0,0.0012184901180827513,-11.808449716787027,0.024039524082155365,shape_routed_extended_safety,1,none,weak_step_drop,100,wsdcon_18.csv,WSD-con 18e-5,512.0,wsdcon_9,1
0.0025579541942073844,none,512.0,0.002378104999390537,-7.030977928538551,0.039003369467519484,shape_routed_extended_safety,1,none,weak_step_drop,400,wsdcon_18.csv,WSD-con 18e-5,512.0,wsdcon_9,1
0.004428106847791531,none,0.0,0.004428106847791531,0.0,0.0,shape_routed_extended_safety,1,none,short_smooth_no_transfer,25,cosine_24000.csv,Cosine 24k,0.0,none,0
0.0032781062167547585,none,0.0,0.0032781062167547585,0.0,0.0,shape_routed_extended_safety,1,none,short_smooth_no_transfer,100,cosine_24000.csv,Cosine 24k,0.0,none,0
0.007134640765897494,none,0.0,0.007134640765897494,0.0,0.0,shape_routed_extended_safety,1,none,short_smooth_no_transfer,400,cosine_24000.csv,Cosine 24k,0.0,none,0
0.003761619732988638,none,0.0,0.003761619732988638,0.0,0.0,shape_routed_extended_safety,1,none,no_lr_drop,25,constant_24000.csv,Constant 24k,0.0,none,0
0.001848699219840022,none,0.0,0.001848699219840022,0.0,0.0,shape_routed_extended_safety,1,none,no_lr_drop,100,constant_24000.csv,Constant 24k,0.0,none,0
0.001679822173746335,none,0.0,0.001679822173746335,0.0,0.0,shape_routed_extended_safety,1,none,no_lr_drop,400,constant_24000.csv,Constant 24k,0.0,none,0
0.0015795124507172926,none,0.0,0.0015795124507172926,0.0,0.0,shape_routed_extended_safety,1,none,no_lr_drop,25,constant_72000.csv,Constant 72k,0.0,none,0
0.004776169698442608,none,0.0,0.004776169698442608,0.0,0.0,shape_routed_extended_safety,1,none,no_lr_drop,100,constant_72000.csv,Constant 72k,0.0,none,0
0.004118245803084534,none,0.0,0.004118245803084534,0.0,0.0,shape_routed_extended_safety,1,none,no_lr_drop,400,constant_72000.csv,Constant 72k,0.0,none,0
