audit,base_mae,base_nuisance,base_tau,corr_mae,delta_pct,description,kappa,mode,nonharm,nuisance,route,scale,target_curve,target_label,tau,train_curves,win
no_short_smooth_gate,0.004428106847791531,dct4,8192.0,0.0069924135985843395,57.90977586892983,ablation that lets cosine_24000 transfer as a long smooth decay,0.017756741800537497,no_short_smooth_gate,0,dct4,smooth_decay_no_short_gate,25,cosine_24000.csv,Cosine 24k,8192.0,wsdcon_3,0
no_short_smooth_gate,0.0032781062167547585,dct4,8192.0,0.008327873556001448,154.04526288491743,ablation that lets cosine_24000 transfer as a long smooth decay,0.02832918972515193,no_short_smooth_gate,0,dct4,smooth_decay_no_short_gate,100,cosine_24000.csv,Cosine 24k,8192.0,wsdcon_3,0
no_short_smooth_gate,0.007134640765897494,dct4,8192.0,0.017765396005714116,149.00196924602045,ablation that lets cosine_24000 transfer as a long smooth decay,0.04583514445743976,no_short_smooth_gate,0,dct4,smooth_decay_no_short_gate,400,cosine_24000.csv,Cosine 24k,8192.0,wsdcon_3,0
no_short_smooth_gate,0.003761619732988638,none,0.0,0.003761619732988638,0.0,ablation that lets cosine_24000 transfer as a long smooth decay,0.0,no_short_smooth_gate,1,none,no_lr_drop,25,constant_24000.csv,Constant 24k,0.0,none,0
no_short_smooth_gate,0.001848699219840022,none,0.0,0.001848699219840022,0.0,ablation that lets cosine_24000 transfer as a long smooth decay,0.0,no_short_smooth_gate,1,none,no_lr_drop,100,constant_24000.csv,Constant 24k,0.0,none,0
no_short_smooth_gate,0.001679822173746335,none,0.0,0.001679822173746335,0.0,ablation that lets cosine_24000 transfer as a long smooth decay,0.0,no_short_smooth_gate,1,none,no_lr_drop,400,constant_24000.csv,Constant 24k,0.0,none,0
no_short_smooth_gate,0.0015795124507172926,none,0.0,0.0015795124507172926,0.0,ablation that lets cosine_24000 transfer as a long smooth decay,0.0,no_short_smooth_gate,1,none,no_lr_drop,25,constant_72000.csv,Constant 72k,0.0,none,0
no_short_smooth_gate,0.004776169698442608,none,0.0,0.004776169698442608,0.0,ablation that lets cosine_24000 transfer as a long smooth decay,0.0,no_short_smooth_gate,1,none,no_lr_drop,100,constant_72000.csv,Constant 72k,0.0,none,0
no_short_smooth_gate,0.004118245803084534,none,0.0,0.004118245803084534,0.0,ablation that lets cosine_24000 transfer as a long smooth decay,0.0,no_short_smooth_gate,1,none,no_lr_drop,400,constant_72000.csv,Constant 72k,0.0,none,0
no_nuisance_projection,0.00744534704076948,dct4,8192.0,0.006376339058971219,-14.358067877085535,core routes with nuisance projection disabled,0.010778379494651007,no_nuisance_projection,1,none,smooth_decay,25,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
no_nuisance_projection,0.007265129575917493,dct4,8192.0,0.0062209427233865825,-14.372584020967627,core routes with nuisance projection disabled,0.010529130678293495,no_nuisance_projection,1,none,smooth_decay,100,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
no_nuisance_projection,0.005612615040270773,dct4,8192.0,0.004228840341558729,-24.654723133216805,core routes with nuisance projection disabled,0.020647941159521073,no_nuisance_projection,1,none,smooth_decay,400,cosine_72000.csv,Cosine,8192.0,wsdcon_3,1
no_nuisance_projection,0.003408385839825258,none,5120.0,0.002015953973310823,-40.8531173391397,core routes with nuisance projection disabled,0.017661820970813195,no_nuisance_projection,1,none,finite_tail,25,wsd_20000_24000.csv,WSD sharp,5120.0,wsdld_20000_24000,1
no_nuisance_projection,0.0037480705220761528,none,5120.0,0.0015319686879696078,-59.126471101696055,core routes with nuisance projection disabled,0.02722931495058765,no_nuisance_projection,1,none,finite_tail,100,wsd_20000_24000.csv,WSD sharp,5120.0,wsdld_20000_24000,1
no_nuisance_projection,0.004701998914275349,none,5120.0,0.0017404710026445599,-62.98444482068126,core routes with nuisance projection disabled,0.03539944906810893,no_nuisance_projection,1,none,finite_tail,400,wsd_20000_24000.csv,WSD sharp,5120.0,wsdld_20000_24000,1
no_nuisance_projection,0.0031360955249893426,none,5120.0,0.002071816228986321,-33.93644382074867,core routes with nuisance projection disabled,0.017299103194726963,no_nuisance_projection,1,none,finite_tail,25,wsdld_20000_24000.csv,WSD linear,5120.0,wsd_20000_24000,1
no_nuisance_projection,0.003248313740665229,none,5120.0,0.0015788212898153425,-51.39566507845967,core routes with nuisance projection disabled,0.027361447541414962,no_nuisance_projection,1,none,finite_tail,100,wsdld_20000_24000.csv,WSD linear,5120.0,wsd_20000_24000,1
no_nuisance_projection,0.0038535563963712593,none,5120.0,0.0017453231921253076,-54.70876736697537,core routes with nuisance projection disabled,0.03694554593362135,no_nuisance_projection,1,none,finite_tail,400,wsdld_20000_24000.csv,WSD linear,5120.0,wsd_20000_24000,1
no_nuisance_projection,0.004487187642230267,dct2,1536.0,0.0018681653954806699,-58.366675422734595,core routes with nuisance projection disabled,0.029234822517060725,no_nuisance_projection,1,none,full_step_drop,25,wsdcon_3.csv,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
no_nuisance_projection,0.0056693997340904675,dct2,1536.0,0.0032348401535444594,-42.94210489175501,core routes with nuisance projection disabled,0.04558388881020212,no_nuisance_projection,1,none,full_step_drop,100,wsdcon_3.csv,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
no_nuisance_projection,0.008173606778800102,dct2,1536.0,0.0034115360398824447,-58.26155903742578,core routes with nuisance projection disabled,0.06008455401630307,no_nuisance_projection,1,none,full_step_drop,400,wsdcon_3.csv,WSD-con 3e-5,1536.0,wsd_20000_24000+wsdld_20000_24000,1
no_nuisance_projection,0.002926482771138891,dct2,768.0,0.002454975997545174,-16.11172217529311,core routes with nuisance projection disabled,0.03116516808947806,no_nuisance_projection,1,none,medium_step_drop,25,wsdcon_9.csv,WSD-con 9e-5,768.0,wsdcon_3+wsdcon_18,1
