estimator,train_family,test_family,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,max_kappa
gated_cap_0p04,WSD-con step,WSD sharp,0.003952818425392253,0.003199469608571433,-19.058523204137867,3,3,0.024208610401960887,0.03469206327068293
gated_cap_0p04,WSD-con step,WSD linear,0.003412655220675277,0.0028705005878308584,-15.886592632030972,3,3,0.024208610401960887,0.03469206327068293
gated_cap_0p04,WSD-con step,WSD-con step,0.0043692244325636825,0.00345515907794588,-20.92054021773988,9,9,0.024208610401960887,0.03469206327068293
gated_cap_0p03,Cosine decay,Cosine decay,0.006774363885652582,0.006774363885652582,0.0,0,3,0.0,0.0
gated_cap_0p03,Cosine decay,WSD sharp,0.003952818425392253,0.003952818425392253,0.0,0,3,0.0,0.0
gated_cap_0p03,Cosine decay,WSD linear,0.003412655220675277,0.003412655220675277,0.0,0,3,0.0,0.0
gated_cap_0p03,Cosine decay,WSD-con step,0.0043692244325636825,0.0043692244325636825,0.0,0,9,0.0,0.0
gated_cap_0p03,WSD sharp,Cosine decay,0.006774363885652582,0.006473252314864904,-4.444868564344495,3,3,0.03,0.03
gated_cap_0p03,WSD sharp,WSD sharp,0.003952818425392253,0.0030200688479591967,-23.597076239101366,3,3,0.03,0.03
gated_cap_0p03,WSD sharp,WSD linear,0.003412655220675277,0.002741118716890095,-19.67783032158468,3,3,0.03,0.03
gated_cap_0p03,WSD sharp,WSD-con step,0.0043692244325636825,0.003837384186159585,-12.172417659306078,6,9,0.03,0.03
gated_cap_0p03,WSD linear,Cosine decay,0.006774363885652582,0.006473252314864904,-4.444868564344495,3,3,0.03,0.03
gated_cap_0p03,WSD linear,WSD sharp,0.003952818425392253,0.0030200688479591967,-23.597076239101366,3,3,0.03,0.03
gated_cap_0p03,WSD linear,WSD linear,0.003412655220675277,0.002741118716890095,-19.67783032158468,3,3,0.03,0.03
gated_cap_0p03,WSD linear,WSD-con step,0.0043692244325636825,0.003837384186159585,-12.172417659306078,6,9,0.03,0.03
gated_cap_0p03,WSD-con step,Cosine decay,0.006774363885652582,0.006556807781391255,-3.2114617391913125,3,3,0.022644589311733243,0.03
gated_cap_0p03,WSD-con step,WSD sharp,0.003952818425392253,0.0032476938571368522,-17.838526650397014,3,3,0.022644589311733243,0.03
gated_cap_0p03,WSD-con step,WSD linear,0.003412655220675277,0.0029056028349612115,-14.858002139862613,3,3,0.022644589311733243,0.03
gated_cap_0p03,WSD-con step,WSD-con step,0.0043692244325636825,0.0034649963742618317,-20.695390503693734,9,9,0.022644589311733243,0.03
gated_cap_0p02,Cosine decay,Cosine decay,0.006774363885652582,0.006774363885652582,0.0,0,3,0.0,0.0
gated_cap_0p02,Cosine decay,WSD sharp,0.003952818425392253,0.003952818425392253,0.0,0,3,0.0,0.0
gated_cap_0p02,Cosine decay,WSD linear,0.003412655220675277,0.003412655220675277,0.0,0,3,0.0,0.0
gated_cap_0p02,Cosine decay,WSD-con step,0.0043692244325636825,0.0043692244325636825,0.0,0,9,0.0,0.0
gated_cap_0p02,WSD sharp,Cosine decay,0.006774363885652582,0.0065728858685482686,-2.9741245156762797,3,3,0.02,0.02
gated_cap_0p02,WSD sharp,WSD sharp,0.003952818425392253,0.00333034995704045,-15.7474591889465,3,3,0.02,0.02
gated_cap_0p02,WSD sharp,WSD linear,0.003412655220675277,0.002964964218151824,-13.118553547723078,3,3,0.02,0.02
gated_cap_0p02,WSD sharp,WSD-con step,0.0043692244325636825,0.0035725663540146463,-18.23339795986607,9,9,0.02,0.02
gated_cap_0p02,WSD linear,Cosine decay,0.006774363885652582,0.0065728858685482686,-2.9741245156762797,3,3,0.02,0.02
gated_cap_0p02,WSD linear,WSD sharp,0.003952818425392253,0.00333034995704045,-15.7474591889465,3,3,0.02,0.02
gated_cap_0p02,WSD linear,WSD linear,0.003412655220675277,0.002964964218151824,-13.118553547723078,3,3,0.02,0.02
gated_cap_0p02,WSD linear,WSD-con step,0.0043692244325636825,0.0035725663540146463,-18.23339795986607,9,9,0.02,0.02
gated_cap_0p02,WSD-con step,Cosine decay,0.006774363885652582,0.006581450607342154,-2.847695836342634,3,3,0.01924615550796485,0.02
gated_cap_0p02,WSD-con step,WSD sharp,0.003952818425392253,0.0033538376019619036,-15.1532592436474,3,3,0.01924615550796485,0.02
gated_cap_0p02,WSD-con step,WSD linear,0.003412655220675277,0.002981865854753119,-12.623290020985944,3,3,0.01924615550796485,0.02
