base_locality,base_mae,coef,corr_mae,delta_pct,group,lambda,locality,power,scale,test_curve,test_label,win
0.8168498168498168,0.0037480705220761528,0.05858811366379673,0.0018413829541510788,-50.871176427836005,core_wsd,7.2284552974545955,0.8168498168498168,1.0,100,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.003248313740665229,0.05859225603181786,0.001900343538099771,-41.49753718953897,core_wsd,7.223478858982098,0.8168498168498168,1.0,100,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.0056693997340904675,0.04304751774595571,0.003321497014850885,-41.413603368298254,core_wsd,20.0,0.9998554913294798,1.0,100,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.004934623402238123,0.04304751774595571,0.004673069735139738,-5.300377471151208,core_wsd,20.0,0.9998554913294798,1.0,100,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.0013816404339982303,0.04304751774595571,0.0012648330235404482,-8.454255360764273,core_wsd,20.0,0.9998554913294798,1.0,100,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.0032781062167547585,0.05859414941329983,0.0032781062167547585,0.0,extra_control,7.221202285244404,0.0,1.0,100,cosine_24000.csv,Cosine 24k,0
0.0,0.001848699219840022,0.05859491356579989,0.001848699219840022,0.0,extra_control,7.220283130832764,0.0,1.0,100,constant_24000.csv,Constant 24k,0
0.0,0.004776169698442608,0.05859491356579989,0.004776169698442608,0.0,extra_control,7.220283130832764,0.0,1.0,100,constant_72000.csv,Constant 72k,0
0.8168498168498168,0.004701998914275349,0.08289225770142289,0.0020925729293970003,-55.496099264423194,core_wsd,7.2284552974545955,0.8168498168498168,1.0,400,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.0038535563963712593,0.08289862148646569,0.0019793710393978857,-48.635212883823876,core_wsd,7.223478858982098,0.8168498168498168,1.0,400,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.008173606778800102,0.06055693382186499,0.0032082023704124844,-60.7492450122068,core_wsd,20.0,0.9998554913294798,1.0,400,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.006687305974578527,0.06055693382186499,0.0057641344398159855,-13.804834686373468,core_wsd,20.0,0.9998554913294798,1.0,400,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.0025579541942073844,0.06055693382186499,0.0023935204634165114,-6.428329763028651,core_wsd,20.0,0.9998554913294798,1.0,400,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.007134640765897494,0.08290153067889618,0.007134640765897494,0.0,extra_control,7.221202285244404,0.0,1.0,400,cosine_24000.csv,Cosine 24k,0
0.0,0.001679822173746335,0.08290270488454092,0.001679822173746335,0.0,extra_control,7.220283130832764,0.0,1.0,400,constant_24000.csv,Constant 24k,0
0.0,0.004118245803084534,0.08290270488454092,0.004118245803084534,0.0,extra_control,7.220283130832764,0.0,1.0,400,constant_72000.csv,Constant 72k,0
0.8168498168498168,0.003408385839825258,0.04192488930132332,0.0022849682817453194,-32.960398583792205,core_wsd,7.2284552974545955,0.6672436232875794,2.0,25,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.0031360955249893426,0.041928432867079216,0.0023435246536465193,-25.272536025366023,core_wsd,7.223478858982098,0.6672436232875794,2.0,25,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.004487187642230267,0.030435154786451212,0.0019249882006121485,-57.10034092411229,core_wsd,20.0,0.9997110035417155,2.0,25,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.002926482771138891,0.030435154786451212,0.0023403815640396643,-20.027495561545205,core_wsd,20.0,0.9997110035417155,2.0,25,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.002504818961791151,0.030435154786451212,0.002193318706150041,-12.43603870749852,core_wsd,20.0,0.9997110035417155,2.0,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.004428106847791531,0.041930053082818906,0.004428106847791531,0.0,extra_control,7.221202285244404,0.0,2.0,25,cosine_24000.csv,Cosine 24k,0
0.0,0.003761619732988638,0.04193070708296342,0.003761619732988638,0.0,extra_control,7.220283130832764,0.0,2.0,25,constant_24000.csv,Constant 24k,0
0.0,0.0015795124507172926,0.04193070708296342,0.0015795124507172926,0.0,extra_control,7.220283130832764,0.0,2.0,25,constant_72000.csv,Constant 72k,0
0.8168498168498168,0.0037480705220761528,0.05858811366379673,0.0021822661170809742,-41.77627917544729,core_wsd,7.2284552974545955,0.6672436232875794,2.0,100,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.003248313740665229,0.05859225603181786,0.0021472245275806295,-33.89725565299321,core_wsd,7.223478858982098,0.6672436232875794,2.0,100,wsdld_20000_24000.csv,WSD linear,1
