delta_pct,kappa,method,scale,target_factor,target_retention,test_curve,test_label,train_curve,train_label,win
-3.991564560884675,0.030319283291837206,final_no_cap,400,,,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
-20.142905151777455,0.030319283291837206,final_no_cap,400,,,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
-17.65832582939163,0.030319283291837206,final_no_cap,400,,,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
-36.664842837977886,0.030319283291837206,final_no_cap,400,,,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
-7.021648672664071,0.030319283291837206,final_no_cap,400,,,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
-3.3707362392999207,0.022089066343158444,final_no_cap,25,,,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
-20.192324362428728,0.022089066343158444,final_no_cap,25,,,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
-15.791924921824696,0.022089066343158444,final_no_cap,25,,,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
-32.00902237990749,0.022089066343158444,final_no_cap,25,,,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
-16.31436607817436,0.022089066343158444,final_no_cap,25,,,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
-2.6138868471012877,0.016720250313168705,final_no_cap,100,,,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
-13.818011149707399,0.016720250313168705,final_no_cap,100,,,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
-11.473201218472228,0.016720250313168705,final_no_cap,100,,,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
-21.41205071845841,0.016720250313168705,final_no_cap,100,,,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
-5.462741306929875,0.016720250313168705,final_no_cap,100,,,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
-3.6824139507860565,0.027876019715167843,final_no_cap,400,,,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
-18.51969968178244,0.027876019715167843,final_no_cap,400,,,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
-16.235338883802186,0.027876019715167843,final_no_cap,400,,,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
-35.20887936720778,0.027876019715167843,final_no_cap,400,,,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
-8.102785139596957,0.027876019715167843,final_no_cap,400,,,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
-12.526656751606913,0.013703333359633963,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.19363028951346634,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
-9.79679304829898,0.013703333359633963,nextgen_safe_rho0p5_Rtarget0p01,25,1.0,0.24367405422491062,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
