fit_start,group,mean_base_vs_official_baseline,mean_corr_vs_official_baseline,mean_delta_vs_own_baseline,nonharm_vs_own_baseline,protocol,rows,shrinkage,tangent_group,wins_vs_own_baseline,worst_corr_vs_official_baseline,worst_delta_vs_own_baseline
2160,core_wsd,0.0,0.0,0.0,15,frozen_official,15,orth_ols,ld4,0,0.0,0.0
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,ld4,0,0.0,0.0
2160,core_wsd,0.0,0.0,0.0,15,frozen_official,15,sqrt_retention,ld4,0,0.0,0.0
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,ld4,0,0.0,0.0
2160,core_wsd,0.0,14.308178654001129,14.308178654001129,6,frozen_official,15,full_energy,none,6,65.60962189935505,65.60962189935505
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,none,0,0.0,0.0
2160,core_wsd,0.0,14.308178654001129,14.308178654001129,6,frozen_official,15,orth_ols,none,6,65.60962189935505,65.60962189935505
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,none,0,0.0,0.0
2160,core_wsd,0.0,14.308178654001129,14.308178654001129,6,frozen_official,15,sqrt_retention,none,6,65.60962189935505,65.60962189935505
2160,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,none,0,0.0,0.0
5000,core_wsd,0.0,0.0,0.0,15,frozen_official,15,full_energy,all7,0,0.0,0.0
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,all7,0,0.0,0.0
5000,core_wsd,0.0,0.0,0.0,15,frozen_official,15,orth_ols,all7,0,0.0,0.0
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,all7,0,0.0,0.0
5000,core_wsd,0.0,0.0,0.0,15,frozen_official,15,sqrt_retention,all7,0,0.0,0.0
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,all7,0,0.0,0.0
5000,core_wsd,0.0,-1.6857420007655015,-1.6857420007655015,15,frozen_official,15,full_energy,ld4,15,-0.2570523200685626,-0.2570523200685626
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,ld4,0,0.0,0.0
5000,core_wsd,0.0,7.470001939247279,7.470001939247279,9,frozen_official,15,orth_ols,ld4,9,100.91964527685545,100.91964527685545
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,ld4,0,0.0,0.0
5000,core_wsd,0.0,-8.28971553831554,-8.28971553831554,15,frozen_official,15,sqrt_retention,ld4,15,-1.4757622076961963,-1.4757622076961963
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,ld4,0,0.0,0.0
5000,core_wsd,0.0,14.579483411682276,14.579483411682276,6,frozen_official,15,full_energy,none,6,65.62635735116808,65.62635735116808
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,none,0,0.0,0.0
5000,core_wsd,0.0,14.579483411682276,14.579483411682276,6,frozen_official,15,orth_ols,none,6,65.62635735116808,65.62635735116808
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,none,0,0.0,0.0
5000,core_wsd,0.0,14.579483411682276,14.579483411682276,6,frozen_official,15,sqrt_retention,none,6,65.62635735116808,65.62635735116808
5000,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,none,0,0.0,0.0
8000,core_wsd,0.0,0.0,0.0,15,frozen_official,15,full_energy,all7,0,0.0,0.0
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,all7,0,0.0,0.0
8000,core_wsd,0.0,0.0,0.0,15,frozen_official,15,orth_ols,all7,0,0.0,0.0
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,all7,0,0.0,0.0
8000,core_wsd,0.0,0.0,0.0,15,frozen_official,15,sqrt_retention,all7,0,0.0,0.0
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,all7,0,0.0,0.0
8000,core_wsd,0.0,-0.65402706913803,-0.65402706913803,15,frozen_official,15,full_energy,ld4,10,0.0,0.0
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,ld4,0,0.0,0.0
8000,core_wsd,0.0,-4.034533678781625,-4.034533678781625,12,frozen_official,15,orth_ols,ld4,7,16.926532231724423,16.926532231724423
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,ld4,0,0.0,0.0
8000,core_wsd,0.0,-4.564421338562277,-4.564421338562277,15,frozen_official,15,sqrt_retention,ld4,10,0.0,0.0
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,ld4,0,0.0,0.0
8000,core_wsd,0.0,15.191799148011764,15.191799148011764,5,frozen_official,15,full_energy,none,5,69.41211669204657,69.41211669204657
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,full_energy,none,0,0.0,0.0
8000,core_wsd,0.0,15.191799148011764,15.191799148011764,5,frozen_official,15,orth_ols,none,5,69.41211669204657,69.41211669204657
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,orth_ols,none,0,0.0,0.0
8000,core_wsd,0.0,15.191799148011764,15.191799148011764,5,frozen_official,15,sqrt_retention,none,5,69.41211669204657,69.41211669204657
8000,extra_control,0.0,0.0,0.0,9,frozen_official,9,sqrt_retention,none,0,0.0,0.0
