feature_retention,fit_start,kappa,orth_ols_kappa,orthogonal_alignment,protocol,raw_cosine_alignment,scale,shrinkage,tangent_dim,tangent_group
0.0206985115207874,8000,0.0,0.0,-3.2483544697538886,frozen_official,0.5360754766530683,400,full_energy,4,ld4
0.0015409720118973668,8000,0.0,0.0,-32.069640076271085,frozen_official,6.048188972762345,25,orth_ols,7,all7
0.0015409720118973668,8000,0.0,0.0,-32.069640076271085,frozen_official,6.048188972762345,25,sqrt_retention,7,all7
0.0015409720118973668,8000,0.0,0.0,-32.069640076271085,frozen_official,6.048188972762345,25,full_energy,7,all7
0.0013385740686047594,8000,0.0,0.0,-33.53653051889122,frozen_official,5.282537776929546,100,orth_ols,7,all7
0.0013385740686047594,8000,0.0,0.0,-33.53653051889122,frozen_official,5.282537776929546,100,sqrt_retention,7,all7
0.0013385740686047594,8000,0.0,0.0,-33.53653051889122,frozen_official,5.282537776929546,100,full_energy,7,all7
0.0015597053331831933,8000,0.0,0.0,-34.79194890031605,frozen_official,0.5360754766530683,400,orth_ols,7,all7
0.0015597053331831933,8000,0.0,0.0,-34.79194890031605,frozen_official,0.5360754766530683,400,sqrt_retention,7,all7
0.0015597053331831933,8000,0.0,0.0,-34.79194890031605,frozen_official,0.5360754766530683,400,full_energy,7,all7
1.0,2160,0.0,0.0,-1.1233221361975705,cosine_only,-1.1233221361975705,25,orth_ols,0,none
1.0,2160,0.0,0.0,-1.1233221361975705,cosine_only,-1.1233221361975705,25,sqrt_retention,0,none
1.0,2160,0.0,0.0,-1.1233221361975705,cosine_only,-1.1233221361975705,25,full_energy,0,none
1.0,2160,0.0,0.0,-0.2991820978311122,cosine_only,-0.2991820978311122,100,orth_ols,0,none
1.0,2160,0.0,0.0,-0.2991820978311122,cosine_only,-0.2991820978311122,100,sqrt_retention,0,none
1.0,2160,0.0,0.0,-0.2991820978311122,cosine_only,-0.2991820978311122,100,full_energy,0,none
1.0,2160,0.07911256971300228,0.07911256971300228,0.07911256971300228,cosine_only,0.07911256971300228,400,orth_ols,0,none
1.0,2160,0.07911256971300228,0.07911256971300228,0.07911256971300228,cosine_only,0.07911256971300228,400,sqrt_retention,0,none
1.0,2160,0.07911256971300228,0.07911256971300228,0.07911256971300228,cosine_only,0.07911256971300228,400,full_energy,0,none
0.5741052234022349,2160,0.0,0.0,-2.446130660569493,cosine_only,-1.1233221361975705,25,orth_ols,1,ld4
0.5741052234022349,2160,0.0,0.0,-2.446130660569493,cosine_only,-1.1233221361975705,25,sqrt_retention,1,ld4
0.5741052234022349,2160,0.0,0.0,-2.446130660569493,cosine_only,-1.1233221361975705,25,full_energy,1,ld4
0.1706645435744282,2160,2.869386050902725,2.869386050902725,2.869386050902725,cosine_only,-0.2991820978311122,100,orth_ols,4,ld4
0.1706645435744282,2160,1.1853882949783354,2.869386050902725,2.869386050902725,cosine_only,-0.2991820978311122,100,sqrt_retention,4,ld4
0.1706645435744282,2160,0.4897024607161446,2.869386050902725,2.869386050902725,cosine_only,-0.2991820978311122,100,full_energy,4,ld4
0.16581175347174046,2160,2.031749162237344,2.031749162237344,2.031749162237344,cosine_only,0.07911256971300228,400,orth_ols,4,ld4
