config_id,max_mode,mean_delta,mean_kappa,mean_source_retention,mean_target_retention,median_delta,nonharm,nuisance_lambda,response_lambda,retention_power,rho,ridge_tau,rows,wins,worst_delta
24565,16,-21.92207569591994,0.04472496417313668,0.0420893996622712,0.595981666173192,-17.10015166124509,15,0.1,20.0,0.5,0.2,0.05,15,15,-5.233926754448315
23541,8,-21.86905002618656,0.045057969224345705,0.035872594395301924,0.5428523595973527,-16.98954183225545,15,0.05,20.0,0.5,0.4,0.03,15,15,-5.410426232896026
23667,12,-21.868280877767084,0.045056945747911005,0.03586431704684089,0.5425810248170395,-16.98820549976201,15,0.05,20.0,0.5,0.4,0.03,15,15,-5.412558611096352
23793,16,-21.868245247728755,0.04505677299908447,0.0358638238263175,0.5425338090714406,-16.98806779408406,15,0.05,20.0,0.5,0.4,0.03,15,15,-5.412778347268099
23921,8,-21.86155825033567,0.045493090175123846,0.038752736603382305,0.5684267618035307,-17.30052995963094,15,0.07,20.0,0.5,0.75,0.03,15,15,-4.914184237165109
24047,12,-21.861277984293338,0.045492622223706425,0.03874681814939541,0.5682327523443399,-17.299809162394364,15,0.07,20.0,0.5,0.75,0.03,15,15,-4.915334409238714
24173,16,-21.861269720465696,0.04549253040726057,0.03874646576528821,0.5681990191968722,-17.299733028707642,15,0.07,20.0,0.5,0.75,0.03,15,15,-4.915455895331943
23161,8,-21.840896031437797,0.044597953247725655,0.0340453626364087,0.5265047700849724,-16.686936763673977,15,0.04,20.0,0.5,0.2,0.03,15,15,-5.577125611008027
23287,12,-21.839734337426986,0.04459631265756707,0.03403502521635951,0.5261659056010803,-16.684937141786126,15,0.04,20.0,0.5,0.2,0.03,15,15,-5.575461422256456
23413,16,-21.83967982154476,0.04459605216454972,0.03403440881886796,0.5261068975746535,-16.684733341235447,15,0.04,20.0,0.5,0.2,0.03,15,15,-5.575394806802281
22782,8,-21.815825030029444,0.042981714082247255,0.031739373823039194,0.5062765901852254,-15.87753801592946,15,0.03,20.0,0.5,0.0,0.03,15,15,-5.803759970457156
22795,8,-21.815115228935493,0.042997856813007065,0.031739373823039194,0.5062765901852254,-15.884560013182424,15,0.03,20.0,0.25,0.2,0.05,15,15,-5.7996030229133355
22908,12,-21.813745492589867,0.042978859240008445,0.03172561113878896,0.5058254448199437,-15.874268232636357,15,0.03,20.0,0.5,0.0,0.03,15,15,-5.801191823760332
23034,16,-21.81363401766834,0.042978429571459274,0.03172478956012364,0.5057467933395504,-15.873938166673751,15,0.03,20.0,0.5,0.0,0.03,15,15,-5.801090344615655
22921,12,-21.81300893223647,0.04299549959138822,0.03172561113878896,0.5058254448199437,-15.8814747670732,15,0.03,20.0,0.25,0.2,0.05,15,15,-5.79687958105305
23047,16,-21.812895862401167,0.04299509954151096,0.03172478956012364,0.5057467933395504,-15.881155665552837,15,0.03,20.0,0.25,0.2,0.05,15,15,-5.796768842855881
22768,8,-21.736437707649483,0.04117670403075417,0.031739373823039194,0.5062765901852254,-15.218667003255293,15,0.03,20.0,0.5,0.5,0.02,15,15,-6.373067847773994
22894,12,-21.733986018715232,0.04117749441751375,0.03172561113878896,0.5058254448199437,-15.216839622048706,15,0.03,20.0,0.5,0.5,0.02,15,15,-6.369509804338569
23020,16,-21.733788943733273,0.041177293195205945,0.03172478956012364,0.5057467933395504,-15.216601271998243,15,0.03,20.0,0.5,0.5,0.02,15,15,-6.369347033453154
22767,8,-21.732818246935924,0.044117897175808045,0.031739373823039194,0.5062765901852254,-16.30571464634508,15,0.03,20.0,0.5,0.4,0.02,15,15,-5.456525501992726
22893,12,-21.730338951059554,0.04411874401876474,0.03172561113878896,0.5058254448199437,-16.30375673790896,15,0.03,20.0,0.5,0.4,0.02,15,15,-5.45271331259679
23019,16,-21.73021207113875,0.04411852842343495,0.03172478956012364,0.5057467933395504,-16.30350136285529,15,0.03,20.0,0.5,0.4,0.02,15,15,-5.452538915219407
23175,8,-21.72517104850227,0.04581113851192877,0.0340453626364087,0.5265047700849724,-17.14179607641919,15,0.04,20.0,0.25,0.4,0.05,15,15,-5.167474996718868
23301,12,-21.723898602301126,0.045809758769876384,0.03403502521635951,0.5261659056010803,-17.139857430247307,15,0.04,20.0,0.25,0.4,0.05,15,15,-5.170568483449866
23427,16,-21.723840021923372,0.04580950941029755,0.03403440881886796,0.5261068975746535,-17.139654964961604,15,0.04,20.0,0.25,0.4,0.05,15,15,-5.1708915561599955
24695,8,-21.71899236986966,0.0447524033305557,0.05048466525496434,0.6478630761701638,-17.231288912901466,15,0.2,20.0,0.5,0.75,0.05,15,15,-5.024671783765866
24821,12,-21.718933420310996,0.0447519801235726,0.05048259033916943,0.647795059432977,-17.231019478169706,15,0.2,20.0,0.5,0.75,0.05,15,15,-5.0251017192428415
24947,16,-21.718931017951984,0.044751942401922755,0.05048246695708049,0.6477832484979248,-17.23099693951472,15,0.2,20.0,0.5,0.75,0.05,15,15,-5.02513768404711
22373,8,-21.702993643948282,0.042387454026461234,0.030289412183725252,0.493938012718721,-15.5222470905363,15,0.025,20.0,0.5,0.75,0.01,15,15,-5.792264894807653
22499,12,-21.699226645892132,0.04239344777247807,0.03027291663219956,0.493397283557826,-15.521435973565989,15,0.025,20.0,0.5,0.75,0.01,15,15,-5.7856684231269
22625,16,-21.698963137985398,0.04239345374823638,0.03027193101091063,0.49330292661986996,-15.521204073907269,15,0.025,20.0,0.5,0.75,0.01,15,15,-5.785344389909786
23540,8,-21.669281929353403,0.04672678289932149,0.035872594395301924,0.5428523595973527,-17.618784122339072,15,0.05,20.0,0.5,0.35,0.03,15,15,-4.406347869956195
23666,12,-21.66879008059755,0.046725721516352146,0.03586431704684089,0.5425810248170395,-17.617398296049537,15,0.05,20.0,0.5,0.35,0.03,15,15,-4.40855922512724
23792,16,-21.668778730216278,0.04672554236942092,0.0358638238263175,0.5425338090714406,-17.617255490161256,15,0.05,20.0,0.5,0.35,0.03,15,15,-4.408787099675071
24314,8,-21.5831722540627,0.0397567057039582,0.04209379248112243,0.5961411946057514,-15.200873430839046,15,0.1,20.0,0.5,0.35,0.05,15,15,-6.149501546028969
24440,12,-21.58276543677823,0.039755619710100706,0.04208964637512356,0.5960052833757576,-15.200191670245268,15,0.1,20.0,0.5,0.35,0.05,15,15,-6.149542559796995
24566,16,-21.582732074953682,0.03975552370945481,0.0420893996622712,0.595981666173192,-15.200134809995468,15,0.1,20.0,0.5,0.35,0.05,15,15,-6.1495422544732286
22766,8,-21.577128781824374,0.04575189336750463,0.031739373823039194,0.5062765901852254,-16.90963000361697,15,0.03,20.0,0.5,0.35,0.02,15,15,-4.947335309890999
22892,12,-21.57446603289297,0.045752771575015276,0.03172561113878896,0.5058254448199437,-16.907599580054043,15,0.03,20.0,0.5,0.35,0.02,15,15,-4.94338192829572
23018,16,-21.574337572015615,0.04575254799467328,0.03172478956012364,0.5057467933395504,-16.90733474666486,15,0.03,20.0,0.5,0.35,0.02,15,15,-4.943201071755898
23162,8,-21.528077970225194,0.039642625109089474,0.0340453626364087,0.5265047700849724,-14.832832678821406,15,0.04,20.0,0.5,0.35,0.03,15,15,-6.277355194851609
23288,12,-21.526832095123897,0.03964116680672628,0.03403502521635951,0.5261659056010803,-14.831055237143254,15,0.04,20.0,0.5,0.35,0.03,15,15,-6.277997384113743
23414,16,-21.526714622852193,0.03964093525737753,0.03403440881886796,0.5261068975746535,-14.830874081098312,15,0.04,20.0,0.5,0.35,0.03,15,15,-6.27802309016915
22416,8,-21.522545549173795,0.04486434727731931,0.030289412183725252,0.493938012718721,-16.41173542124794,15,0.025,20.0,0.25,0.0,0.05,15,15,-4.994094027579276
22542,12,-21.519271754815293,0.04486080489899912,0.03027291663219956,0.493397283557826,-16.407250114893202,15,0.025,20.0,0.25,0.0,0.05,15,15,-4.990238143996617
22668,16,-21.519111058508276,0.04486022060020902,0.03027193101091063,0.49330292661986996,-16.40678812637476,15,0.025,20.0,0.25,0.0,0.05,15,15,-4.990082066191337
22387,8,-21.496806489138166,0.04511078873560304,0.030289412183725252,0.493938012718721,-16.509254717633237,15,0.025,20.0,0.5,0.2,0.02,15,15,-4.92209176099927
23174,8,-21.49434858860598,0.0475078473457039,0.0340453626364087,0.5265047700849724,-17.776677412582764,15,0.04,20.0,0.25,0.35,0.05,15,15,-4.154398439846673
23300,12,-21.493485471991278,0.04750641650209405,0.03403502521635951,0.5261659056010803,-17.774666964700703,15,0.04,20.0,0.25,0.35,0.05,15,15,-4.157606500160238
23426,16,-21.49346280687997,0.047506157906975245,0.03403440881886796,0.5261068975746535,-17.774457000701137,15,0.04,20.0,0.25,0.35,0.05,15,15,-4.1579415385267655
