best_worst_heldout,candidate,mean_heldout,mean_worst_heldout,median_rho,median_shrink,median_worst_heldout,subset_count,train_size,worst_worst_heldout
-7.613337029771117,train_size_rho0p5,-11.809760245457344,-3.523346368198065,0.5,0.8571428571428571,-2.001101272060335,20,3,-1.199780662356864
-10.795081669695206,train_size_rho0p5,-12.454450803783404,-4.9417590335083625,0.5,0.8888888888888888,-5.629955443891454,15,4,-1.523001737841534
-21.609734277692993,train_size_rho0p5,-12.57775186582335,-8.64832216268218,0.5,0.9090909090909091,-6.860050729398187,6,5,-1.6006129471590969
-4.1140407152203124,train_size_rho0p75,-10.94781363769881,-1.7234006758685474,0.75,0.5714285714285714,-1.3796905066326248,6,1,-0.8796943756431252
-5.257221843787397,train_size_rho0p75,-10.692309165475354,-2.3229469785780634,0.75,0.7272727272727272,-1.6319725624894366,15,2,-0.9858039276187669
-7.105781227786235,train_size_rho0p75,-11.312272612454858,-3.4343039789226744,0.75,0.8000000000000002,-2.3456250948438564,20,3,-1.1197952848662873
-10.22691947655332,train_size_rho0p75,-12.039639956651614,-4.8072371481957346,0.75,0.8421052631578947,-5.631742617264946,15,4,-1.4428437516393555
-21.360091762295184,train_size_rho0p75,-12.217864996949677,-8.442860020073601,0.75,0.8695652173913043,-6.601359464312079,6,5,-1.531021079891115
-5.131075911136984,train_size_rho1p0,-9.980217760697855,-1.7631906389381742,1.0,0.5,-1.2072291933035273,6,1,-0.7697325786877207
-5.023141444634305,train_size_rho1p0,-10.101262485037086,-2.29433774965208,1.0,0.6666666666666666,-1.4959748489486446,15,2,-0.9036536003171114
-6.661669901049805,train_size_rho1p0,-10.82726512291409,-3.335854102239864,1.0,0.75,-2.707470437654569,20,3,-1.0498080795621978
-9.715573502725805,train_size_rho1p0,-11.636542220687392,-4.6735441742628545,1.0,0.8000000000000002,-5.571828157026415,15,4,-1.370701564057375
-21.067864049547836,train_size_rho1p0,-11.865749188818642,-8.243875107743003,1.0,0.8333333333333334,-6.363986329981486,6,5,-1.467228534895726
-2.1666387356599426,train_selected_rho,-11.951446181935289,-1.5717882164971442,0.5,0.6666666666666666,-1.609638924404866,6,1,-1.0263101049168721
-5.472373136799213,train_selected_rho,-11.186810291771316,-1.2678633396078258,0.1,0.9523809523809522,-1.5275572246675972,15,2,5.552850605051862
-8.882226534733274,train_selected_rho,-12.272504421995091,-3.460114679439009,0.0,1.0,-1.8690826727498222,20,3,3.290192828930505
-12.144466878407012,train_selected_rho,-12.977333102949824,-5.199370912997133,0.0,1.0,-5.544459116558665,15,4,-1.522427275970828
-21.959806440171768,train_selected_rho,-13.262758720946975,-8.989039340594788,0.0,1.0,-7.36797995401749,6,5,-1.5178226223059421
