base_mae,candidate,corr_mae,delta_pct,kappa,rho,scale,shrink,test_curve,test_label,train_id,train_label,train_size,win
0.002926482771138891,train_size_rho0p35,0.0022151403147636943,-24.307078223404865,0.015225925955148848,0.35,25,0.7407407407407407,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,train_size_rho0p35,0.0027947213156780393,-10.885325609221152,0.015225925955148848,0.35,25,0.7407407407407407,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.003408385839825258,train_size_rho0p5,0.0029814290448999733,-12.526656751606913,0.013703333359633963,0.5,25,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.002504818961791151,train_size_rho0p5,0.0022244401031710145,-11.193577775363151,0.013703333359633963,0.5,25,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004487187642230267,train_size_rho0p5,0.002843139237393469,-36.63872643444116,0.013703333359633963,0.5,25,0.6666666666666666,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,train_size_rho0p5,0.0022512194348145538,-23.074229002262214,0.013703333359633963,0.5,25,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,train_size_rho0p5,0.0028288587366091713,-9.79679304829898,0.013703333359633963,0.5,25,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.003408385839825258,train_size_rho0p75,0.003042422872746435,-10.737134358520429,0.011745714308257682,0.75,25,0.5714285714285714,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.002504818961791151,train_size_rho0p75,0.0022644942258310385,-9.59449523602538,0.011745714308257682,0.75,25,0.5714285714285714,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004487187642230267,train_size_rho0p75,0.002960865990328431,-34.01510642294443,0.011745714308257682,0.75,25,0.5714285714285714,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,train_size_rho0p75,0.002324983414915587,-20.553661280883595,0.011745714308257682,0.75,25,0.5714285714285714,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,train_size_rho0p75,0.0028727497063777588,-8.397251184256538,0.011745714308257682,0.75,25,0.5714285714285714,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.003408385839825258,train_size_rho1p0,0.0030881682436312914,-9.394992563705273,0.010277500019725473,1.0,25,0.5,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.002504818961791151,train_size_rho1p0,0.0022945348178260486,-8.395183331522361,0.010277500019725473,1.0,25,0.5,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004487187642230267,train_size_rho1p0,0.0030790740451907394,-31.38076027370349,0.010277500019725473,1.0,25,0.5,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,train_size_rho1p0,0.002391657871716571,-18.275347618540174,0.010277500019725473,1.0,25,0.5,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,train_size_rho1p0,0.0029056679337042053,-7.3475947862245095,0.010277500019725473,1.0,25,0.5,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.003408385839825258,train_selected_rho,0.0029814290448999733,-12.526656751606913,0.013703333359633963,0.5,25,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.002504818961791151,train_selected_rho,0.0022244401031710145,-11.193577775363151,0.013703333359633963,0.5,25,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004487187642230267,train_selected_rho,0.002843139237393469,-36.63872643444116,0.013703333359633963,0.5,25,0.6666666666666666,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,train_selected_rho,0.0022512194348145538,-23.074229002262214,0.013703333359633963,0.5,25,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,train_selected_rho,0.0028288587366091713,-9.79679304829898,0.013703333359633963,0.5,25,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,none,0.0026040795145366885,-30.5221313420159,0.036932787982351674,0.0,100,1.0,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.0013816404339982303,none,0.001458263182917274,5.545780728008265,0.036932787982351674,0.0,100,1.0,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,0
0.0056693997340904675,none,0.00594234943550538,4.814437404610006,0.036932787982351674,0.0,100,1.0,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,0
0.004934623402238123,none,0.005508069391670714,11.62086632938395,0.036932787982351674,0.0,100,1.0,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,0
0.003248313740665229,none,0.002425101351801072,-25.34276103193066,0.036932787982351674,0.0,100,1.0,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.0037480705220761528,constant_0p85,0.0027756781656675983,-25.943811640713776,0.031392869784998924,0.0,100,0.85,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
