base_kappa,candidate,kappa,pooled_retention,rho,scale,selected_lambda,shrink,train_id,train_label,train_size
0.015027774953005727,train_size_rho0p5,0.01001851663533715,0.5584955389588916,0.5,100,0.025,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,1
0.015027774953005727,train_size_rho0p75,0.00858729997314613,0.5584955389588916,0.75,100,0.025,0.5714285714285714,wsdcon_9.csv,WSD-con 9e-5,1
0.015027774953005727,train_size_rho1p0,0.0075138874765028636,0.5584955389588916,1.0,100,0.025,0.5,wsdcon_9.csv,WSD-con 9e-5,1
0.015027774953005727,train_selected_rho,0.01001851663533715,0.5584955389588916,0.5,100,0.025,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,1
0.025764467500442024,none,0.025764467500442024,0.5584955389588916,0.0,400,0.025,1.0,wsdcon_9.csv,WSD-con 9e-5,1
0.025764467500442024,constant_0p85,0.02189979737537572,0.5584955389588916,0.0,400,0.025,0.85,wsdcon_9.csv,WSD-con 9e-5,1
0.025764467500442024,train_size_rho0p25,0.02061157400035362,0.5584955389588916,0.25,400,0.025,0.8,wsdcon_9.csv,WSD-con 9e-5,1
0.025764467500442024,train_size_rho0p35,0.019084790741068166,0.5584955389588916,0.35,400,0.025,0.7407407407407407,wsdcon_9.csv,WSD-con 9e-5,1
0.025764467500442024,train_size_rho0p5,0.017176311666961347,0.5584955389588916,0.5,400,0.025,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,1
0.025764467500442024,train_size_rho0p75,0.014722552857395441,0.5584955389588916,0.75,400,0.025,0.5714285714285714,wsdcon_9.csv,WSD-con 9e-5,1
0.025764467500442024,train_size_rho1p0,0.012882233750221012,0.5584955389588916,1.0,400,0.025,0.5,wsdcon_9.csv,WSD-con 9e-5,1
0.025764467500442024,train_selected_rho,0.017176311666961347,0.5584955389588916,0.5,400,0.025,0.6666666666666666,wsdcon_9.csv,WSD-con 9e-5,1
0.01776821585619382,none,0.01776821585619382,0.7093385120550632,0.0,25,0.025,1.0,wsdcon_18.csv,WSD-con 18e-5,1
0.01776821585619382,constant_0p85,0.015102983477764748,0.7093385120550632,0.0,25,0.025,0.85,wsdcon_18.csv,WSD-con 18e-5,1
0.01776821585619382,train_size_rho0p25,0.014214572684955058,0.7093385120550632,0.25,25,0.025,0.8,wsdcon_18.csv,WSD-con 18e-5,1
0.01776821585619382,train_size_rho0p35,0.013161641374958385,0.7093385120550632,0.35,25,0.025,0.7407407407407407,wsdcon_18.csv,WSD-con 18e-5,1
0.01776821585619382,train_size_rho0p5,0.011845477237462546,0.7093385120550632,0.5,25,0.025,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,1
0.01776821585619382,train_size_rho0p75,0.010153266203539325,0.7093385120550632,0.75,25,0.025,0.5714285714285714,wsdcon_18.csv,WSD-con 18e-5,1
0.01776821585619382,train_size_rho1p0,0.00888410792809691,0.7093385120550632,1.0,25,0.025,0.5,wsdcon_18.csv,WSD-con 18e-5,1
0.01776821585619382,train_selected_rho,0.011845477237462546,0.7093385120550632,0.5,25,0.025,0.6666666666666666,wsdcon_18.csv,WSD-con 18e-5,1
0.01491504383060957,none,0.01491504383060957,0.7413329414952441,0.0,100,0.025,1.0,wsdcon_18.csv,WSD-con 18e-5,1
0.01491504383060957,constant_0p85,0.012677787256018135,0.7413329414952441,0.0,100,0.025,0.85,wsdcon_18.csv,WSD-con 18e-5,1
