candidate,delta_pct,kappa,scale,test_curve,test_label,train_curve,train_label,win
train_size_rho0p5,-8.21743048457514,0.009943362553739713,100,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
train_size_rho0p5,-6.822995902006623,0.009943362553739713,100,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
train_size_rho0p5,-16.33314298053866,0.009943362553739713,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
train_size_rho0p5,-5.312375122196222,0.009943362553739713,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
train_size_rho0p5,-28.68558026985196,0.04339152898551728,400,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
train_size_rho0p5,-25.271763507287393,0.04339152898551728,400,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
train_size_rho0p5,-34.19019591522034,0.04339152898551728,400,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
train_size_rho0p5,-4.180119378746394,0.04339152898551728,400,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
train_size_rho0p5,-3.5635829621668114,0.04339152898551728,400,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
train_size_rho0p5,-4.210038498733237,0.032059781729567555,400,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,1
train_size_rho0p5,-18.672013660438147,0.032059781729567555,400,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,1
train_size_rho0p5,-37.439775458397094,0.032059781729567555,400,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,1
train_size_rho0p5,-8.169923995285789,0.032059781729567555,400,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,1
train_size_rho0p5,-6.971412768859153,0.032059781729567555,400,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1
train_size_rho0p5,-4.7271481578469725,0.03628052616288001,400,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-24.044377656852422,0.03628052616288001,400,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-38.028075985815015,0.03628052616288001,400,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-7.4281404734075736,0.03628052616288001,400,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-6.361337455718486,0.03628052616288001,400,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-2.047910711600709,0.01521201147061758,400,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-10.106244968623468,0.01521201147061758,400,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-8.859663748744573,0.01521201147061758,400,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-5.701740910810072,0.01521201147061758,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-4.59224298800468,0.01521201147061758,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-2.305117619903041,0.017176311666961347,400,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-11.411246546785126,0.017176311666961347,400,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-10.003696493842828,0.017176311666961347,400,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-24.823723775239483,0.017176311666961347,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-5.053693089086231,0.017176311666961347,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-2.263209277680478,0.016855625656798698,400,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
train_size_rho0p5,-11.198195736050764,0.016855625656798698,400,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,1
train_size_rho0p5,-9.816924992621367,0.016855625656798698,400,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,1
train_size_rho0p5,-24.436402474927355,0.016855625656798698,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,1
train_size_rho0p5,-6.152634035188709,0.016855625656798698,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,1
